actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-12T00:10:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-12T00:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-12T00:10:28.6Z,1,REGULAR,jumpball,recovered,[],1629659,,,1610612762,0,0,2023-03-12T00:10:28Z,40000,False,,,0,,Jump Ball W. Kessler vs. N. Richards: Tip to T. Horton-Tucker,"[1629659, 1631117, 1630208]",1610612762.0,UTA,startperiod,T. Horton-Tucker,1629659.0,Horton-Tucker,T. Horton-Tucker,Kessler,1631117.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-03-12T00:10:46.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,92.72339027595268,48.529411764705884,1610612762,0,2,2023-03-12T00:10:52Z,70000,False,-7.0,16.0,1,right,T. Horton-Tucker driving finger roll Layup (2 PTS),[1629659],1610612762.0,UTA,driving finger roll,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,1.75,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2023-03-12T00:11:06.3Z,1,REGULAR,2pt,Jump Shot,[],1629023,20.97568988173456,64.2156862745098,1610612766,0,2,2023-03-12T00:11:09Z,80000,False,-71.0,145.0,1,left,MISS P. Washington 16' Jump Shot,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left Center,16.12,Missed,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2023-03-12T00:11:08.3Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,0,2,2023-03-12T00:11:09Z,90000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M00.00S,2023-03-12T00:11:24.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203482,91.80354796320631,54.41176470588235,1610612762,0,4,2023-03-12T00:11:27Z,100000,False,22.0,25.0,1,right,K. Olynyk pullup Jump Shot (2 PTS),[203482],1610612762.0,UTA,pullup,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,3.3,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M47.00S,2023-03-12T00:11:36.6Z,1,REGULAR,3pt,Jump Shot,[],1626162,27.808804204993432,22.058823529411764,1610612766,0,4,2023-03-12T00:11:40Z,110000,False,140.0,209.0,1,left,MISS K. Oubre Jr. 25' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,25.13,Missed,,,,,,,,,,,,,,,,,,
12,PT10M46.00S,2023-03-12T00:11:37.6Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,4,2023-03-12T00:11:40Z,120000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Right Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M39.00S,2023-03-12T00:11:46.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,92.46057818659659,49.754901960784316,1610612762,0,6,2023-03-12T00:11:50Z,130000,False,-1.0,18.0,1,right,W. Kessler alley-oop DUNK (2 PTS) (T. Horton-Tucker 1 AST),"[1631117, 1629659]",1610612762.0,UTA,alley-oop,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,,,,,T. Horton-Tucker,1629659.0,1.0,,,,,,,,,,
15,PT10M26.00S,2023-03-12T00:11:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,7.30946123521682,49.50980392156863,1610612766,0,6,2023-03-12T00:12:04Z,150000,False,2.0,16.0,1,left,MISS N. Richards alley-oop Layup,[1630208],1610612766.0,CHA,alley-oop,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.64,Missed,,,,,,,,,,,,,,,,,,
16,PT10M21.00S,2023-03-12T00:12:04.0Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,0,6,2023-03-12T00:12:04Z,160000,False,,,0,,T. Rozier REBOUND (Off:1 Def:0),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,
17,PT10M21.00S,2023-03-12T00:12:03.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626179,5.590000152587891,50.0,1610612766,2,6,2023-03-12T00:12:03Z,170000,False,0.0,0.0,1,left,T. Rozier putback Layup (2 PTS),[1626179],1610612766.0,CHA,putback,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M09.00S,2023-03-12T00:12:15.5Z,1,REGULAR,3pt,Jump Shot,[],1630534,67.09921156373193,55.88235294117647,1610612762,2,6,2023-03-12T00:12:22Z,180000,False,29.0,257.0,1,right,MISS O. Agbaji 25' pullup 3PT,[1630534],1610612762.0,UTA,pullup,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Center,25.85,Missed,,,,,,,,,,,,,,,,,,
19,PT10M06.00S,2023-03-12T00:12:18.5Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,2,6,2023-03-12T00:12:22Z,190000,False,,,0,,W. Kessler REBOUND (Off:1 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,,,,18.0,2.0,1.0,1.0,,,,,,,,,,,,,
20,PT10M01.00S,2023-03-12T00:12:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630534,94.43166885676742,53.431372549019606,1610612762,2,6,2023-03-12T00:12:30Z,200000,False,17.0,0.0,1,right,MISS O. Agbaji reverse Layup,[1630534],1610612762.0,UTA,reverse,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,1.72,Missed,,,,,,,,,,,,,,,,,,
21,PT09M59.00S,2023-03-12T00:12:25.1Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,2,6,2023-03-12T00:12:30Z,210000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT09M50.00S,2023-03-12T00:12:34.7Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,2,6,2023-03-12T00:12:41Z,220000,False,,,0,,G. Hayward bad pass TURNOVER (1 TO),"[202330, 203482]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,Olynyk,203482.0,,,,,,,
23,PT09M50.00S,2023-03-12T00:12:34.7Z,1,REGULAR,steal,,[],203482,,,1610612762,2,6,2023-03-12T00:12:37Z,230000,False,,,0,,K. Olynyk STEAL (1 STL),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
