actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-26T17:10:07.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-26T17:10:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-26T17:10:10.2Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612766,0,0,2023-03-26T17:10:10Z,40000,False,,,0,,Jump Ball M. Williams vs. D. Powell: Tip to P. Washington,"[1629023, 1631109, 203939]",1610612766.0,CHA,startperiod,P. Washington,1629023.0,Washington,P. Washington,Williams,1631109.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-03-26T17:10:44.9Z,1,REGULAR,3pt,Jump Shot,[],1629023,96.27135348226018,3.6764705882352944,1610612766,3,0,2023-03-26T17:10:50Z,80000,False,-232.0,-17.0,1,right,P. Washington 3PT  (3 PTS) (D. Smith Jr. 1 AST),"[1629023, 1628372]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,23.23,Made,3.0,D. Smith Jr.,1628372.0,1.0,,,,,,,,,,,,,,
10,PT11M15.00S,2023-03-26T17:11:09.2Z,1,REGULAR,violation,kicked ball,[],1631109,,,1610612742,3,0,2023-03-26T17:11:49Z,100000,False,,,0,,M. Williams kicked ball VIOLATION,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,1628480.0,,,,,,,,,,,,,
11,PT11M09.00S,2023-03-26T17:11:20.5Z,1,REGULAR,3pt,Jump Shot,[],203493,28.991458607095925,21.07843137254902,1610612742,3,0,2023-03-26T17:11:25Z,110000,False,145.0,220.0,1,left,MISS R. Bullock 26' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,26.33,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2023-03-26T17:11:22.5Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,3,0,2023-03-26T17:11:25Z,120000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M03.00S,2023-03-26T17:11:29.1Z,1,REGULAR,foul,personal,[],1629029,,,1610612766,3,0,2023-03-26T17:11:42Z,130000,False,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 1629023]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,202041.0,,,,,1.0,0.0,Washington,1629023.0,,,,,
15,PT10M51.00S,2023-03-26T17:11:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,80.3712220762155,50.245098039215684,1610612766,5,0,2023-03-26T17:18:45Z,150000,False,1.0,132.0,1,right,G. Hayward 13' pullup Jump Shot (2 PTS),[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,13.2,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M40.00S,2023-03-26T17:12:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,6.1268068331143235,49.50980392156863,1610612742,5,2,2023-03-26T17:12:12Z,170000,False,2.0,5.0,1,left,K. Irving driving Layup (2 PTS),[202681],1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,0.57,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2023-03-26T17:12:22.4Z,1,REGULAR,turnover,lost ball,[],1631109,,,1610612766,5,2,2023-03-26T17:12:27Z,180000,False,,,0,,M. Williams lost ball TURNOVER (1 TO),"[1631109, 202681]",1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,Irving,202681.0,,
19,PT10M24.00S,2023-03-26T17:12:22.4Z,1,REGULAR,steal,,[],202681,,,1610612742,5,2,2023-03-26T17:12:24Z,190000,False,,,0,,K. Irving STEAL (1 STL),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M14.00S,2023-03-26T17:12:32.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202681,15.456636005256241,30.392156862745097,1610612742,5,2,2023-03-26T17:12:40Z,200000,False,98.0,93.0,1,left,MISS K. Irving 13' pullup Shot,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Mid-Range,8-16 Right,13.5,Missed,,,,,,,,,,,,,,,,,,
21,PT10M11.00S,2023-03-26T17:12:35.7Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,5,2,2023-03-26T17:12:40Z,210000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,8-16 Right,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
22,PT09M58.00S,2023-03-26T17:12:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,91.27792378449409,50.98039215686274,1610612766,5,2,2023-03-26T17:12:56Z,220000,False,5.0,29.0,1,right,MISS M. Williams Layup,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,,,,,,,,,,
24,PT09M51.00S,2023-03-26T17:12:55.6Z,1,REGULAR,rebound,offensive,[],202330,,,1610612766,5,2,2023-03-26T17:12:56Z,240000,False,,,0,,G. Hayward REBOUND (Off:1 Def:0),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,
25,PT09M51.00S,2023-03-26T17:12:54.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202330,94.40999984741211,50.0,1610612766,7,2,2023-03-26T17:12:54Z,250000,False,0.0,0.0,1,right,G. Hayward putback Layup (4 PTS),[202330],1610612766.0,CHA,putback,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
26,PT09M43.00S,2023-03-26T17:13:06.1Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612742,7,2,2023-03-26T17:13:15Z,260000,False,,,0,,G. Hayward shooting personal FOUL (1 PF) (Doncic 2 FT),"[202330, 1629029]",1610612766.0,CHA,shooting,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202007.0,,,,,1.0,0.0,Doncic,1629029.0,,,,,
