actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-29T00:43:05.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-29T00:43:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-29T00:43:08.7Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2025-11-29T00:43:08Z,40000,False,,,0,,Jump Ball K. Towns vs. M. Turner: Tip to J. Hart,"[1628404, 1626157, 1626167]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-11-29T00:43:31.3Z,1,REGULAR,foul,personal,['2freethrow'],203507,,,1610612752,0,0,2025-11-29T00:43:41Z,70000,False,,,0,,G. Antetokounmpo shooting personal FOUL (1 PF) (Hart 2 FT),"[203507, 1628404]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1193.0,1.0,0.0,Hart,1628404.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2025-11-29T00:44:05.5Z,1,REGULAR,freethrow,1 of 2,[],1628404,,,1610612752,1,0,2025-11-29T00:44:05Z,90000,False,,,0,,J. Hart Free Throw 1 of 2 (1 PTS),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M36.00S,2025-11-29T00:44:26.0Z,1,REGULAR,freethrow,2 of 2,[],1628404,,,1610612752,2,0,2025-11-29T00:44:26Z,100000,False,,,0,,J. Hart Free Throw 2 of 2 (2 PTS),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M15.00S,2025-11-29T00:44:47.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,93.77463863337714,49.01960784313725,1610612749,2,2,2025-11-29T00:44:50Z,110000,False,-5.0,6.0,1,right,G. Antetokounmpo alley-oop DUNK (2 PTS) (R. Rollins 1 AST),"[203507, 1631157]",1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,0.77,R. Rollins,1631157.0,1.0,,,,,,,,,
14,PT10M57.00S,2025-11-29T00:45:24.4Z,1,REGULAR,3pt,Jump Shot,[],1628404,29.38567674113009,71.56862745098039,1610612752,2,2,2025-11-29T00:45:27Z,140000,False,-108.0,224.0,1,left,MISS J. Hart 24' 3PT,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,24.83,,,,,,,,,,,,
15,PT10M54.00S,2025-11-29T00:45:27.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,2,2025-11-29T00:45:27Z,150000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT10M37.00S,2025-11-29T00:45:43.5Z,1,REGULAR,3pt,Jump Shot,[],1629018,73.14388961892247,81.37254901960785,1610612749,2,2,2025-11-29T00:45:46Z,160000,False,157.0,200.0,1,right,MISS G. Trent Jr. 25' 3PT,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.41,,,,,,,,,,,,
17,PT10M35.00S,2025-11-29T00:45:45.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,2,2,2025-11-29T00:45:46Z,170000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
