actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-03T23:42:17.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-03T23:42:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-03T23:42:19.8Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2026-04-03T23:42:19Z,40000,False,,,0,,Jump Ball M. Robinson vs. M. Buzelis: Tip to J. Hart,"[1628404, 1629011, 1641824]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Robinson,1629011.0,Buzelis,1641824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-04-03T23:42:37.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,31.750985545335087,42.15686274509804,1610612752,0,0,2026-04-03T23:44:52Z,70000,False,39.0,246.0,1,left,MISS M. Bridges 24' 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,24.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-04-03T23:42:39.9Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,0,0,2026-04-03T23:42:42Z,80000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2026-04-03T23:42:48.8Z,1,REGULAR,3pt,Jump Shot,[],1627824,94.56307490144546,94.11764705882352,1610612741,0,0,2026-04-03T23:42:55Z,90000,False,221.0,-1.0,1,right,MISS G. Yabusele 3PT,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,22.06,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2026-04-03T23:42:51.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,0,0,2026-04-03T23:42:55Z,100000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2026-04-03T23:43:00.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,7.440867279894875,53.18627450980392,1610612752,0,0,2026-04-03T23:43:09Z,110000,False,-16.0,17.0,1,left,MISS O. Anunoby driving Layup,[1628384],1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2026-04-03T23:43:02.3Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2026-04-03T23:43:09Z,120000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M15.00S,2026-04-03T23:43:03.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629011,5.590000152587891,50.0,1610612752,2,0,2026-04-03T23:43:18Z,130000,False,0.0,0.0,1,left,M. Robinson tip Layup (2 PTS),[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M11.00S,2026-04-03T23:43:07.6Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612741,2,0,2026-04-03T23:43:26Z,140000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Buzelis 2 FT),"[1628969, 1641824]",1610612752.0,NYK,shooting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,1162.0,1.0,0.0,Buzelis,1641824.0,,,,,,,,
16,PT11M11.00S,2026-04-03T23:43:40.1Z,1,REGULAR,freethrow,1 of 2,[],1641824,,,1610612741,2,0,2026-04-03T23:43:40Z,160000,False,,,0,,MISS M. Buzelis Free Throw 1 of 2,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT11M11.00S,2026-04-03T23:43:40.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,2,0,2026-04-03T23:43:40Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
18,PT11M11.00S,2026-04-03T23:43:59.8Z,1,REGULAR,freethrow,2 of 2,[],1641824,,,1610612741,2,1,2026-04-03T23:43:59Z,180000,False,,,0,,M. Buzelis Free Throw 2 of 2 (1 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
20,PT10M53.00S,2026-04-03T23:44:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,9.149145860709593,46.568627450980394,1610612752,4,1,2026-04-03T23:45:20Z,200000,False,17.0,34.0,1,left,J. Brunson driving finger roll Layup (2 PTS),[1628973],1610612752.0,NYK,driving finger roll,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,3.77,Made,,,,,2.0,,,,,,,,,,,,,
21,PT10M33.00S,2026-04-03T23:45:14.4Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,4,1,2026-04-03T23:45:18Z,210000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1629011]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Robinson,1629011.0,,,,,
