actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
495,PT10M43.00S,2026-02-02T01:57:32.4Z,4,REGULAR,rebound,defensive,[],1629020,,,1610612747,92,86,2026-02-02T01:57:35Z,4930000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),0-8 Center,,,494.0,1.0,1.0,0.0,,,,,,,,,,,,,,
496,PT10M34.00S,2026-02-02T01:57:41.6Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,89.30683311432325,45.34313725490196,1610612747,92,86,2026-02-02T01:58:41Z,4940000,False,-23.0,48.0,1,right,MISS M. Smart driving floating Shot,[203935],1610612747.0,LAL,driving floating,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,5.34,Missed,,,,,,,,,,,,,,,,,,
497,PT10M31.00S,2026-02-02T01:57:44.6Z,4,REGULAR,rebound,defensive,[],1642278,,,1610612752,92,86,2026-02-02T01:58:41Z,4950000,False,,,0,,T. Kolek REBOUND (Off:0 Def:2),[1642278],1610612752.0,NYK,,,,Kolek,T. Kolek,,,,,In The Paint (Non-RA),0-8 Center,,,496.0,2.0,2.0,0.0,,,,,,,,,,,,,,
498,PT10M25.00S,2026-02-02T01:57:50.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,6.521024967148489,50.73529411764706,1610612752,92,86,2026-02-02T02:00:25Z,4960000,False,-4.0,9.0,1,left,MISS O. Anunoby finger roll Layup,[1628384],1610612752.0,NYK,finger roll,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,,
499,PT10M24.00S,2026-02-02T01:57:51.5Z,4,REGULAR,rebound,defensive,[],2544,,,1610612747,92,86,2026-02-02T01:57:54Z,4970000,False,,,0,,L. James REBOUND (Off:1 Def:4),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,498.0,5.0,4.0,1.0,,,,,,,,,,,,,,
500,PT10M12.00S,2026-02-02T01:58:03.3Z,4,REGULAR,3pt,Jump Shot,[],1629060,90.09526938239159,2.696078431372549,1610612747,92,86,2026-02-02T01:58:12Z,4980000,False,-237.0,41.0,1,right,MISS R. Hachimura 24' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Left Corner 3,24+ Left,24.0,Missed,,,,,,,,,,,,,,,,,,
501,PT10M11.00S,2026-02-02T01:58:04.3Z,4,REGULAR,rebound,offensive,[],1629020,,,1610612747,92,86,2026-02-02T01:58:12Z,4990000,False,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Left Corner 3,24+ Left,,,500.0,2.0,1.0,1.0,,,,,,,,,,,,,,
502,PT10M11.00S,2026-02-02T01:58:07.7Z,4,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629020,94.40999984741211,50.0,1610612747,92,86,2026-02-02T01:58:15Z,5000000,False,0.0,0.0,1,right,MISS J. Vanderbilt tip Layup,[1629020],1610612747.0,LAL,tip,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
503,PT10M09.00S,2026-02-02T01:58:09.7Z,4,REGULAR,rebound,offensive,[],1629028,,,1610612747,92,86,2026-02-02T01:58:15Z,5010000,False,,,0,,D. Ayton REBOUND (Off:4 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,502.0,5.0,1.0,4.0,,,,,,,,,,,,,,
504,PT10M09.00S,2026-02-02T01:58:10.3Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,94.40999984741211,50.0,1610612747,92,88,2026-02-02T01:58:10Z,5020000,False,0.0,0.0,1,right,D. Ayton tip Layup (13 PTS),[1629028],1610612747.0,LAL,tip,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,13.0,,,,,,,,,,,,,
