actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-03T00:11:19.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-03T00:11:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-03T00:11:22.4Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2025-11-03T00:11:22Z,40000,False,,,0,,Jump Ball M. Robinson vs. N. Vučević: Tip to J. Brunson,"[1628973, 1629011, 202696]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-03T00:11:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,5.995400788436268,52.20588235294118,1610612752,2,0,2025-11-03T00:17:13Z,70000,False,-11.0,4.0,1,left,O. Anunoby driving Layup (2 PTS) (K. Towns 1 AST),"[1628384, 1626157]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.17,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2025-11-03T00:11:50.9Z,1,REGULAR,foul,offensive,[],1630171,,,1610612741,2,0,2025-11-03T00:11:57Z,90000,False,,,0,,I. Okoro offensive FOUL (1 PF),"[1630171, 1628973]",1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,,,,,1627963.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,
11,PT11M31.00S,2025-11-03T00:11:50.9Z,1,REGULAR,turnover,offensive foul,[],1630171,,,1610612741,2,0,2025-11-03T00:11:50Z,110000,False,,,0,,I. Okoro offensive foul TURNOVER (1 TO),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,,,,,1627963.0,,,,,1.0,,,,,,,,
12,PT11M09.00S,2025-11-03T00:12:21.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,6.652431011826544,47.549019607843135,1610612752,2,0,2025-11-03T00:12:52Z,120000,False,12.0,10.0,1,left,MISS J. Brunson driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2025-11-03T00:12:25.6Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,2,0,2025-11-03T00:12:25Z,130000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,
14,PT11M05.00S,2025-11-03T00:12:24.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629011,5.590000152587891,50.0,1610612752,2,0,2025-11-03T00:12:27Z,140000,False,0.0,0.0,1,left,MISS M. Robinson tip Layup,[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2025-11-03T00:12:24.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,0,2025-11-03T00:12:27Z,150000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT11M02.00S,2025-11-03T00:12:28.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641824,90.62089356110381,4.166666666666666,1610612741,2,0,2025-11-03T00:12:45Z,160000,False,-229.0,36.0,1,right,MISS M. Buzelis running 3PT,[1641824],1610612741.0,CHI,running,,,Buzelis,M. Buzelis,,,,,Left Corner 3,24+ Left,23.2,Missed,,,,,,,,,,,,,,,,,,
17,PT10M59.00S,2025-11-03T00:12:31.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,2,0,2025-11-03T00:12:37Z,170000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
18,PT10M52.00S,2025-11-03T00:12:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,6.258212877792378,49.26470588235294,1610612752,2,0,2025-11-03T00:12:43Z,180000,False,4.0,6.0,1,left,MISS O. Anunoby driving Layup,[1628384],1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.73,Missed,,,,,,,,,,,,,,,,,,
19,PT10M50.00S,2025-11-03T00:12:40.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,2,0,2025-11-03T00:12:43Z,190000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,
20,PT10M44.00S,2025-11-03T00:12:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641824,91.14651773981603,48.03921568627451,1610612741,2,0,2025-11-03T00:12:53Z,200000,False,-10.0,31.0,1,right,MISS M. Buzelis running Layup,[1641824],1610612741.0,CHI,running,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,3.22,Missed,,,,,,,,,,,,,,,,,,
21,PT10M44.00S,2025-11-03T00:12:45.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,2,0,2025-11-03T00:12:53Z,210000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,20.0,,,,,,,
