actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-05T00:13:08.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-05T00:13:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2026-02-05T00:13:16.3Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2026-02-05T00:13:16Z,40000,False,,,0,,Jump Ball N. Jokić vs. K. Towns: Tip to J. Murray,"[1627750, 203999, 1626157]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokić,203999.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2026-02-05T00:13:38.4Z,1,REGULAR,foul,offensive,[],1631128,,,1610612743,0,0,2026-02-05T00:13:56Z,80000,False,,,0,,C. Braun offensive FOUL (1 PF),"[1631128, 1628384]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),8-16 Center,204059.0,1.0,0.0,Anunoby,1628384.0,,,,,,,,,,,,,,,
10,PT11M48.00S,2026-02-05T00:13:38.4Z,1,REGULAR,turnover,offensive foul,[],1631128,,,1610612743,0,0,2026-02-05T00:13:38Z,100000,False,,,0,,C. Braun offensive foul TURNOVER (1 TO),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),8-16 Center,204059.0,,,,,1.0,,,,,,,,,,,,,,
11,PT11M33.00S,2026-02-05T00:14:00.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,27.151773981603156,77.20588235294117,1610612752,3,0,2026-02-05T00:14:04Z,110000,False,-136.0,203.0,1,left,J. Brunson 24' 3PT  (3 PTS) (J. Clarkson 1 AST),"[1628973, 203903]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,,,,,,,24.41,Made,3.0,J. Clarkson,203903.0,1.0,,,,,,,,
13,PT11M21.00S,2026-02-05T00:14:12.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631212,89.17542706964521,54.166666666666664,1610612743,3,0,2026-02-05T00:14:16Z,130000,False,21.0,49.0,1,right,MISS P. Watson pullup Shot,[1631212],1610612743.0,DEN,pullup,,,Watson,P. Watson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,5.35,Missed,,,,,,,,,,,,
14,PT11M18.00S,2026-02-05T00:14:15.3Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,3,0,2026-02-05T00:14:16Z,140000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,
19,PT10M52.00S,2026-02-05T00:14:59.2Z,1,REGULAR,2pt,Jump Shot,[],203903,9.85545335085414,24.31066176470588,1610612752,5,0,2026-02-05T00:18:10Z,190000,False,128.0,40.0,1,left,J. Clarkson 13' turnaround Jump Shot (2 PTS),[203903],1610612752.0,NYK,turnaround,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Right,,,,,,,13.45,Made,2.0,,,,,,,,,,,
20,PT10M40.00S,2026-02-05T00:15:12.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,90.62089356110381,48.77450980392157,1610612743,5,0,2026-02-05T00:19:56Z,200000,False,-6.0,36.0,1,right,MISS J. Murray floating Shot,[1627750],1610612743.0,DEN,floating,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,3.62,Missed,,,,,,,,,,,,
21,PT10M37.00S,2026-02-05T00:15:15.1Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,5,0,2026-02-05T00:15:18Z,210000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
