actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-12T00:43:06.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-12T00:43:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-11-12T00:43:07.8Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612763,0,0,2025-11-12T00:43:07Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. K. Towns: Tip to K. Caldwell-Pope,"[203484, 1628991, 1626157]",1610612763.0,MEM,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Jackson Jr.,1628991.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-11-12T00:43:18.1Z,1,REGULAR,3pt,Jump Shot,[],1628991,11.383048620236531,3.431372549019608,1610612763,0,3,2025-11-12T00:43:21Z,70000,False,233.0,55.0,1,left,J. Jackson Jr. 3PT  (3 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Right Corner 3,24+ Right,23.91,Made,3.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-11-12T00:43:38.7Z,1,REGULAR,3pt,Jump Shot,[],1629013,92.59198423127464,2.941176470588235,1610612752,0,3,2025-11-12T00:43:42Z,90000,False,-235.0,17.0,1,right,MISS L. Shamet 3PT,[1629013],1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,Left Corner 3,24+ Left,23.59,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2025-11-12T00:43:40.7Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612763,0,3,2025-11-12T00:43:49Z,100000,False,,,0,,J. Landale REBOUND (Off:0 Def:1),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Left Corner 3,24+ Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M17.00S,2025-11-12T00:43:48.1Z,1,REGULAR,2pt,Jump Shot,[],203484,25.969119579500656,42.8921568627451,1610612763,0,5,2025-11-12T00:43:50Z,110000,False,36.0,192.0,1,left,K. Caldwell-Pope 19' pullup Jump Shot (2 PTS),[203484],1610612763.0,MEM,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,19.49,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2025-11-12T00:44:09.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,94.43166885676742,48.529411764705884,1610612752,2,5,2025-11-12T00:44:12Z,120000,False,-7.0,0.0,1,right,O. Anunoby driving Layup (2 PTS) (M. Bridges 1 AST),"[1628384, 1628969]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.74,Made,2.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,
14,PT10M39.00S,2025-11-12T00:44:25.9Z,1,REGULAR,2pt,Hook,[],1628991,7.5722733245729295,31.127450980392158,1610612763,2,7,2025-11-12T00:44:29Z,140000,False,94.0,19.0,1,left,J. Jackson Jr. 9' turnaround Hook (5 PTS),[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Right,9.62,Made,5.0,,,,,,,,,,,,,,,,,
15,PT10M20.00S,2025-11-12T00:44:44.4Z,1,REGULAR,3pt,Jump Shot,[],1626157,71.43561103810775,20.833333333333336,1610612752,2,7,2025-11-12T00:44:50Z,150000,False,-146.0,216.0,1,right,MISS K. Towns 26' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,26.06,Missed,,,,,,,,,,,,,,,,,,
16,PT10M18.00S,2025-11-12T00:44:46.4Z,1,REGULAR,rebound,offensive,[],1629013,,,1610612752,2,7,2025-11-12T00:44:58Z,160000,False,,,0,,L. Shamet REBOUND (Off:1 Def:0),[1629013],1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
