actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-20T00:13:03.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-20T00:13:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-20T00:13:05.5Z,1,REGULAR,jumpball,recovered,[],202331,,,1610612755,0,0,2025-12-20T00:13:05Z,40000,False,,,0,,Jump Ball A. Drummond vs. K. Towns: Tip to P. George,"[202331, 203083, 1626157]",1610612755.0,PHI,startperiod,P. George,202331.0,George,P. George,Drummond,203083.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-12-20T00:13:15.6Z,1,REGULAR,3pt,Jump Shot,[],202331,29.25427069645204,21.07843137254902,1610612755,0,0,2025-12-20T00:13:21Z,70000,False,145.0,222.0,1,left,MISS P. George 26' 3PT,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.54,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-12-20T00:13:19.0Z,1,REGULAR,rebound,offensive,[],1631230,,,1610612755,0,0,2025-12-20T00:13:19Z,80000,False,,,0,,D. Barlow REBOUND (Off:1 Def:0),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M41.00S,2025-12-20T00:13:20.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642845,32.013797634691194,52.20588235294118,1610612755,0,0,2025-12-20T00:13:26Z,90000,False,-11.0,248.0,1,left,MISS V. Edgecombe 24' 3PT,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,24.86,Missed,,,,,,,,,,,,,,,,,,
10,PT11M40.00S,2025-12-20T00:13:21.4Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,0,0,2025-12-20T00:13:26Z,100000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M21.00S,2025-12-20T00:13:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.64323258869908,49.26470588235294,1610612752,2,0,2025-12-20T00:13:43Z,110000,False,-4.0,7.0,1,right,J. Brunson driving finger roll Layup (2 PTS) (J. Hart 1 AST),"[1628973, 1628404]",1610612752.0,NYK,driving finger roll,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,2.0,J. Hart,1628404.0,1.0,,,,,,,,,,
12,PT11M07.00S,2025-12-20T00:13:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631230,5.732588699080158,49.01960784313725,1610612755,2,2,2025-12-20T00:15:12Z,120000,False,5.0,1.0,1,left,D. Barlow cutting Layup (2 PTS) (T. Maxey 1 AST),"[1631230, 1630178]",1610612755.0,PHI,cutting,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,0.51,Made,,,,,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,
15,PT10M49.00S,2025-12-20T00:14:15.1Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612752,2,2,2025-12-20T00:14:20Z,140000,False,,,0,,K. Towns bad pass out-of-bounds TURNOVER (1 TO),[1626157],1610612752.0,NYK,bad pass,,,Towns,K. Towns,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,201245.0,1.0,,,,,,,,
16,PT10M28.00S,2025-12-20T00:14:42.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630178,10.726018396846255,50.98039215686274,1610612755,2,4,2025-12-20T00:14:48Z,150000,False,-5.0,48.0,1,left,T. Maxey driving floating Jump Shot (2 PTS) (V. Edgecombe 1 AST),"[1630178, 1642845]",1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,4.85,Made,,,,,2.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,
