actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-31T00:41:20.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-31T00:41:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-31T00:41:22.9Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2026-01-31T00:41:22Z,40000,False,,,0,,Jump Ball K. Towns vs. D. Clingan: Tip to J. Hart,"[1628404, 1626157, 1642270]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-01-31T00:41:55.1Z,1,REGULAR,foul,personal,['2freethrow'],1631101,,,1610612752,0,0,2026-01-31T00:42:08Z,80000,False,,,0,,S. Sharpe shooting personal FOUL (1 PF) (Hart 2 FT),"[1631101, 1628404]",1610612757.0,POR,shooting,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Left,1629183.0,1.0,0.0,Hart,1628404.0,,,,,,,,,,,,,,,
10,PT11M41.00S,2026-01-31T00:42:24.5Z,1,REGULAR,freethrow,1 of 2,[],1628404,,,1610612752,0,0,2026-01-31T00:42:24Z,100000,False,,,0,,MISS J. Hart Free Throw 1 of 2,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M41.00S,2026-01-31T00:42:24.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,0,0,2026-01-31T00:42:24Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M41.00S,2026-01-31T00:42:43.0Z,1,REGULAR,freethrow,2 of 2,[],1628404,,,1610612752,1,0,2026-01-31T00:42:43Z,120000,False,,,0,,J. Hart Free Throw 2 of 2 (1 PTS),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
13,PT11M22.00S,2026-01-31T00:43:03.4Z,1,REGULAR,3pt,Jump Shot,[],1641739,27.808804204993432,21.568627450980394,1610612757,1,0,2026-01-31T00:43:33Z,130000,False,142.0,209.0,1,left,MISS T. Camara 25' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.27,,,,,,,,,,,
14,PT11M19.00S,2026-01-31T00:43:06.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,1,0,2026-01-31T00:43:10Z,140000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,,,1.0,1.0,0.0,,,,,,,,
15,PT11M12.00S,2026-01-31T00:43:12.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626157,68.28186596583443,30.14705882352941,1610612752,1,0,2026-01-31T00:58:02Z,150000,False,-99.0,246.0,1,right,MISS K. Towns 26' running 3PT,[1626157],1610612752.0,NYK,running,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,26.5,,,,,,,,,,,
16,PT11M09.00S,2026-01-31T00:43:15.5Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,1,0,2026-01-31T00:43:17Z,160000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,,,1.0,1.0,0.0,,,,,,,,
