actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-01T18:11:04.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-01T18:11:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-01T18:11:07.3Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2026-03-01T18:11:07Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. K. Towns: Tip to S. Castle,"[1642264, 1641705, 1626157]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Wembanyama,1641705.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2026-03-01T18:11:26.4Z,1,REGULAR,3pt,Jump Shot,[],1628368,32.276609724047304,23.284313725490197,1610612759,0,0,2026-03-01T18:11:31Z,70000,False,134.0,251.0,1,left,MISS D. Fox 28' 3PT,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,28.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2026-03-01T18:11:29.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,0,0,2026-03-01T18:11:29Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2026-03-01T18:11:50.9Z,1,REGULAR,foul,personal,['2freethrow'],1630577,,,1610612752,0,0,2026-03-01T18:12:20Z,100000,False,,,0,,J. Champagnie shooting personal FOUL (1 PF) (Hart 2 FT),"[1630577, 1628404]",1610612759.0,SAS,shooting,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,201246.0,1.0,0.0,Hart,1628404.0,,,,,,,,,,,,
12,PT11M23.00S,2026-03-01T18:12:21.3Z,1,REGULAR,freethrow,1 of 2,[],1628404,,,1610612752,0,0,2026-03-01T18:12:21Z,120000,False,,,0,,MISS J. Hart Free Throw 1 of 2,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2026-03-01T18:12:21.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,0,0,2026-03-01T18:12:21Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
14,PT11M23.00S,2026-03-01T18:12:40.4Z,1,REGULAR,freethrow,2 of 2,[],1628404,,,1610612752,1,0,2026-03-01T18:12:40Z,140000,False,,,0,,J. Hart Free Throw 2 of 2 (1 PTS),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
15,PT11M15.00S,2026-03-01T18:12:49.8Z,1,REGULAR,3pt,Jump Shot,[],1641705,32.40801576872536,46.81372549019608,1610612759,1,0,2026-03-01T18:13:33Z,150000,False,16.0,252.0,1,left,MISS V. Wembanyama 25' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,25.26,Missed,,,,,,,,,,,,,,,,,,
16,PT11M13.00S,2026-03-01T18:12:51.8Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,1,0,2026-03-01T18:12:54Z,160000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,15.0,,,,,,,1.0,1.0,0.0,,,,,,,,
