actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-19T22:18:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-19T22:18:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-19T22:18:29.8Z,1,REGULAR,jumpball,recovered,[],203939,,,1610612742,0,0,2026-01-19T22:18:29Z,40000,False,,,0,,Jump Ball D. Powell vs. K. Towns: Tip to D. Powell,"[203939, 203939, 1626157]",1610612742.0,DAL,startperiod,D. Powell,203939.0,Powell,D. Powell,Powell,203939.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-19T22:18:41.5Z,1,REGULAR,2pt,Jump Shot,[],1642843,9.280551905387648,66.42156862745098,1610612742,0,2,2026-01-19T22:19:03Z,70000,False,-82.0,35.0,1,left,C. Flagg 8' step back Jump Shot (2 PTS) (D. Powell 1 AST),"[1642843, 203939]",1610612742.0,DAL,step back,,,Flagg,C. Flagg,,,,,Mid-Range,8-16 Left,8.91,Made,2.0,D. Powell,203939.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2026-01-19T22:19:02.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,91.67214191852825,43.627450980392155,1610612752,0,2,2026-01-19T22:19:06Z,90000,False,-32.0,26.0,1,right,MISS K. Towns Hook,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2026-01-19T22:19:04.0Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,0,2,2026-01-19T22:19:06Z,100000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M05.00S,2026-01-19T22:19:20.1Z,1,REGULAR,3pt,Jump Shot,[],1628997,5.075558475689881,96.07843137254902,1610612742,0,2,2026-01-19T22:19:26Z,110000,False,-230.0,-5.0,1,left,MISS C. Martin 3PT,[1628997],1610612742.0,DAL,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2026-01-19T22:19:23.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,0,2,2026-01-19T22:19:26Z,120000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M53.00S,2026-01-19T22:19:35.1Z,1,REGULAR,violation,kicked ball,[],203939,,,1610612752,0,2,2026-01-19T22:19:47Z,130000,False,,,0,,D. Powell kicked ball VIOLATION,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,1628951.0,,,,,,,,,
14,PT10M44.00S,2026-01-19T22:19:58.2Z,1,REGULAR,2pt,Jump Shot,[],1628973,78.9257555847569,45.34313725490196,1610612752,2,2,2026-01-19T22:20:02Z,140000,False,-23.0,146.0,1,right,J. Brunson 14' turnaround fadeaway Jump Shot (2 PTS) (K. Towns 1 AST),"[1628973, 1626157]",1610612752.0,NYK,turnaround fadeaway,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Center,14.75,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
16,PT10M24.00S,2026-01-19T22:20:18.0Z,1,REGULAR,3pt,Jump Shot,[],1630230,29.517082785808146,68.38235294117648,1610612742,2,5,2026-01-19T22:27:40Z,160000,False,-92.0,225.0,1,left,N. Marshall 24' 3PT  (3 PTS) (M. Christie 1 AST),"[1630230, 1631108]",1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,24.3,Made,3.0,M. Christie,1631108.0,1.0,,,,,,,,,,,,,,
18,PT10M11.00S,2026-01-19T22:20:34.3Z,1,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612752,2,5,2026-01-19T22:20:39Z,180000,False,,,0,,J. Hart step out-of-bounds TURNOVER (1 TO),[1628404],1610612752.0,NYK,step,,,Hart,J. Hart,,,,,Right Corner 3,24+ Right,,,,,,,,,,,101284.0,1.0,,,,,,,,
19,PT10M02.00S,2026-01-19T22:20:57.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203939,6.783837056504599,50.49019607843137,1610612742,2,5,2026-01-19T22:21:07Z,190000,False,-2.0,11.0,1,left,MISS D. Powell Layup - blocked,"[203939, 1626157]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,1.16,Missed,,,,,,,,,,,Towns,1626157.0,,,,,,
20,PT10M02.00S,2026-01-19T22:20:57.0Z,1,REGULAR,block,,[],1626157,,,1610612742,2,5,2026-01-19T22:20:59Z,200000,False,,,0,,K. Towns BLOCK (1 BLK),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M01.00S,2026-01-19T22:20:58.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,2,5,2026-01-19T22:21:07Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,19.0,,,,,,,,,,,,,
23,PT10M00.00S,2026-01-19T22:21:14.2Z,1,REGULAR,turnover,out-of-bounds,[],1631108,,,1610612742,2,5,2026-01-19T22:22:26Z,230000,False,,,0,,M. Christie lost ball out-of-bounds TURNOVER (1 TO),[1631108],1610612742.0,DAL,lost ball,,,Christie,M. Christie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,101284.0,1.0,,,,,,,,
24,PT09M51.00S,2026-01-19T22:21:23.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,85.89027595269383,96.07843137254902,1610612752,2,5,2026-01-19T22:29:39Z,240000,False,230.0,80.0,1,right,MISS J. Brunson 24' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,24.39,Missed,,,,,,,,,,,,,,,,,,
25,PT09M49.00S,2026-01-19T22:21:25.3Z,1,REGULAR,rebound,defensive,[],1642843,,,1610612742,2,5,2026-01-19T22:21:28Z,250000,False,,,0,,C. Flagg REBOUND (Off:0 Def:1),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Right Corner 3,24+ Right,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
