actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-21T23:11:06.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-21T23:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-12-21T23:11:07.9Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2025-12-21T23:11:07Z,40000,False,,,0,,Jump Ball K. Towns vs. K. Ware: Tip to J. Hart,"[1628404, 1626157, 1642276]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-12-21T23:11:27.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,90.75229960578186,42.8921568627451,1610612752,0,0,2025-12-21T23:11:31Z,70000,False,-36.0,34.0,1,right,MISS J. Brunson pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,4.94,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-12-21T23:11:30.6Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612748,0,0,2025-12-21T23:11:30Z,80000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-12-21T23:11:38.3Z,1,REGULAR,3pt,Jump Shot,[],203952,19.793035479632064,92.64705882352942,1610612748,0,0,2025-12-21T23:11:43Z,90000,False,-213.0,134.0,1,left,MISS A. Wiggins 25' 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2025-12-21T23:11:41.3Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,0,2025-12-21T23:24:24Z,100000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M16.00S,2025-12-21T23:11:48.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630558,25.18068331143233,85.7843137254902,1610612748,0,3,2025-12-21T23:11:53Z,110000,False,-179.0,184.0,1,left,D. Mitchell 25' 3PT  (3 PTS) (A. Wiggins 1 AST),"[1630558, 203952]",1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.68,Made,,,,,3.0,A. Wiggins,203952.0,1.0,,,,,,,,,,
13,PT10M48.00S,2025-12-21T23:12:17.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,82.9993429697766,39.46078431372549,1610612752,2,3,2025-12-21T23:12:19Z,130000,False,-53.0,107.0,1,right,J. Brunson 11' turnaround fadeaway Jump Shot (2 PTS),[1628973],1610612752.0,NYK,turnaround fadeaway,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,11.95,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M29.00S,2025-12-21T23:12:35.3Z,1,REGULAR,3pt,Jump Shot,[],1626181,8.229303547963205,96.07843137254902,1610612748,2,6,2025-12-21T23:12:38Z,140000,False,-230.0,25.0,1,left,N. Powell 3PT  (3 PTS) (D. Mitchell 1 AST),"[1626181, 1630558]",1610612748.0,MIA,,,,Powell,N. Powell,,,,,Left Corner 3,24+ Left,23.17,Made,,,,,3.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,
16,PT10M15.00S,2025-12-21T23:12:49.5Z,1,REGULAR,3pt,Jump Shot,[],1628404,92.46057818659659,3.9215686274509802,1610612752,5,6,2025-12-21T23:12:52Z,160000,False,-230.0,18.0,1,right,J. Hart 3PT  (3 PTS) (M. Bridges 1 AST),"[1628404, 1628969]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,23.11,Made,,,,,3.0,M. Bridges,1628969.0,1.0,,,,,,,,,,
19,PT09M56.00S,2025-12-21T23:13:25.5Z,1,REGULAR,2pt,Jump Shot,[],1626181,8.360709592641262,29.65686274509804,1610612748,5,6,2025-12-21T23:13:28Z,190000,False,102.0,26.0,1,left,MISS N. Powell 10' driving floating Shot,[1626181],1610612748.0,MIA,driving floating,,,Powell,N. Powell,,,,,Mid-Range,8-16 Right,10.5,Missed,,,,,,,,,,,,,,,,,,
20,PT09M54.00S,2025-12-21T23:13:27.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,5,6,2025-12-21T23:13:28Z,200000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Right,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT09M50.00S,2025-12-21T23:13:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628969,93.11760840998686,49.50980392156863,1610612752,7,6,2025-12-21T23:13:36Z,210000,False,-2.0,12.0,1,right,M. Bridges running reverse Layup (2 PTS) (J. Hart 1 AST),"[1628969, 1628404]",1610612752.0,NYK,running reverse,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.25,Made,,,,,2.0,J. Hart,1628404.0,1.0,,,,,,,,,,
23,PT09M39.00S,2025-12-21T23:13:42.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,5.995400788436268,61.51960784313726,1610612748,7,6,2025-12-21T23:13:45Z,230000,False,-58.0,4.0,1,left,MISS B. Adebayo turnaround Hook,[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.77,Missed,,,,,,,,,,,,,,,,,,
24,PT09M37.00S,2025-12-21T23:13:44.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,7,6,2025-12-21T23:13:45Z,240000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M26.00S,2025-12-21T23:13:59.3Z,1,REGULAR,turnover,out-of-bounds,[],1628384,,,1610612752,7,6,2025-12-21T23:14:37Z,250000,False,,,0,,O. Anunoby bad pass out-of-bounds TURNOVER (1 TO),[1628384],1610612752.0,NYK,bad pass,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,,,,,,,,,,,202007.0,1.0,,,,,,,,
26,PT09M07.00S,2025-12-21T23:14:29.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,6.915243101182654,48.529411764705884,1610612748,7,6,2025-12-21T23:14:31Z,260000,False,7.0,13.0,1,left,MISS A. Wiggins Layup,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,,
27,PT09M06.00S,2025-12-21T23:14:30.3Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,7,6,2025-12-21T23:14:31Z,270000,False,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,26.0,3.0,3.0,0.0,,,,,,,,,,,,,,
28,PT08M54.00S,2025-12-21T23:14:42.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,93.11760840998686,49.01960784313725,1610612752,7,6,2025-12-21T23:14:45Z,280000,False,-5.0,12.0,1,right,MISS K. Towns driving Layup - blocked,"[1626157, 203952]",1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.31,Missed,,,,,,,,,,,Wiggins,203952.0,,,,,,
29,PT08M54.00S,2025-12-21T23:14:42.8Z,1,REGULAR,block,,[],203952,,,1610612752,7,6,2025-12-21T23:14:44Z,290000,False,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT08M52.00S,2025-12-21T23:14:44.8Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,7,6,2025-12-21T23:14:45Z,300000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT08M46.00S,2025-12-21T23:14:50.4Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,7,6,2025-12-21T23:14:54Z,310000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1628404]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,1.0,,,Hart,1628404.0,,,,
32,PT08M46.00S,2025-12-21T23:14:50.4Z,1,REGULAR,steal,,[],1628404,,,1610612752,7,6,2025-12-21T23:14:52Z,320000,False,,,0,,J. Hart STEAL (1 STL),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
33,PT08M44.00S,2025-12-21T23:14:54.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1626157,86.81011826544021,92.15686274509804,1610612752,7,6,2025-12-21T23:32:01Z,330000,False,211.0,71.0,1,right,MISS K. Towns 22' running Shot,[1626157],1610612752.0,NYK,running,,,Towns,K. Towns,,,,,Mid-Range,16-24 Right,22.26,Missed,,,,,,,,,,,,,,,,,,
34,PT08M42.00S,2025-12-21T23:14:56.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,6,2025-12-21T23:32:01Z,340000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right,,,33.0,2.0,1.0,1.0,,,,,,,,,,,,,,
127,PT08M42.00S,2025-12-21T23:14:57.3Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,7,6,2025-12-21T23:33:41Z,345000,False,,,0,,B. Adebayo step out-of-bounds TURNOVER (2 TO),[1628389],1610612748.0,MIA,step,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627963.0,2.0,,,,,,,,
36,PT08M32.00S,2025-12-21T23:15:24.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628404,80.23981603153744,93.87254901960785,1610612752,7,6,2025-12-21T23:32:41Z,360000,False,219.0,133.0,1,right,MISS J. Hart 25' pullup 3PT,[1628404],1610612752.0,NYK,pullup,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,25.67,Missed,,,,,,,,,,,,,,,,,,
37,PT08M29.00S,2025-12-21T23:15:27.8Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612748,7,6,2025-12-21T23:15:28Z,370000,False,,,0,,N. Powell REBOUND (Off:0 Def:2),[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT08M24.00S,2025-12-21T23:15:32.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628389,30.17411300919842,70.58823529411765,1610612748,7,6,2025-12-21T23:17:16Z,380000,False,-103.0,231.0,1,left,MISS B. Adebayo 25' running 3PT,[1628389],1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,25.3,Missed,,,,,,,,,,,,,,,,,,
39,PT08M23.00S,2025-12-21T23:15:33.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,7,6,2025-12-21T23:15:38Z,390000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Left Center,,,38.0,,,,,,,,,,,,,,,,,
41,PT07M58.00S,2025-12-21T23:16:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,93.51182654402102,49.754901960784316,1610612752,7,6,2025-12-21T23:16:09Z,410000,False,-1.0,8.0,1,right,MISS J. Hart driving reverse Layup,[1628404],1610612752.0,NYK,driving reverse,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,0.86,Missed,,,,,,,,,,,,,,,,,,
42,PT07M56.00S,2025-12-21T23:16:08.2Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,7,6,2025-12-21T23:16:09Z,420000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT07M46.00S,2025-12-21T23:16:22.7Z,1,REGULAR,foul,personal,[],1628969,,,1610612748,7,6,2025-12-21T23:16:27Z,430000,False,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 1626181]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,16-24 Right Center,,,,,,,,,,,202007.0,,,,,,1.0,0.0,Powell,1626181.0
45,PT07M37.00S,2025-12-21T23:16:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642276,15.719448094612352,42.64705882352941,1610612748,7,8,2025-12-21T23:16:53Z,450000,False,37.0,95.0,1,left,K. Ware 10' turnaround fadeaway Jump Shot (2 PTS),[1642276],1610612748.0,MIA,turnaround fadeaway,,,Ware,K. Ware,,,,,In The Paint (Non-RA),8-16 Center,10.22,Made,,,,,2.0,,,,,,,,,,,,,
48,PT07M25.00S,2025-12-21T23:17:06.2Z,1,REGULAR,substitution,out,[],1628389,,,1610612752,7,8,2025-12-21T23:17:12Z,480000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
