actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-13T00:12:42.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-13T00:12:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-11-13T00:12:44.4Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2025-11-13T00:12:44Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. M. Robinson: Tip to J. Suggs,"[1630591, 1628976, 1629011]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-11-13T00:13:02.3Z,1,REGULAR,3pt,Jump Shot,[],1630591,27.414586070959263,83.08823529411765,1610612753,0,0,2025-11-13T00:14:34Z,155000,False,-165.0,205.0,1,left,MISS J. Suggs 26' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,26.36,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-11-13T00:13:04.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,0,2025-11-13T00:14:34Z,157500,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2025-11-13T00:13:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.51182654402102,46.81372549019608,1610612752,2,0,2025-11-13T00:15:34Z,158750,False,-16.0,8.0,1,right,J. Brunson driving finger roll Layup (2 PTS),[1628973],1610612752.0,NYK,driving finger roll,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.8,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M04.00S,2025-11-13T00:13:40.6Z,1,REGULAR,3pt,Jump Shot,[],1628976,6.521024967148489,95.58823529411765,1610612753,2,0,2025-11-13T00:28:20Z,159375,False,-228.0,9.0,1,left,MISS W. Carter Jr. 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,22.81,Missed,,,,,,,,,,,,,,,,,,
11,PT11M02.00S,2025-11-13T00:13:42.6Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,2,0,2025-11-13T00:28:20Z,159687,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Left Corner 3,24+ Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M56.00S,2025-11-13T00:13:48.4Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,2,0,2025-11-13T00:19:44Z,159843,False,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1630591]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right,,,,,,,,1.0,Suggs,1630591.0,,,,,,,,,,
13,PT10M56.00S,2025-11-13T00:13:48.4Z,1,REGULAR,steal,,[],1630591,,,1610612753,2,0,2025-11-13T00:13:50Z,159921,False,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2025-11-13T00:13:52.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630591,7.046649145860711,48.03921568627451,1610612753,2,2,2025-11-13T00:20:14Z,159960,False,10.0,14.0,1,left,J. Suggs running Layup (2 PTS) (F. Wagner 1 AST),"[1630591, 1630532]",1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.68,Made,,,,,2.0,,,,F. Wagner,1630532.0,1.0,,,,,,,
16,PT10M31.00S,2025-11-13T00:14:13.1Z,1,REGULAR,3pt,Jump Shot,[],1626157,93.38042049934296,4.411764705882353,1610612752,2,2,2025-11-13T00:14:17Z,160000,False,-228.0,10.0,1,right,MISS K. Towns 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,22.81,Missed,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2025-11-13T00:14:15.1Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612753,2,2,2025-11-13T00:14:15Z,170000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,Left Corner 3,24+ Left,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M24.00S,2025-11-13T00:14:40.9Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612753,2,2,2025-11-13T00:14:45Z,180000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Banchero 2 FT),"[1628969, 1631094]",1610612752.0,NYK,shooting,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,2002.0,1.0,0.0,Banchero,1631094.0,,
20,PT10M24.00S,2025-11-13T00:14:53.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631094,,,1610612753,2,3,2025-11-13T00:14:53Z,200000,False,,,0,,P. Banchero Free Throw 1 of 2 (1 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
21,PT10M24.00S,2025-11-13T00:14:53.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631094,,,1610612753,2,4,2025-11-13T00:24:36Z,210000,False,,,0,,P. Banchero Free Throw 2 of 2 (2 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
22,PT10M13.00S,2025-11-13T00:15:33.9Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612752,2,4,2025-11-13T00:15:46Z,220000,False,,,0,,J. Suggs shooting personal FOUL (1 PF) (Brunson 2 FT),"[1630591, 1628973]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1626301.0,1.0,0.0,Brunson,1628973.0,,
24,PT10M13.00S,2025-11-13T00:16:00.7Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612752,3,4,2025-11-13T00:16:00Z,240000,False,,,0,,J. Brunson Free Throw 1 of 2 (3 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
25,PT10M13.00S,2025-11-13T00:16:23.7Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612752,4,4,2025-11-13T00:16:23Z,250000,False,,,0,,J. Brunson Free Throw 2 of 2 (4 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
26,PT10M00.00S,2025-11-13T00:16:39.6Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612753,4,4,2025-11-13T00:17:25Z,260000,False,,,0,,M. Robinson shooting personal FOUL (1 PF) (Wagner 2 FT),"[1629011, 1630532]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1626301.0,1.0,0.0,Wagner,1630532.0,,
28,PT10M00.00S,2025-11-13T00:17:10.0Z,1,REGULAR,freethrow,1 of 2,[],1630532,,,1610612753,4,5,2025-11-13T00:17:32Z,280000,False,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
29,PT10M00.00S,2025-11-13T00:17:10.0Z,1,REGULAR,freethrow,2 of 2,[],1630532,,,1610612753,4,6,2025-11-13T00:17:32Z,290000,False,,,0,,F. Wagner Free Throw 2 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
30,PT09M51.00S,2025-11-13T00:17:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,85.49605781865965,43.38235294117647,1610612752,4,6,2025-11-13T00:17:52Z,300000,False,-33.0,84.0,1,right,MISS J. Brunson 9' driving floating Shot - blocked,"[1628973, 1631094]",1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,9.01,Missed,,,,,,,,,,,,,,,,,Banchero,1631094.0
31,PT09M51.00S,2025-11-13T00:17:42.6Z,1,REGULAR,block,,[],1631094,,,1610612752,4,6,2025-11-13T00:17:44Z,310000,False,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M51.00S,2025-11-13T00:17:42.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,4,6,2025-11-13T00:17:52Z,320000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
