actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-06T00:43:19.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-06T00:43:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-06T00:43:40.0Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2025-11-06T00:43:40Z,40000,False,,,0,,Jump Ball M. Robinson vs. R. Gobert: Tip to J. Brunson,"[1628973, 1629011, 203497]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2025-11-06T00:44:07.6Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612752,0,0,2025-11-06T00:44:16Z,90000,False,,,0,,J. Randle shooting personal FOUL (1 PF) (Towns 2 FT),"[203944, 1626157]",1610612750.0,MIN,shooting,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,,
11,PT11M44.00S,2025-11-06T00:44:29.6Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612752,1,0,2025-11-06T00:44:29Z,110000,False,,,0,,K. Towns Free Throw 1 of 2 (1 PTS),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
12,PT11M44.00S,2025-11-06T00:44:51.9Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612752,2,0,2025-11-06T00:44:51Z,120000,False,,,0,,K. Towns Free Throw 2 of 2 (2 PTS),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
13,PT11M27.00S,2025-11-06T00:45:10.8Z,1,REGULAR,3pt,Jump Shot,[],203944,66.96780551905388,44.85294117647059,1610612750,2,3,2025-11-06T00:45:15Z,130000,False,-26.0,258.0,1,right,J. Randle 25' 3PT  (3 PTS) (D. DiVincenzo 1 AST),"[203944, 1628978]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,25.93,D. DiVincenzo,1628978.0,1.0,,,,,,,,,
15,PT11M05.00S,2025-11-06T00:45:37.8Z,1,REGULAR,turnover,backcourt,[],1629011,,,1610612752,2,3,2025-11-06T00:46:09Z,150000,False,,,0,,M. Robinson backcourt TURNOVER (1 TO),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Left Center,1627519.0,,,,,,,,,,,1.0,,,,,,,,
16,PT10M50.00S,2025-11-06T00:46:03.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628978,69.99014454664915,74.50980392156863,1610612750,2,3,2025-11-06T00:46:06Z,160000,False,123.0,230.0,1,right,MISS D. DiVincenzo 26' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,26.02,,,,,,,,,,,,
17,PT10M48.00S,2025-11-06T00:46:05.4Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,2,3,2025-11-06T00:46:06Z,170000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
18,PT10M38.00S,2025-11-06T00:46:15.4Z,1,REGULAR,3pt,Jump Shot,[],1626157,28.86005256241787,16.666666666666664,1610612752,2,3,2025-11-06T00:46:18Z,180000,False,167.0,219.0,1,left,MISS K. Towns 27' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,27.51,,,,,,,,,,,,
