actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-18T00:42:13.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-18T00:42:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-18T00:42:16.1Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612756,0,0,2026-01-18T00:42:16Z,40000,False,,,0,,Jump Ball M. Williams vs. K. Towns: Tip to C. Gillespie,"[1631221, 1631109, 1626157]",1610612756.0,PHX,startperiod,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Williams,1631109.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-18T00:42:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,94.66162943495401,51.22549019607843,1610612756,0,2,2026-01-18T00:42:33Z,70000,False,6.0,-2.0,1,right,D. Booker driving Layup (2 PTS),[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,0.65,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2026-01-18T00:42:48.7Z,1,REGULAR,3pt,Jump Shot,[],1642885,27.77595269382391,21.568627450980387,1610612752,0,2,2026-01-18T00:42:52Z,80000,False,142.0,209.0,1,left,MISS M. Diawara 25' 3PT,[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,Above the Break 3,24+ Right Center,25.25,Missed,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2026-01-18T00:42:51.7Z,1,REGULAR,rebound,defensive,[],1631221,,,1610612756,0,2,2026-01-18T00:42:52Z,90000,False,,,0,,C. Gillespie REBOUND (Off:0 Def:1),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M05.00S,2026-01-18T00:43:07.5Z,1,REGULAR,2pt,Jump Shot,[],1628415,75.21353482260184,29.90196078431373,1610612756,0,4,2026-01-18T00:43:17Z,100000,False,-100.0,180.0,1,right,D. Brooks 20' step back Jump Shot (2 PTS),[1628415],1610612756.0,PHX,step back,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left Center,20.66,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M45.00S,2026-01-18T00:43:27.5Z,1,REGULAR,3pt,Jump Shot,[],1642885,7.145203679369246,2.4509803921568647,1610612752,3,4,2026-01-18T00:43:30Z,110000,False,238.0,15.0,1,left,M. Diawara 3PT  (3 PTS) (O. Anunoby 1 AST),"[1642885, 1628384]",1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,Right Corner 3,24+ Right,23.82,Made,3.0,,,,,O. Anunoby,1628384.0,1.0,,,,,,,,,,
13,PT10M31.00S,2026-01-18T00:43:43.7Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,3,4,2026-01-18T00:43:50Z,130000,False,,,0,,D. Booker bad pass out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1627529.0,1.0,,,,,,,,
14,PT10M12.00S,2026-01-18T00:44:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626157,6.356767411300922,48.0392156862745,1610612752,3,4,2026-01-18T00:44:11Z,140000,False,10.0,7.0,1,left,MISS K. Towns driving Layup,[1626157],1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.22,Missed,,,,,,,,,,,,,,,,,,
15,PT10M10.00S,2026-01-18T00:44:09.4Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,3,4,2026-01-18T00:44:11Z,150000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
