actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-30T23:13:02.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-30T23:13:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-30T23:13:05.4Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612761,0,0,2025-11-30T23:13:05Z,40000,False,,,0,,Jump Ball S. Barnes vs. K. Towns: Tip to B. Ingram,"[1627742, 1630567, 1626157]",1610612761.0,TOR,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Barnes,1630567.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-11-30T23:13:24.7Z,1,REGULAR,3pt,Jump Shot,[],1642419,92.9862023653088,2.941176470588235,1610612761,0,0,2025-11-30T23:13:29Z,70000,False,-235.0,13.0,1,right,MISS J. Battle 3PT,[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Left Corner 3,24+ Left,23.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2025-11-30T23:13:29.5Z,1,REGULAR,rebound,offensive,[],1642266,,,1610612761,0,0,2025-11-30T23:13:29Z,80000,False,,,0,,J. Walter REBOUND (Off:1 Def:0),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Left Corner 3,24+ Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2025-11-30T23:13:29.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642266,94.40999984741211,50.0,1610612761,0,2,2025-11-30T23:13:29Z,90000,False,0.0,0.0,1,right,J. Walter tip Layup (2 PTS),[1642266],1610612761.0,TOR,tip,,,Walter,J. Walter,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M08.00S,2025-11-30T23:13:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,5.469776609724048,49.754901960784316,1610612752,2,2,2025-11-30T23:13:56Z,100000,False,1.0,-1.0,1,left,M. Bridges driving finger roll Layup (2 PTS),[1628969],1610612752.0,NYK,driving finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.16,Made,,,,,2.0,,,,,,,,,,,,,
11,PT10M58.00S,2025-11-30T23:14:02.5Z,1,REGULAR,turnover,bad pass,[],1630193,,,1610612761,2,2,2025-11-30T23:14:06Z,110000,False,,,0,,I. Quickley bad pass TURNOVER (1 TO),"[1630193, 1628969]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Bridges,1628969.0,,,,,,,,,,
12,PT10M58.00S,2025-11-30T23:14:02.5Z,1,REGULAR,steal,,[],1628969,,,1610612752,2,2,2025-11-30T23:14:04Z,120000,False,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2025-11-30T23:14:06.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630540,19.136005256241788,97.05882352941177,1610612752,2,2,2025-11-30T23:14:11Z,130000,False,-235.0,127.0,1,left,MISS M. McBride 26' running 3PT,[1630540],1610612752.0,NYK,running,,,McBride,M. McBride,,,,,Above the Break 3,24+ Left Center,26.76,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2025-11-30T23:14:08.4Z,1,REGULAR,rebound,defensive,[],1642266,,,1610612761,2,2,2025-11-30T23:14:11Z,140000,False,,,0,,J. Walter REBOUND (Off:1 Def:1),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Left Center,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
