actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-25T17:08:06.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-25T17:08:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-25T17:08:08.4Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2025-12-25T17:08:08Z,40000,False,,,0,,Jump Ball K. Towns vs. J. Allen: Tip to J. Brunson,"[1628973, 1626157, 1628386]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Towns,1626157.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M30.00S,2025-12-25T17:08:35.0Z,1,REGULAR,2pt,Jump Shot,[],1628404,11.12023653088042,68.62745098039215,1610612752,0,0,2025-12-25T17:08:39Z,70000,False,-93.0,52.0,1,left,MISS J. Hart 10' turnaround fadeaway Shot,[1628404],1610612752.0,NYK,turnaround fadeaway,,,Hart,J. Hart,,,,,Mid-Range,8-16 Left,10.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2025-12-25T17:08:37.1Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,0,2025-12-25T17:08:37Z,80000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-12-25T17:08:44.7Z,1,REGULAR,3pt,Jump Shot,[],1630241,73.27529566360053,16.176470588235293,1610612739,0,0,2025-12-25T17:08:51Z,90000,False,-169.0,199.0,1,right,MISS S. Merrill 26' 3PT,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Left Center,26.09,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2025-12-25T17:08:48.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,0,0,2025-12-25T17:08:51Z,100000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M06.00S,2025-12-25T17:09:02.2Z,1,REGULAR,foul,offensive,[],1626157,,,1610612752,0,0,2025-12-25T17:09:20Z,110000,False,,,0,,K. Towns offensive FOUL (1 PF),"[1626157, 1628386]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203054.0,1.0,0.0,Allen,1628386.0,,,,,,,,,
13,PT11M06.00S,2025-12-25T17:09:02.2Z,1,REGULAR,turnover,offensive foul,[],1626157,,,1610612752,0,0,2025-12-25T17:09:02Z,130000,False,,,0,,K. Towns offensive foul TURNOVER (1 TO),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203054.0,,,,,1.0,,,,,,,,
15,PT10M51.00S,2025-12-25T17:10:31.9Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612739,0,0,2025-12-25T17:10:38Z,150000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Allen 2 FT),"[1628384, 1628386]",1610612752.0,NYK,shooting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,1626300.0,1.0,0.0,Allen,1628386.0,,,,,,,,,
17,PT10M51.00S,2025-12-25T17:10:53.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628386,,,1610612739,0,1,2025-12-25T17:11:14Z,170000,False,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
