actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-04-10T23:42:58.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-10T23:42:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-04-10T23:43:01.6Z,1,REGULAR,jumpball,recovered,[],1642266,,,1610612761,0,0,2026-04-10T23:43:01Z,40000,False,,,0,,Jump Ball J. Poeltl vs. K. Towns: Tip to J. Walter,"[1642266, 1627751, 1626157]",1610612761.0,TOR,startperiod,J. Walter,1642266.0,Walter,J. Walter,Poeltl,1627751.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-04-10T23:43:16.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,79.84559789750328,65.68627450980392,1610612761,0,0,2026-04-10T23:43:20Z,70000,False,78.0,137.0,1,right,MISS B. Ingram 15' Jump Shot,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Right,15.78,Missed,,,,,,,,,,,,,,,,
9,PT11M39.00S,2026-04-10T23:43:18.6Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,0,0,2026-04-10T23:43:20Z,90000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M26.00S,2026-04-10T23:43:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,5.601182654402102,47.05882352941176,1610612752,2,0,2026-04-10T23:43:34Z,100000,False,15.0,0.0,1,left,M. Bridges Layup (2 PTS) (K. Towns 1 AST),"[1628969, 1626157]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,2.0,K. Towns,1626157.0,1.0,,,,,,,,
13,PT11M00.00S,2026-04-10T23:44:09.8Z,1,REGULAR,3pt,Jump Shot,[],1642266,93.77463863337714,3.431372549019608,1610612761,2,3,2026-04-10T23:44:13Z,130000,False,-233.0,6.0,1,right,J. Walter 3PT  (3 PTS) (B. Ingram 1 AST),"[1642266, 1627742]",1610612761.0,TOR,,,,Walter,J. Walter,,,,,Left Corner 3,24+ Left,23.29,Made,,,,,3.0,B. Ingram,1627742.0,1.0,,,,,,,,
15,PT10M36.00S,2026-04-10T23:44:34.4Z,1,REGULAR,3pt,Jump Shot,[],1628973,32.14520367936925,49.754901960784316,1610612752,2,3,2026-04-10T23:44:37Z,150000,False,1.0,250.0,1,left,MISS J. Brunson 24' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,24.97,Missed,,,,,,,,,,,,,,,,
16,PT10M33.00S,2026-04-10T23:44:37.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,2,3,2026-04-10T23:44:37Z,160000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M29.00S,2026-04-10T23:44:42.2Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612761,2,3,2026-04-10T23:44:45Z,170000,False,,,0,,B. Ingram lost ball TURNOVER (1 TO),"[1627742, 1628404]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Hart,1628404.0,,,,,
18,PT10M29.00S,2026-04-10T23:44:42.2Z,1,REGULAR,steal,,[],1628404,,,1610612752,2,3,2026-04-10T23:44:43Z,180000,False,,,0,,J. Hart STEAL (1 STL),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,
19,PT10M21.00S,2026-04-10T23:44:49.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626157,32.013797634691194,61.76470588235294,1610612752,5,3,2026-04-10T23:44:53Z,190000,False,-59.0,248.0,1,left,K. Towns 25' 3PT  (3 PTS) (O. Anunoby 1 AST),"[1626157, 1628384]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,25.53,Made,,,,,3.0,O. Anunoby,1628384.0,1.0,,,,,,,,
21,PT10M00.00S,2026-04-10T23:45:17.2Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,5,3,2026-04-10T23:45:20Z,210000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1628973]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Brunson,1628973.0,,,,,
22,PT10M00.00S,2026-04-10T23:45:17.2Z,1,REGULAR,steal,,[],1628973,,,1610612752,5,3,2026-04-10T23:45:18Z,220000,False,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,
