actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
30,PT09M30.00S,2026-02-20T00:46:13.0Z,1,REGULAR,3pt,Jump Shot,[],1630194,26.62614980289093,17.647058823529413,1610612765,5,2,2026-02-20T00:46:15Z,300000,False,162.0,198.0,1,left,MISS P. Reed 25' step back bank 3PT,[1630194],1610612765.0,DET,step back bank,,,,,,Above the Break 3,24+ Right Center,25.55,Missed,,Reed,P. Reed,,,,,,,,,,,,,,,,,,
31,PT09M28.00S,2026-02-20T00:46:15.0Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,5,2,2026-02-20T00:46:15Z,310000,False,,,0,,J. Brunson REBOUND (Off:0 Def:3),[1628973],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,,,,Brunson,J. Brunson,,,,30.0,3.0,3.0,0.0,,,,,,,,,,,
32,PT09M14.00S,2026-02-20T00:46:31.0Z,1,REGULAR,foul,personal,['2freethrow'],1641709,,,1610612752,5,2,2026-02-20T00:46:46Z,320000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Brunson 2 FT),"[1641709, 1628973]",1610612765.0,DET,shooting,,,,,,In The Paint (Non-RA),8-16 Right,,,,Thompson,A. Thompson,,,,,,,,2004.0,,,,1.0,0.0,Brunson,1628973.0,,,
34,PT09M14.00S,2026-02-20T00:47:07.4Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612752,6,2,2026-02-20T00:47:07Z,340000,False,,,0,,J. Brunson Free Throw 1 of 2 (4 PTS),[1628973],1610612752.0,NYK,,,,,,,,,,Made,4.0,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
35,PT09M14.00S,2026-02-20T00:47:26.5Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612752,7,2,2026-02-20T00:47:26Z,350000,False,,,0,,J. Brunson Free Throw 2 of 2 (5 PTS),[1628973],1610612752.0,NYK,,,,,,,,,,Made,5.0,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
36,PT09M04.00S,2026-02-20T00:47:38.5Z,1,REGULAR,2pt,Jump Shot,[],1630595,22.158344283837057,54.90196078431373,1610612765,7,2,2026-02-20T00:47:43Z,360000,False,-25.0,156.0,1,left,MISS C. Cunningham 15' pullup Shot,[1630595],1610612765.0,DET,pullup,,,,,,Mid-Range,8-16 Center,15.77,Missed,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
37,PT09M03.00S,2026-02-20T00:47:43.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,7,2,2026-02-20T00:47:43Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,Mid-Range,8-16 Center,,,,,,,,,36.0,,,,,,,,,,,,,,
38,PT09M03.00S,2026-02-20T00:47:44.0Z,1,REGULAR,foul,personal,[],1628969,,,1610612765,7,2,2026-02-20T00:47:55Z,380000,False,,,0,,M. Bridges loose ball personal FOUL (1 PF),"[1628969, 202699]",1610612752.0,NYK,loose ball,,,,,,Restricted Area,0-8 Center,,,,Bridges,M. Bridges,,,,,,,,2004.0,,,,1.0,0.0,Harris,202699.0,,,
40,PT08M55.00S,2026-02-20T00:48:06.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630595,30.831143232588698,32.1078431372549,1610612765,7,2,2026-02-20T00:48:09Z,400000,False,89.0,237.0,1,left,MISS C. Cunningham 25' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,,,,Above the Break 3,24+ Right Center,25.36,Missed,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
41,PT08M54.00S,2026-02-20T00:48:07.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,7,2,2026-02-20T00:48:09Z,410000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,,,,Hart,J. Hart,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,
42,PT08M46.00S,2026-02-20T00:48:16.0Z,1,REGULAR,2pt,Jump Shot,[],1628969,97.7168199737188,92.15686274509804,1610612752,9,2,2026-02-20T00:48:25Z,420000,False,211.0,-31.0,1,right,M. Bridges 21' Jump Shot (2 PTS) (J. Brunson 1 AST),"[1628969, 1628973]",1610612752.0,NYK,,,,,,,Mid-Range,16-24 Right,21.31,Made,2.0,Bridges,M. Bridges,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,,
44,PT08M44.00S,2026-02-20T00:48:21.2Z,1,REGULAR,timeout,full,['team'],0,,,1610612765,9,2,2026-02-20T00:48:21Z,440000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M29.00S,2026-02-20T00:52:07.9Z,1,REGULAR,2pt,Jump Shot,[],202699,7.440867279894875,66.91176470588235,1610612765,9,2,2026-02-20T00:52:11Z,450000,False,-85.0,17.0,1,left,MISS T. Harris 8' fadeaway Shot,[202699],1610612765.0,DET,fadeaway,,,,,,Mid-Range,8-16 Left,8.64,Missed,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
46,PT08M26.00S,2026-02-20T00:52:10.9Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612765,9,2,2026-02-20T00:52:11Z,460000,False,,,0,,P. Reed REBOUND (Off:1 Def:1),[1630194],1610612765.0,DET,,,,,,,Mid-Range,8-16 Left,,,,Reed,P. Reed,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,
47,PT08M25.00S,2026-02-20T00:52:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202699,8.09789750328515,51.470588235294116,1610612765,9,2,2026-02-20T00:52:37Z,470000,False,-7.0,24.0,1,left,MISS T. Harris cutting Layup,[202699],1610612765.0,DET,cutting,,,,,,Restricted Area,0-8 Center,2.47,Missed,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
48,PT08M23.00S,2026-02-20T00:52:17.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,9,2,2026-02-20T00:52:17Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,,,,,,,47.0,,,,,,,,,,,,,,
50,PT08M11.00S,2026-02-20T00:52:43.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630595,29.6484888304862,72.79411764705883,1610612765,9,5,2026-02-20T00:52:46Z,500000,False,-114.0,226.0,1,left,C. Cunningham 25' 3PT step back (3 PTS),[1630595],1610612765.0,DET,step back,,,,,,Above the Break 3,24+ Left Center,25.33,Made,3.0,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
53,PT07M42.00S,2026-02-20T00:53:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,94.43166885676742,49.50980392156863,1610612752,11,5,2026-02-20T00:53:33Z,530000,False,-2.0,0.0,1,right,M. Bridges Layup (4 PTS) (J. Hart 1 AST),"[1628969, 1628404]",1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,0.25,Made,4.0,Bridges,M. Bridges,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,,
55,PT07M33.00S,2026-02-20T00:53:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,7.5722733245729295,49.754901960784316,1610612765,11,7,2026-02-20T00:53:45Z,550000,False,1.0,19.0,1,left,C. Cunningham driving Layup (5 PTS),[1630595],1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,1.87,Made,5.0,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
56,PT07M33.00S,2026-02-20T00:53:45.3Z,1,REGULAR,foul,personal,['1freethrow'],1628969,,,1610612765,11,7,2026-02-20T00:53:54Z,560000,False,,,0,,M. Bridges shooting personal FOUL (2 PF) (Cunningham 1 FT),"[1628969, 1630595]",1610612752.0,NYK,shooting,,,,,,Restricted Area,0-8 Center,,,,Bridges,M. Bridges,,,,,,,,1155.0,,,,2.0,0.0,Cunningham,1630595.0,,,
58,PT07M33.00S,2026-02-20T00:53:45.3Z,1,REGULAR,substitution,out,[],1628969,,,1610612765,11,7,2026-02-20T00:54:05Z,580000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,,,,,,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,
59,PT07M33.00S,2026-02-20T00:53:45.3Z,1,REGULAR,substitution,in,[],1629013,,,1610612765,11,7,2026-02-20T00:54:05Z,590000,False,,,0,,SUB in: L. Shamet,[1629013],1610612752.0,NYK,,,,,,,,,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,
60,PT07M33.00S,2026-02-20T00:54:22.3Z,1,REGULAR,freethrow,1 of 1,[],1630595,,,1610612765,11,8,2026-02-20T00:54:22Z,600000,False,,,0,,C. Cunningham Free Throw 1 of 1 (6 PTS),[1630595],1610612765.0,DET,,,,,,,,,,Made,6.0,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
61,PT07M15.00S,2026-02-20T00:54:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,93.64323258869908,48.03921568627451,1610612752,13,8,2026-02-20T00:54:46Z,610000,False,-10.0,7.0,1,right,O. Anunoby driving finger roll Layup (2 PTS) (J. Hart 2 AST),"[1628384, 1628404]",1610612752.0,NYK,driving finger roll,,,,,,Restricted Area,0-8 Center,1.22,Made,2.0,Anunoby,O. Anunoby,J. Hart,1628404.0,2.0,,,,,,,,,,,,,,,
62,PT07M05.00S,2026-02-20T00:54:52.1Z,1,REGULAR,3pt,Jump Shot,[],1630595,28.203022339027594,21.568627450980394,1610612765,13,8,2026-02-20T00:54:55Z,620000,False,142.0,213.0,1,left,MISS C. Cunningham 25' pullup 3PT - blocked,"[1630595, 1628384]",1610612765.0,DET,pullup,,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,Cunningham,C. Cunningham,,,,,,,,,,Anunoby,1628384.0,,,,,,,
63,PT07M05.00S,2026-02-20T00:54:52.1Z,1,REGULAR,block,,[],1628384,,,1610612765,13,8,2026-02-20T00:54:54Z,630000,False,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
64,PT07M03.00S,2026-02-20T00:54:54.1Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,13,8,2026-02-20T00:54:55Z,640000,False,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,,,,Hart,J. Hart,,,,62.0,3.0,3.0,0.0,,,,,,,,,,,
65,PT06M49.00S,2026-02-20T00:55:08.6Z,1,REGULAR,3pt,Jump Shot,[],1626157,68.67608409986859,23.774509803921568,1610612752,13,8,2026-02-20T00:55:11Z,650000,False,-131.0,242.0,1,right,MISS K. Towns 27' 3PT,[1626157],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Left Center,27.51,Missed,,Towns,K. Towns,,,,,,,,,,,,,,,,,,
66,PT06M47.00S,2026-02-20T00:55:10.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,13,8,2026-02-20T00:55:11Z,660000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,,Harris,T. Harris,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,
67,PT06M35.00S,2026-02-20T00:55:22.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,6.783837056504599,45.588235294117645,1610612765,13,10,2026-02-20T00:55:25Z,670000,False,22.0,11.0,1,left,C. Cunningham Layup (8 PTS) (A. Thompson 2 AST),"[1630595, 1641709]",1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,2.48,Made,8.0,Cunningham,C. Cunningham,A. Thompson,1641709.0,2.0,,,,,,,,,,,,,,,
69,PT06M25.00S,2026-02-20T00:55:32.6Z,1,REGULAR,3pt,Jump Shot,[],1628973,69.07030223390277,64.70588235294117,1610612752,13,10,2026-02-20T00:55:35Z,690000,False,74.0,238.0,1,right,MISS J. Brunson 24' 3PT,[1628973],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Center,24.93,Missed,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
70,PT06M24.00S,2026-02-20T00:55:33.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,13,10,2026-02-20T01:00:46Z,700000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,,,,Harris,T. Harris,,,,69.0,2.0,2.0,0.0,,,,,,,,,,,
71,PT06M17.00S,2026-02-20T00:55:42.8Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612765,13,10,2026-02-20T00:55:50Z,710000,False,,,0,,K. Towns shooting personal FOUL (1 PF) (Harris 2 FT),"[1626157, 202699]",1610612752.0,NYK,shooting,,,,,,In The Paint (Non-RA),8-16 Right,,,,Towns,K. Towns,,,,,,,,2004.0,,,,1.0,0.0,Harris,202699.0,,,
74,PT06M17.00S,2026-02-20T00:55:55.0Z,1,REGULAR,substitution,out,[],1628384,,,1610612765,13,10,2026-02-20T00:56:16Z,725000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,,,,,,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
75,PT06M17.00S,2026-02-20T00:55:55.0Z,1,REGULAR,substitution,out,[],1626157,,,1610612765,13,10,2026-02-20T00:56:16Z,727500,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,,,,,,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,
76,PT06M17.00S,2026-02-20T00:55:55.0Z,1,REGULAR,substitution,in,[],1629011,,,1610612765,13,10,2026-02-20T00:56:16Z,728750,False,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,,,,,,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
77,PT06M17.00S,2026-02-20T00:55:55.0Z,1,REGULAR,substitution,in,[],1642885,,,1610612765,13,10,2026-02-20T00:56:16Z,729375,False,,,0,,SUB in: M. Diawara,[1642885],1610612752.0,NYK,,,,,,,,,,,,Diawara,M. Diawara,,,,,,,,,,,,,,,,,,
73,PT06M17.00S,2026-02-20T00:56:07.3Z,1,REGULAR,freethrow,1 of 2,[],202699,,,1610612765,13,11,2026-02-20T00:56:39Z,730000,False,,,0,,T. Harris Free Throw 1 of 2 (1 PTS),[202699],1610612765.0,DET,,,,,,,,,,Made,1.0,Harris,T. Harris,,,,,,,,,,,,,,,,,,
78,PT06M17.00S,2026-02-20T00:56:07.3Z,1,REGULAR,freethrow,2 of 2,[],202699,,,1610612765,13,12,2026-02-20T00:56:39Z,740000,False,,,0,,T. Harris Free Throw 2 of 2 (2 PTS),[202699],1610612765.0,DET,,,,,,,,,,Made,2.0,Harris,T. Harris,,,,,,,,,,,,,,,,,,
79,PT06M03.00S,2026-02-20T00:56:49.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,89.04402102496715,47.30392156862745,1610612752,13,12,2026-02-20T00:56:53Z,750000,False,-13.0,50.0,1,right,MISS J. Brunson driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,5.23,Missed,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
80,PT06M01.00S,2026-02-20T00:56:51.8Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612765,13,12,2026-02-20T00:56:53Z,760000,False,,,0,,P. Reed REBOUND (Off:1 Def:2),[1630194],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Reed,P. Reed,,,,79.0,3.0,2.0,1.0,,,,,,,,,,,
81,PT05M55.00S,2026-02-20T00:56:59.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,6.915243101182654,50.73529411764706,1610612765,13,12,2026-02-20T00:57:02Z,770000,False,-4.0,13.0,1,left,MISS C. Cunningham driving Layup,[1630595],1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,1.3,Missed,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
82,PT05M53.00S,2026-02-20T00:57:01.1Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,13,12,2026-02-20T00:57:02Z,780000,False,,,0,,J. Hart REBOUND (Off:0 Def:4),[1628404],1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,,Hart,J. Hart,,,,81.0,4.0,4.0,0.0,,,,,,,,,,,
83,PT05M48.00S,2026-02-20T00:57:06.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,94.03745072273325,49.26470588235294,1610612752,15,12,2026-02-20T00:57:10Z,790000,False,-4.0,4.0,1,right,J. Hart running Layup (4 PTS) (L. Shamet 1 AST),"[1628404, 1629013]",1610612752.0,NYK,running,,,,,,Restricted Area,0-8 Center,0.51,Made,4.0,Hart,J. Hart,L. Shamet,1629013.0,1.0,,,,,,,,,,,,,,,
85,PT05M32.00S,2026-02-20T00:57:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,15.850854139290407,38.23529411764706,1610612765,15,14,2026-02-20T00:57:31Z,810000,False,59.0,96.0,1,left,T. Harris 11' driving floating Jump Shot (4 PTS),[202699],1610612765.0,DET,driving floating,,,,,,In The Paint (Non-RA),8-16 Right,11.3,Made,4.0,Harris,T. Harris,,,,,,,,,,,,,,,,,,
86,PT05M32.00S,2026-02-20T00:57:29.8Z,1,REGULAR,foul,personal,['1freethrow'],1628404,,,1610612765,15,14,2026-02-20T00:57:37Z,820000,False,,,0,,J. Hart shooting personal FOUL (1 PF) (Harris 1 FT),"[1628404, 202699]",1610612752.0,NYK,shooting,,,,,,In The Paint (Non-RA),8-16 Right,,,,Hart,J. Hart,,,,,,,,1155.0,,,,1.0,0.0,Harris,202699.0,,,
