actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2026-02-20T00:43:05.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-20T00:43:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-02-20T00:43:11.4Z,1,REGULAR,jumpball,recovered,[],0,,,1610612752,0,0,2026-02-20T00:43:11Z,40000,False,,,0,,Jump Ball K. Towns vs. P. Reed: Tip to Team (NYK),"[1626157, 1630194]",1610612752.0,NYK,startperiod,Team (NYK),Towns,1626157.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2026-02-20T00:43:32.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,76.03482260183968,88.23529411764706,1610612752,3,0,2026-02-20T00:43:35Z,70000,False,191.0,173.0,1,right,J. Brunson 25' 3PT  (3 PTS) (K. Towns 1 AST),"[1628973, 1626157]",1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,25.77,Made,3.0,Brunson,J. Brunson,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2026-02-20T00:43:50.8Z,1,REGULAR,2pt,Jump Shot,[],1630595,22.026938239159,55.88235294117647,1610612765,3,0,2026-02-20T00:43:54Z,90000,False,-29.0,155.0,1,left,MISS C. Cunningham 15' step back Shot,[1630595],1610612765.0,DET,step back,,,,,,Mid-Range,8-16 Center,15.74,Missed,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2026-02-20T00:43:52.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,3,0,2026-02-20T00:43:54Z,100000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,,,,Mid-Range,8-16 Center,,,,Towns,K. Towns,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M18.00S,2026-02-20T00:44:07.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,79.84559789750328,5.88235294117647,1610612752,3,0,2026-02-20T00:44:11Z,110000,False,-221.0,137.0,1,right,MISS O. Anunoby 25' 3PT,[1628384],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Left Center,25.97,Missed,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2026-02-20T00:44:09.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,3,0,2026-02-20T00:44:11Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,11.0,,,,,,,,,,,,,,
14,PT11M04.00S,2026-02-20T00:44:29.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,31.35676741130092,35.294117647058826,1610612765,3,0,2026-02-20T00:44:34Z,140000,False,74.0,242.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,25.32,Missed,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2026-02-20T00:44:32.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,3,0,2026-02-20T00:44:34Z,150000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Center,,,,Hart,J. Hart,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M58.00S,2026-02-20T00:44:39.2Z,1,REGULAR,turnover,traveling,[],1628973,,,1610612752,3,0,2026-02-20T00:44:44Z,160000,False,,,0,,J. Brunson traveling TURNOVER (1 TO),[1628973],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,,,,Brunson,J. Brunson,,,,,,,,1155.0,1.0,,,,,,,,,
17,PT10M45.00S,2026-02-20T00:44:59.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202699,29.911300919842315,28.676470588235293,1610612765,3,0,2026-02-20T00:45:02Z,170000,False,107.0,229.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,25.23,Missed,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2026-02-20T00:45:03.1Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,3,0,2026-02-20T00:45:02Z,180000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,,,,Brunson,J. Brunson,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT10M33.00S,2026-02-20T00:45:09.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,95.48291721419186,47.05882352941176,1610612752,3,0,2026-02-20T00:45:13Z,190000,False,-15.0,-10.0,1,right,MISS J. Hart driving Layup - blocked,"[1628404, 202699]",1610612752.0,NYK,driving,,,,,,Restricted Area,0-8 Center,1.78,Missed,,Hart,J. Hart,,,,,,,,,,Harris,202699.0,,,,,,,
20,PT10M33.00S,2026-02-20T00:45:09.8Z,1,REGULAR,block,,[],202699,,,1610612752,3,0,2026-02-20T00:48:47Z,200000,False,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2026-02-20T00:45:11.8Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,3,0,2026-02-20T00:45:13Z,210000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,,Thompson,A. Thompson,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT10M26.00S,2026-02-20T00:45:17.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629130,12.828515111695138,3.1862745098039214,1610612765,3,0,2026-02-20T00:48:24Z,220000,False,234.0,68.0,1,left,MISS D. Robinson 24' running pullup 3PT,[1629130],1610612765.0,DET,running pullup,,,,,,Right Corner 3,24+ Right,24.38,Missed,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
23,PT10M23.00S,2026-02-20T00:45:20.4Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,3,0,2026-02-20T00:45:21Z,230000,False,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612752.0,NYK,,,,,,,Right Corner 3,24+ Right,,,,Brunson,J. Brunson,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,
24,PT10M20.00S,2026-02-20T00:45:24.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628404,93.64323258869908,49.50980392156863,1610612752,5,0,2026-02-20T00:45:31Z,240000,False,-2.0,7.0,1,right,J. Hart running DUNK (2 PTS) (K. Towns 2 AST),"[1628404, 1626157]",1610612752.0,NYK,running,,,,,,Restricted Area,0-8 Center,0.77,Made,2.0,Hart,J. Hart,K. Towns,1626157.0,2.0,,,,,,,,,,,,,,,
26,PT10M10.00S,2026-02-20T00:45:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,6.389618922470433,47.794117647058826,1610612765,5,2,2026-02-20T00:45:37Z,260000,False,11.0,8.0,1,left,P. Reed Layup (2 PTS) (A. Thompson 1 AST),"[1630194, 1641709]",1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,1.34,Made,2.0,Reed,P. Reed,A. Thompson,1641709.0,1.0,,,,,,,,,,,,,,,
28,PT09M53.00S,2026-02-20T00:45:50.7Z,1,REGULAR,3pt,Jump Shot,[],1628384,72.61826544021025,80.3921568627451,1610612752,5,2,2026-02-20T00:45:54Z,280000,False,152.0,205.0,1,right,MISS O. Anunoby 25' 3PT,[1628384],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,25.51,Missed,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
29,PT09M50.00S,2026-02-20T00:45:53.7Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612765,5,2,2026-02-20T00:45:54Z,290000,False,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,,,Reed,P. Reed,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
