actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-22T23:41:13.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-22T23:41:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-03-22T23:41:15.6Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2026-03-22T23:41:15Z,40000,False,,,0,,Jump Ball K. Towns vs. T. Vukcevic: Tip to J. Hart,"[1628404, 1626157, 1641774]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-22T23:41:34.0Z,1,REGULAR,2pt,Jump Shot,[],1628973,90.75229960578186,79.41176470588235,1610612752,2,0,2026-03-22T23:41:37Z,70000,False,147.0,34.0,1,right,J. Brunson 15' Jump Shot (2 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,15.11,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2026-03-22T23:41:54.6Z,1,REGULAR,foul,offensive,[],1641731,,,1610612764,2,0,2026-03-22T23:42:25Z,80000,False,,,0,,B. Coulibaly charge offensive FOUL (1 PF),"[1641731, 1628973]",1610612764.0,WAS,charge,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,200834.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,
10,PT11M22.00S,2026-03-22T23:41:54.6Z,1,REGULAR,turnover,offensive foul,[],1641731,,,1610612764,2,0,2026-03-22T23:42:25Z,100000,False,,,0,,B. Coulibaly offensive foul TURNOVER (1 TO),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,1627964.0,,,,,1.0,,,,,,,,,,,
11,PT10M59.00S,2026-03-22T23:42:29.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628969,92.9862023653088,67.40196078431373,1610612752,4,0,2026-03-22T23:42:33Z,110000,False,87.0,13.0,1,right,M. Bridges 8' pullup Jump Shot (2 PTS) (K. Towns 1 AST),"[1628969, 1626157]",1610612752.0,NYK,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,8.8,Made,2.0,,,,,,,K. Towns,1626157.0,1.0,,,,,,,,
12,PT10M44.00S,2026-03-22T23:42:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642267,6.1268068331143235,56.61764705882353,1610612764,4,0,2026-03-22T23:43:52Z,120000,False,-33.0,5.0,1,left,MISS B. Carrington cutting Layup,[1642267],1610612764.0,WAS,cutting,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,3.35,Missed,,,,,,,,,,,,,,,,,,
13,PT10M41.00S,2026-03-22T23:42:47.4Z,1,REGULAR,rebound,offensive,[],1642364,,,1610612764,4,0,2026-03-22T23:42:48Z,130000,False,,,0,,J. Watkins REBOUND (Off:1 Def:0),[1642364],1610612764.0,WAS,,,,Watkins,J. Watkins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,
14,PT10M41.00S,2026-03-22T23:42:47.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642364,5.590000152587891,50.0,1610612764,4,0,2026-03-22T23:42:47Z,140000,False,0.0,0.0,1,left,MISS J. Watkins tip Layup,[1642364],1610612764.0,WAS,tip,,,Watkins,J. Watkins,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
15,PT10M40.00S,2026-03-22T23:42:48.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,4,0,2026-03-22T23:42:48Z,150000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M36.00S,2026-03-22T23:42:52.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,75.1149802890933,12.990196078431374,1610612752,4,0,2026-03-22T23:43:02Z,160000,False,-185.0,181.0,1,right,MISS J. Brunson 25' running pullup 3PT,[1628973],1610612752.0,NYK,running pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,25.91,Missed,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2026-03-22T23:42:55.6Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,4,0,2026-03-22T23:43:06Z,170000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
18,PT10M24.00S,2026-03-22T23:43:04.4Z,1,REGULAR,3pt,Jump Shot,[],1641774,29.25427069645204,74.26470588235294,1610612764,4,3,2026-03-22T23:43:08Z,180000,False,-121.0,222.0,1,left,T. Vukcevic 25' 3PT  (3 PTS) (B. Carrington 1 AST),"[1641774, 1642267]",1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Above the Break 3,24+ Left Center,25.34,Made,3.0,,,,,,,B. Carrington,1642267.0,1.0,,,,,,,,
21,PT10M00.00S,2026-03-22T23:43:27.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,87.07293035479631,46.81372549019608,1610612752,6,3,2026-03-22T23:43:30Z,200000,False,-16.0,69.0,1,right,J. Brunson 7' pullup Jump Shot (4 PTS) (K. Towns 2 AST),"[1628973, 1626157]",1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.08,Made,4.0,,,,,,,K. Towns,1626157.0,2.0,,,,,,,,
23,PT09M44.00S,2026-03-22T23:43:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,7.5722733245729295,49.50980392156863,1610612764,6,3,2026-03-22T23:43:48Z,220000,False,2.0,19.0,1,left,MISS B. Coulibaly driving Layup,[1641731],1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,1.89,Missed,,,,,,,,,,,,,,,,,,
24,PT09M42.00S,2026-03-22T23:43:46.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,6,3,2026-03-22T23:43:48Z,230000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,
25,PT09M36.00S,2026-03-22T23:43:51.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628969,92.06636005256242,54.41176470588235,1610612752,8,3,2026-03-22T23:45:15Z,240000,False,22.0,22.0,1,right,M. Bridges running pullup Jump Shot (4 PTS) (J. Hart 1 AST),"[1628969, 1628404]",1610612752.0,NYK,running pullup,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,3.13,Made,4.0,,,,,,,J. Hart,1628404.0,1.0,,,,,,,,
27,PT09M22.00S,2026-03-22T23:44:13.6Z,1,REGULAR,violation,kicked ball,[],1626157,,,1610612764,8,3,2026-03-22T23:44:28Z,260000,False,,,0,,K. Towns kicked ball VIOLATION,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,1627964.0,,,,,,,,,,,,,,,,
28,PT09M15.00S,2026-03-22T23:44:33.5Z,1,REGULAR,2pt,Jump Shot,[],1642860,21.50131406044678,61.029411764705884,1610612764,8,5,2026-03-22T23:44:36Z,270000,False,-55.0,150.0,1,left,W. Riley 15' pullup Jump Shot (2 PTS) (T. Vukcevic 1 AST),"[1642860, 1641774]",1610612764.0,WAS,pullup,,,Riley,W. Riley,,,,,Mid-Range,8-16 Center,15.94,Made,2.0,,,,,,,T. Vukcevic,1641774.0,1.0,,,,,,,,
