actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-04-12T22:11:22.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-12T22:11:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-12T22:11:24.8Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612752,0,0,2026-04-12T22:11:24Z,40000,False,,,0,,Jump Ball A. Hukporti vs. M. Diabaté: Tip to M. Bridges,"[1628969, 1630574, 1631217]",1610612752.0,NYK,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Hukporti,1630574.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-04-12T22:11:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630574,8.623521681997373,53.431372549019606,1610612752,0,0,2026-04-12T22:12:00Z,70000,False,-17.0,29.0,1,left,MISS A. Hukporti driving Layup - blocked,"[1630574, 1641706]",1610612752.0,NYK,driving,,,Hukporti,A. Hukporti,,,,,Restricted Area,0-8 Center,3.34,Missed,Miller,1641706.0,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-04-12T22:11:41.2Z,1,REGULAR,block,,[],1641706,,,1610612752,0,0,2026-04-12T22:11:43Z,80000,False,,,0,,B. Miller BLOCK (1 BLK),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2026-04-12T22:11:43.2Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2026-04-12T22:16:03Z,90000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M37.00S,2026-04-12T22:11:47.1Z,1,REGULAR,foul,personal,[],1628969,,,1610612766,0,0,2026-04-12T22:24:30Z,100000,False,,,0,,M. Bridges take personal FOUL (1 PF),"[1628969, 1631217]",1610612752.0,NYK,take,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,,,,,,1629178.0,1.0,0.0,Diabaté,1631217.0,,,,,,,
12,PT11M37.00S,2026-04-12T22:11:47.2Z,1,REGULAR,substitution,out,[],1628969,,,1610612766,0,0,2026-04-12T22:12:00Z,120000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M37.00S,2026-04-12T22:11:47.2Z,1,REGULAR,substitution,in,[],203903,,,1610612766,0,0,2026-04-12T22:12:00Z,130000,False,,,0,,SUB in: J. Clarkson,[203903],1610612752.0,NYK,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M20.00S,2026-04-12T22:12:32.5Z,1,REGULAR,3pt,Jump Shot,[],1641706,73.40670170827858,82.84313725490196,1610612766,0,0,2026-04-12T22:12:36Z,150000,False,164.0,197.0,1,right,MISS B. Miller 25' pullup 3PT,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
16,PT11M17.00S,2026-04-12T22:12:35.5Z,1,REGULAR,rebound,defensive,[],203903,,,1610612752,0,0,2026-04-12T22:12:36Z,160000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612752.0,NYK,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
