actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-02T00:43:58.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-02T00:43:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-02T00:44:01.8Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612742,0,0,2024-03-02T00:44:01Z,40000,False,,,0,,Jump Ball D. Lively II vs. K. Porzingis: Tip to P. Washington,"[1629023, 1641726, 204001]",1610612742.0,DAL,startperiod,P. Washington,1629023.0,Washington,P. Washington,Lively II,1641726.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-03-02T00:44:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,8.886333771353483,37.99019607843137,1610612742,0,2,2024-03-02T00:46:13Z,70000,False,60.0,31.0,1,left,L. Doncic 6' driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,6.75,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2024-03-02T00:44:36.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.38436268068331,17.892156862745097,1610612738,0,2,2024-03-02T00:45:05Z,80000,False,-161.0,226.0,1,right,MISS J. Brown 27' step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,27.71,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2024-03-02T00:44:38.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,2,2024-03-02T00:44:41Z,90000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M15.00S,2024-03-02T00:44:45.7Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612742,0,2,2024-03-02T00:44:57Z,100000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Lively II 2 FT),"[1627759, 1641726]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627524.0,1.0,0.0,Lively II,1641726.0,,,,,,,,
12,PT11M15.00S,2024-03-02T00:45:06.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641726,,,1610612742,0,3,2024-03-02T00:45:06Z,120000,False,,,0,,D. Lively II Free Throw 1 of 2 (1 PTS),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2024-03-02T00:45:06.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641726,,,1610612742,0,3,2024-03-02T00:45:30Z,130000,False,,,0,,MISS D. Lively II Free Throw 2 of 2,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2024-03-02T00:45:06.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,3,2024-03-02T00:45:30Z,140000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT11M04.00S,2024-03-02T00:45:29.7Z,1,REGULAR,3pt,Jump Shot,[],204001,70.90998685939553,76.22549019607843,1610612738,3,3,2024-03-02T00:45:34Z,150000,False,131.0,221.0,1,right,K. Porzingis 25' 3PT  (3 PTS) (J. Holiday 1 AST),"[204001, 201950]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,25.69,Made,3.0,,,,,,,,,,J. Holiday,201950.0,1.0,,,,,
17,PT10M49.00S,2024-03-02T00:45:45.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,33.459264126149804,64.2156862745098,1610612742,3,3,2024-03-02T00:45:52Z,170000,False,-71.0,262.0,1,left,MISS P. Washington 27' 3PT,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,27.15,Missed,,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2024-03-02T00:45:48.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,3,2024-03-02T00:45:52Z,180000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,
19,PT10M35.00S,2024-03-02T00:46:00.1Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612738,3,3,2024-03-02T00:46:14Z,190000,False,,,0,,L. Doncic shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1629029, 204001]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1627961.0,1.0,0.0,Porzingis,204001.0,,,,,,,,
21,PT10M35.00S,2024-03-02T00:46:25.9Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612738,4,3,2024-03-02T00:46:25Z,210000,False,,,0,,K. Porzingis Free Throw 1 of 2 (4 PTS),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
