actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-14T17:10:12.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-14T17:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-14T17:10:14.0Z,1,REGULAR,jumpball,recovered,[],1641775,,,1610612738,0,0,2024-04-14T17:10:14Z,40000,False,,,0,,Jump Ball L. Kornet vs. D. Avdija: Tip to J. Walsh,"[1641775, 1628436, 1630166]",1610612738.0,BOS,startperiod,J. Walsh,1641775.0,Walsh,J. Walsh,Kornet,1628436.0,Avdija,1630166.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-04-14T17:10:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,92.85479632063075,54.65686274509803,1610612738,2,0,2024-04-14T17:10:31Z,70000,False,23.0,15.0,1,right,P. Pritchard driving Layup (2 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,2.75,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2024-04-14T17:10:45.1Z,1,REGULAR,3pt,Jump Shot,[],1630264,28.728646517739815,19.11764705882353,1610612764,2,0,2024-04-14T17:10:56Z,80000,False,154.0,218.0,1,left,MISS A. Gill 26' 3PT,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,Above the Break 3,24+ Right Center,26.67,Missed,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2024-04-14T17:10:47.1Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612738,2,0,2024-04-14T17:10:56Z,90000,False,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612738.0,BOS,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2024-04-14T17:11:00.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629004,91.80354796320631,44.6078431372549,1610612738,4,0,2024-04-14T17:11:04Z,100000,False,-27.0,25.0,1,right,S. Mykhailiuk driving Layup (2 PTS) (J. Walsh 1 AST),"[1629004, 1641775]",1610612738.0,BOS,driving,,,Mykhailiuk,S. Mykhailiuk,,,,,Restricted Area,0-8 Center,3.65,Made,2.0,,,,,J. Walsh,1641775.0,1.0,,,,,,,,,,
12,PT10M58.00S,2024-04-14T17:11:12.4Z,1,REGULAR,3pt,Jump Shot,[],1630264,30.17411300919842,78.67647058823529,1610612764,4,0,2024-04-14T17:11:18Z,120000,False,-143.0,231.0,1,left,MISS A. Gill 27' 3PT,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,Above the Break 3,24+ Left Center,27.2,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2024-04-14T17:11:13.4Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,4,0,2024-04-14T17:11:18Z,130000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M45.00S,2024-04-14T17:11:28.5Z,1,REGULAR,foul,personal,['2freethrow'],1631098,,,1610612738,4,0,2024-04-14T17:11:39Z,140000,False,,,0,,J. Davis shooting personal FOUL (1 PF) (Pritchard 2 FT),"[1631098, 1630202]",1610612764.0,WAS,shooting,,,Davis,J. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1199.0,1.0,0.0,Pritchard,1630202.0,,,,,
16,PT10M45.00S,2024-04-14T17:11:50.1Z,1,REGULAR,freethrow,1 of 2,[],1630202,,,1610612738,5,0,2024-04-14T17:11:50Z,160000,False,,,0,,P. Pritchard Free Throw 1 of 2 (3 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2024-04-14T17:12:09.0Z,1,REGULAR,freethrow,2 of 2,[],1630202,,,1610612738,6,0,2024-04-14T17:12:09Z,170000,False,,,0,,P. Pritchard Free Throw 2 of 2 (4 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2024-04-14T17:12:22.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630557,18.610381077529567,55.88235294117647,1610612764,6,0,2024-04-14T17:12:38Z,180000,False,-29.0,122.0,1,left,MISS C. Kispert 12' driving floating Shot,[1630557],1610612764.0,WAS,driving floating,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,12.59,Missed,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2024-04-14T17:12:23.4Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,6,0,2024-04-14T17:12:30Z,190000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Center,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M28.00S,2024-04-14T17:12:28.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629004,72.22404730617609,16.911764705882355,1610612738,9,0,2024-04-14T17:13:04Z,200000,False,-165.0,209.0,1,right,S. Mykhailiuk 26' 3PT running (5 PTS) (P. Pritchard 1 AST),"[1629004, 1630202]",1610612738.0,BOS,running,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,26.62,Made,5.0,,,,,P. Pritchard,1630202.0,1.0,,,,,,,,,,
22,PT10M14.00S,2024-04-14T17:12:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630264,14.4053876478318,47.05882352941176,1610612764,9,0,2024-04-14T17:13:21Z,220000,False,15.0,83.0,1,left,MISS A. Gill 8' turnaround Shot,[1630264],1610612764.0,WAS,turnaround,,,Gill,A. Gill,,,,,In The Paint (Non-RA),8-16 Center,8.42,Missed,,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2024-04-14T17:12:43.6Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,9,0,2024-04-14T17:12:49Z,230000,False,,,0,,L. Kornet REBOUND (Off:0 Def:2),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Center,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,
24,PT10M05.00S,2024-04-14T17:12:54.5Z,1,REGULAR,foul,personal,[],1631098,,,1610612738,9,0,2024-04-14T17:12:59Z,240000,False,,,0,,J. Davis personal FOUL (2 PF),"[1631098, 1630202]",1610612764.0,WAS,,,,Davis,J. Davis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1199.0,2.0,0.0,Pritchard,1630202.0,,,,,
26,PT10M00.00S,2024-04-14T17:13:12.6Z,1,REGULAR,3pt,Jump Shot,[],1630573,66.44218134034165,62.99019607843137,1610612738,9,0,2024-04-14T17:13:57Z,260000,False,65.0,263.0,1,right,MISS S. Hauser 27' pullup 3PT,[1630573],1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,27.08,Missed,,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2024-04-14T17:13:14.6Z,1,REGULAR,rebound,defensive,[],1631116,,,1610612764,9,0,2024-04-14T17:13:21Z,270000,False,,,0,,P. Baldwin Jr. REBOUND (Off:0 Def:1),[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Center,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT09M52.00S,2024-04-14T17:13:22.7Z,1,REGULAR,foul,personal,['2freethrow'],1629004,,,1610612764,9,0,2024-04-14T17:13:32Z,280000,False,,,0,,S. Mykhailiuk shooting personal FOUL (1 PF) (Avdija 2 FT),"[1629004, 1630166]",1610612738.0,BOS,shooting,,,Mykhailiuk,S. Mykhailiuk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1199.0,1.0,0.0,Avdija,1630166.0,,,,,
30,PT09M52.00S,2024-04-14T17:13:48.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630166,,,1610612764,9,1,2024-04-14T17:14:19Z,300000,False,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
31,PT09M52.00S,2024-04-14T17:13:48.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630166,,,1610612764,9,2,2024-04-14T17:14:19Z,310000,False,,,0,,D. Avdija Free Throw 2 of 2 (2 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
