actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-18T23:40:22.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-18T23:40:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-18T23:40:25.6Z,1,REGULAR,jumpball,recovered,[],1630202,,,1610612738,0,0,2024-03-18T23:40:25Z,40000,False,,,0,,Jump Ball K. Porzingis vs. J. Duren: Tip to P. Pritchard,"[1630202, 204001, 1631105]",1610612738.0,BOS,startperiod,P. Pritchard,1630202.0,Pritchard,P. Pritchard,Porzingis,204001.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2024-03-18T23:40:37.9Z,1,REGULAR,turnover,out-of-bounds,[],1630202,,,1610612738,0,0,2024-03-18T23:40:55Z,70000,False,,,0,,P. Pritchard step out-of-bounds TURNOVER (1 TO),[1630202],1610612738.0,BOS,step,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,200832.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2024-03-18T23:40:52.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630191,70.12155059132719,23.03921568627451,1610612765,0,0,2024-03-18T23:40:59Z,80000,False,-135.0,228.0,1,right,MISS I. Stewart 26' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,,,26.52,Missed,,,,,,,,,,,,,,,,
9,PT11M47.00S,2024-03-18T23:40:53.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2024-03-18T23:40:59Z,90000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M28.00S,2024-03-18T23:41:12.5Z,1,REGULAR,3pt,Jump Shot,[],204001,31.882391590013142,68.62745098039215,1610612738,3,0,2024-03-18T23:41:17Z,100000,False,-93.0,247.0,1,left,K. Porzingis 26' 3PT  (3 PTS) (D. White 1 AST),"[204001, 1628401]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,,,26.42,Made,,,,,3.0,D. White,1628401.0,1.0,,,,,,,,
12,PT11M16.00S,2024-03-18T23:41:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,94.69448094612353,53.92156862745098,1610612765,3,2,2024-03-18T23:41:29Z,120000,False,20.0,-3.0,1,right,J. Ivey driving reverse Layup (2 PTS) (I. Stewart 1 AST),"[1631093, 1630191]",1610612765.0,DET,driving reverse,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,1.98,Made,,,,,2.0,I. Stewart,1630191.0,1.0,,,,,,,,
14,PT11M01.00S,2024-03-18T23:41:40.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,18.873193166885677,6.372549019607843,1610612738,3,2,2024-03-18T23:41:48Z,140000,False,218.0,125.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,25.13,Missed,,,,,,,,,,,,,,,,
15,PT10M59.00S,2024-03-18T23:41:42.5Z,1,REGULAR,rebound,defensive,[],1631204,,,1610612765,3,2,2024-03-18T23:41:48Z,150000,False,,,0,,M. Sasser REBOUND (Off:0 Def:1),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Right Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M52.00S,2024-03-18T23:41:48.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630649,93.9060446780552,95.09803921568627,1610612765,3,5,2024-03-18T23:42:51Z,160000,False,225.0,5.0,1,right,S. Umude 3PT running (3 PTS) (J. Ivey 1 AST),"[1630649, 1631093]",1610612765.0,DET,running,,,Umude,S. Umude,,,,,Right Corner 3,24+ Right,,,22.56,Made,,,,,3.0,J. Ivey,1631093.0,1.0,,,,,,,,
18,PT10M32.00S,2024-03-18T23:42:09.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,25.837713534822605,71.32352941176471,1610612738,3,5,2024-03-18T23:42:19Z,180000,False,-107.0,190.0,1,left,MISS J. Brown 21' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,21.82,Missed,,,,,,,,,,,,,,,,
