actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-13T00:40:38.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-13T00:40:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-13T00:40:41.4Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2023-12-13T00:40:41Z,40000,False,,,0,,Jump Ball J. Allen vs. K. Porzingis: Tip to D. Garland,"[1629636, 1628386, 204001]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-13T00:40:53.9Z,1,REGULAR,3pt,Jump Shot,[],1629622,32.14520367936925,21.813725490196077,1610612739,0,3,2023-12-13T00:41:12Z,70000,False,141.0,250.0,1,left,M. Strus 28' 3PT  (3 PTS) (J. Allen 1 AST),"[1629622, 1628386]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,28.67,Made,3.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2023-12-13T00:41:04.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.77266754270697,41.456035539215684,1610612738,2,3,2023-12-13T00:41:10Z,90000,False,-43.0,15.0,1,right,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,4.54,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2023-12-13T00:41:13.9Z,1,REGULAR,3pt,Jump Shot,[],1629622,32.276609724047304,32.35294117647059,1610612739,2,3,2023-12-13T00:41:24Z,100000,False,88.0,251.0,1,left,MISS M. Strus 26' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,26.6,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2023-12-13T00:41:15.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,3,2023-12-13T00:41:24Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,10.0,,,,,,,,,,,,,
13,PT11M12.00S,2023-12-13T00:41:33.7Z,1,REGULAR,turnover,bad pass,[],204001,,,1610612738,2,3,2023-12-13T00:41:38Z,130000,False,,,0,,K. Porzingis bad pass TURNOVER (1 TO),"[204001, 1628378]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Mitchell,1628378.0,,,,,,,,,,
14,PT11M12.00S,2023-12-13T00:41:33.7Z,1,REGULAR,steal,,[],1628378,,,1610612739,2,3,2023-12-13T00:41:35Z,140000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2023-12-13T00:41:37.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628378,6.783837056504599,50.73529411764706,1610612739,2,5,2023-12-13T00:41:43Z,150000,False,-4.0,11.0,1,left,D. Mitchell running DUNK (2 PTS),[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1.19,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2023-12-13T00:41:58.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,82.60512483574244,36.76470588235294,1610612738,2,5,2023-12-13T00:42:09Z,160000,False,-66.0,111.0,1,right,MISS K. Porzingis 12' turnaround Shot,[204001],1610612738.0,BOS,turnaround,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,12.92,Missed,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2023-12-13T00:42:00.9Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,2,5,2023-12-13T00:42:09Z,170000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,16.0,,,,1.0,1.0,0.0,,,,,,,
19,PT10M34.00S,2023-12-13T00:42:24.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,31.225361366622867,28.676470588235293,1610612739,2,5,2023-12-13T00:42:53Z,190000,False,107.0,241.0,1,left,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,26.35,Missed,,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2023-12-13T00:42:26.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,5,2023-12-13T00:42:30Z,200000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,19.0,,,,1.0,1.0,0.0,,,,,,,
21,PT10M20.00S,2023-12-13T00:42:38.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,85.49605781865965,97.05882352941177,1610612738,2,5,2023-12-13T00:42:43Z,210000,False,235.0,84.0,1,right,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,24.98,Missed,,,,,,,,,,,,,,,,,,
22,PT10M19.00S,2023-12-13T00:42:39.0Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,2,5,2023-12-13T00:42:43Z,220000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Right Corner 3,24+ Right,,,,,,,21.0,,,,1.0,1.0,0.0,,,,,,,
23,PT10M12.00S,2023-12-13T00:42:46.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629636,11.12023653088042,70.83333333333334,1610612739,2,7,2023-12-13T00:42:57Z,230000,False,-104.0,52.0,1,left,D. Garland 11' driving floating bank Jump Shot (2 PTS),[1629636],1610612739.0,CLE,driving floating bank,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,11.65,Made,2.0,,,,,,,,,,,,,,,,,
24,PT10M00.00S,2023-12-13T00:42:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.51182654402102,54.166666666666664,1610612738,4,7,2023-12-13T00:44:01Z,240000,False,21.0,8.0,1,right,J. Brown Layup (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.25,Made,4.0,,,,,,,,,,,,,,,,,
25,PT09M53.00S,2023-12-13T00:43:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,7.884362680683312,55.415134803921575,1610612739,4,7,2023-12-13T00:43:16Z,250000,False,-27.0,22.0,1,left,MISS M. Strus driving Layup - blocked,"[1629622, 204001]",1610612739.0,CLE,driving,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,Porzingis,204001.0,,,,,
26,PT09M53.00S,2023-12-13T00:43:05.2Z,1,REGULAR,block,,[],204001,,,1610612739,4,7,2023-12-13T00:43:06Z,260000,False,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M52.00S,2023-12-13T00:43:06.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,4,7,2023-12-13T00:43:16Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,25.0,,,,,,,,,,,,,
29,PT09M50.00S,2023-12-13T00:43:24.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629636,8.492115637319317,47.549019607843135,1610612739,4,9,2023-12-13T00:43:29Z,290000,False,12.0,27.0,1,left,D. Garland cutting Layup (4 PTS) (D. Mitchell 1 AST),"[1629636, 1628378]",1610612739.0,CLE,cutting,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,2.99,Made,4.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
31,PT09M40.00S,2023-12-13T00:43:37.7Z,1,REGULAR,foul,personal,[],1628378,,,1610612738,4,9,2023-12-13T00:43:52Z,310000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 204001]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Porzingis,204001.0
33,PT09M37.00S,2023-12-13T00:43:56.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,86.5473061760841,95.58823529411765,1610612738,4,9,2023-12-13T00:44:04Z,330000,False,228.0,74.0,1,right,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,23.96,Missed,,,,,,,,,,,,,,,,,,
34,PT09M35.00S,2023-12-13T00:43:58.5Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,4,9,2023-12-13T00:44:04Z,340000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Right Corner 3,24+ Right,,,,,,,33.0,,,,1.0,1.0,0.0,,,,,,,
35,PT09M28.00S,2023-12-13T00:44:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,8.623521681997373,45.588235294117645,1610612739,4,9,2023-12-13T00:44:13Z,350000,False,22.0,29.0,1,left,MISS J. Allen Layup - blocked,"[1628386, 1627759]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,3.61,Missed,,,,,,,,,,,,Brown,1627759.0,,,,,
36,PT09M28.00S,2023-12-13T00:44:07.0Z,1,REGULAR,block,,[],1627759,,,1610612739,4,9,2023-12-13T00:44:22Z,360000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT09M27.00S,2023-12-13T00:44:08.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,4,9,2023-12-13T00:44:13Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,35.0,,,,,,,,,,,,,
39,PT09M23.00S,2023-12-13T00:44:24.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629622,8.09789750328515,48.529411764705884,1610612739,4,11,2023-12-13T00:44:28Z,390000,False,7.0,24.0,1,left,M. Strus Layup (5 PTS) (J. Allen 2 AST),"[1629622, 1628386]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,2.47,Made,5.0,J. Allen,1628386.0,2.0,,,,,,,,,,,,,,
41,PT09M22.00S,2023-12-13T00:44:28.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,4,11,2023-12-13T00:44:28Z,410000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M14.00S,2023-12-13T00:47:25.2Z,1,REGULAR,turnover,out-of-bounds,[],204001,,,1610612738,4,11,2023-12-13T00:47:31Z,420000,False,,,0,,K. Porzingis bad pass out-of-bounds TURNOVER (2 TO),[204001],1610612738.0,BOS,bad pass,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Right,,,,,,,,2.0,,,,,,,,2004.0,,,,
