actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-04-05T23:40:35.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-05T23:40:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-04-05T23:40:37.1Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2024-04-05T23:40:37Z,40000,False,,,0,,Jump Ball K. Porzingis vs. D. Sabonis: Tip to A. Horford,"[201143, 204001, 1627734]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Porzingis,204001.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-04-05T23:40:50.3Z,1,REGULAR,3pt,Jump Shot,[],1630573,22.158344283837057,91.91176470588235,1610612738,0,0,2024-04-05T23:40:58Z,70000,False,-210.0,156.0,1,left,MISS S. Hauser 26' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,26.12,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-04-05T23:40:52.3Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,0,2024-04-05T23:40:58Z,80000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2024-04-05T23:41:06.7Z,1,REGULAR,3pt,Jump Shot,[],1631165,66.96780551905388,33.82352941176471,1610612758,0,3,2024-04-05T23:41:26Z,90000,False,-81.0,258.0,1,right,K. Ellis 27' 3PT pullup (3 PTS) (D. Sabonis 1 AST),"[1631165, 1627734]",1610612758.0,SAC,pullup,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Center,27.04,Made,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
11,PT11M22.00S,2024-04-05T23:41:14.9Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,0,3,2024-04-05T23:41:32Z,110000,False,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,,,,,,,,,
12,PT11M07.00S,2024-04-05T23:41:37.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631165,81.02825229960578,35.049019607843135,1610612758,0,3,2024-04-05T23:41:45Z,120000,False,-75.0,126.0,1,right,MISS K. Ellis 14' driving floating Shot,[1631165],1610612758.0,SAC,driving floating,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),8-16 Left,14.64,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2024-04-05T23:41:38.6Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,0,3,2024-04-05T23:41:45Z,130000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Left,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M53.00S,2024-04-05T23:41:52.0Z,1,REGULAR,3pt,Jump Shot,[],201143,23.603810775295663,11.76470588235294,1610612738,0,3,2024-04-05T23:41:57Z,140000,False,191.0,169.0,1,left,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,25.54,Missed,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2024-04-05T23:41:54.0Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,3,2024-04-05T23:41:57Z,150000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M39.00S,2024-04-05T23:42:05.5Z,1,REGULAR,3pt,Jump Shot,[],1628368,68.80749014454665,68.87254901960785,1610612758,0,3,2024-04-05T23:42:11Z,160000,False,94.0,241.0,1,right,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.85,Missed,,,,,,,,,,,,,,,,,,
