actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-28T00:10:21.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-28T00:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-28T00:10:23.8Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612738,0,0,2024-01-28T00:10:23Z,40000,False,,,0,,Jump Ball A. Horford vs. M. Plumlee: Tip to J. Tatum,"[1628369, 201143, 203486]",1610612738.0,BOS,startperiod,J. Tatum,1628369.0,Tatum,J. Tatum,Horford,201143.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-01-28T00:10:37.9Z,1,REGULAR,2pt,Jump Shot,[],201143,15.982260183968464,89.4607843137255,1610612738,0,0,2024-01-28T00:10:44Z,70000,False,-197.0,98.0,1,left,MISS A. Horford 22' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Left,22.02,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-01-28T00:10:39.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,0,0,2024-01-28T00:10:44Z,80000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2024-01-28T00:10:46.0Z,1,REGULAR,2pt,Jump Shot,[],202331,73.9323258869908,54.166666666666664,1610612746,0,2,2024-01-28T00:10:51Z,90000,False,21.0,193.0,1,right,P. George 19' step back Jump Shot (2 PTS),[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Mid-Range,16-24 Center,19.36,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M22.00S,2024-01-28T00:10:58.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,15.982260183968464,83.82352941176471,1610612738,0,2,2024-01-28T00:11:05Z,100000,False,-169.0,98.0,1,left,MISS J. Brown 19' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left,19.53,Missed,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2024-01-28T00:11:01.2Z,1,REGULAR,rebound,defensive,[],203486,,,1610612746,0,2,2024-01-28T00:11:05Z,110000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,Mid-Range,16-24 Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M12.00S,2024-01-28T00:11:08.1Z,1,REGULAR,3pt,Jump Shot,[],201935,72.48685939553219,17.401960784313726,1610612746,0,2,2024-01-28T00:11:13Z,120000,False,-163.0,206.0,1,right,MISS J. Harden 26' pullup 3PT,[201935],1610612746.0,LAC,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2024-01-28T00:11:12.1Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,2,2024-01-28T00:11:13Z,130000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M04.00S,2024-01-28T00:11:16.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,27.283180026281208,87.74509803921569,1610612738,0,2,2024-01-28T00:12:26Z,140000,False,-189.0,204.0,1,left,MISS J. Tatum 27' running 3PT,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,27.79,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2024-01-28T00:11:19.3Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,2,2024-01-28T00:11:22Z,150000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
