actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-11T00:10:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-11T00:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-11T00:10:48.9Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2024-01-11T00:10:48Z,40000,False,,,0,,Jump Ball A. Horford vs. K. Towns: Tip to J. Brown,"[1627759, 201143, 1626157]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Horford,201143.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-01-11T00:11:06.8Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612738,0,0,2024-01-11T00:11:15Z,70000,False,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[201950],1610612738.0,BOS,bad pass,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,2004.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2024-01-11T00:11:29.4Z,1,REGULAR,foul,personal,[],201950,,,1610612750,0,0,2024-01-11T00:11:38Z,80000,False,,,0,,J. Holiday personal FOUL (1 PF),"[201950, 1630162]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Left Center,1155.0,,1.0,0.0,Edwards,1630162.0,,,,,,,,,,,,,,
10,PT11M23.00S,2024-01-11T00:11:52.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629638,16.113666228646515,4.6568627450980395,1610612750,0,0,2024-01-11T00:11:58Z,100000,False,227.0,99.0,1,left,MISS N. Alexander-Walker 24' 3PT,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Right Center,,,,,,,24.74,Missed,,,,,,,,,,,,
11,PT11M20.00S,2024-01-11T00:11:55.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2024-01-11T00:11:58Z,110000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M14.00S,2024-01-11T00:12:07.2Z,1,REGULAR,foul,personal,[],203937,,,1610612738,0,0,2024-01-11T00:12:27Z,120000,False,,,0,,K. Anderson personal FOUL (1 PF),"[203937, 1628369]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,1155.0,,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,
14,PT11M03.00S,2024-01-11T00:12:31.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,92.24704336399473,94.87591911764706,1610612738,3,0,2024-01-11T00:12:46Z,140000,False,224.0,20.0,1,right,J. Tatum 3PT  (3 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,,,,,22.53,Made,,,,,3.0,D. White,1628401.0,1.0,,,,
16,PT10M44.00S,2024-01-11T00:12:50.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,20.318659658344284,38.970588235294116,1610612750,3,0,2024-01-11T00:12:56Z,160000,False,55.0,138.0,1,left,MISS J. McDaniels 14' fadeaway Shot,[1630183],1610612750.0,MIN,fadeaway,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,14.91,Missed,,,,,,,,,,,,
17,PT10M41.00S,2024-01-11T00:12:53.4Z,1,REGULAR,rebound,offensive,[],203937,,,1610612750,3,0,2024-01-11T00:12:53Z,170000,False,,,0,,K. Anderson REBOUND (Off:1 Def:0),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,
18,PT10M37.00S,2024-01-11T00:12:56.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630183,10.988830486202366,57.35294117647059,1610612750,3,0,2024-01-11T00:13:04Z,180000,False,-37.0,51.0,1,left,MISS J. McDaniels 6' turnaround Shot,[1630183],1610612750.0,MIN,turnaround,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.27,Missed,,,,,,,,,,,,
19,PT10M36.00S,2024-01-11T00:12:57.7Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,3,0,2024-01-11T00:13:04Z,190000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
