actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-14T00:40:40.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-14T00:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-14T00:40:43.1Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2023-11-14T00:40:43Z,40000,False,,,0,,Jump Ball K. Porzingis vs. M. Robinson: Tip to D. White,"[1628401, 204001, 1629011]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-11-14T00:40:57.6Z,1,REGULAR,3pt,Jump Shot,[],201950,80.23981603153744,91.66666666666666,1610612738,3,0,2023-11-14T00:41:21Z,70000,False,208.0,133.0,1,right,J. Holiday 24' 3PT pullup (3 PTS) (J. Brown 1 AST),"[201950, 1627759]",1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,24.72,Made,3.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-11-14T00:41:18.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,19.530223390275953,59.55882352941176,1610612752,3,2,2023-11-14T00:41:25Z,90000,False,-48.0,131.0,1,left,J. Brunson 13' driving floating Jump Shot (2 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,13.95,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2023-11-14T00:41:26.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.69842312746385,79.90196078431373,1610612738,3,2,2023-11-14T00:41:46Z,100000,False,150.0,214.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2023-11-14T00:41:28.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,3,2,2023-11-14T00:41:31Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,10.0,,,,,,,,,,,,,
13,PT10M56.00S,2023-11-14T00:41:50.6Z,1,REGULAR,foul,personal,[],1628369,,,1610612752,3,2,2023-11-14T00:42:10Z,130000,False,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1628404]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,1628482.0,1.0,0.0,Hart,1628404.0,,,,,,,,
15,PT10M48.00S,2023-11-14T00:42:17.1Z,1,REGULAR,2pt,Jump Shot,[],1628973,25.312089356110377,75.98039215686273,1610612752,3,4,2023-11-14T00:42:21Z,150000,False,-130.0,185.0,1,left,J. Brunson 22' pullup Jump Shot (4 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,22.64,Made,4.0,,,,,,,,,,,,,,,,,
16,PT10M26.00S,2023-11-14T00:42:38.6Z,1,REGULAR,3pt,Jump Shot,[],201950,81.02825229960578,92.40196078431373,1610612738,3,4,2023-11-14T00:43:14Z,160000,False,212.0,126.0,1,right,MISS J. Holiday 24' step back 3PT,[201950],1610612738.0,BOS,step back,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,24.65,Missed,,,,,,,,,,,,,,,,,,
17,PT10M22.00S,2023-11-14T00:42:42.6Z,1,REGULAR,rebound,offensive,[],201950,,,1610612738,3,4,2023-11-14T00:42:44Z,170000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,,16.0,,,,,,1.0,0.0,1.0,,,,,
