actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-14T23:35:24.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-14T23:35:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-14T23:35:27.1Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-03-14T23:35:27Z,40000,False,,,0,,Jump Ball J. Nurkic vs. A. Horford: Tip to B. Beal,"[203078, 203994, 201143]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Nurkic,203994.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-14T23:35:45.9Z,1,REGULAR,2pt,Jump Shot,[],201142,23.078186596583443,30.88235294117647,1610612756,0,2,2024-03-14T23:35:50Z,70000,False,96.0,164.0,1,left,K. Durant 19' pullup Jump Shot (2 PTS),[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,19.02,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2024-03-14T23:36:06.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,82.60512483574244,37.99019607843137,1610612738,0,2,2024-03-14T23:36:12Z,80000,False,-60.0,111.0,1,right,MISS J. Brown 12' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,12.62,Missed,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2024-03-14T23:36:08.2Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,0,2,2024-03-14T23:36:12Z,90000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2024-03-14T23:36:14.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1626164,27.020367936925098,70.34313725490196,1610612756,0,2,2024-03-14T23:36:48Z,100000,False,-102.0,201.0,1,left,MISS D. Booker 22' running pullup Shot,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,22.57,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2024-03-14T23:36:16.7Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,0,2,2024-03-14T23:36:31Z,110000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Left Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT11M09.00S,2024-03-14T23:36:18.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203994,5.590000152587891,50.0,1610612756,0,4,2024-03-14T23:36:42Z,120000,False,0.0,0.0,1,left,J. Nurkic tip Layup (2 PTS),[203994],1610612756.0,PHX,tip,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2024-03-14T23:36:31.2Z,1,REGULAR,3pt,Jump Shot,[],201143,67.36202365308804,42.64705882352941,1610612738,3,4,2024-03-14T23:36:35Z,130000,False,-37.0,254.0,1,right,A. Horford 25' 3PT  (3 PTS) (J. Brown 1 AST),"[201143, 1627759]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,25.69,Made,3.0,,,,,J. Brown,1627759.0,1.0,,,,,,,,,,
15,PT10M33.00S,2024-03-14T23:36:52.7Z,1,REGULAR,2pt,Hook,[],203994,11.251642575558476,30.88235294117647,1610612756,3,4,2024-03-14T23:37:36Z,150000,False,96.0,53.0,1,left,MISS J. Nurkic 10' driving Hook,[203994],1610612756.0,PHX,driving,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Right,10.95,Missed,,,,,,,,,,,,,,,,,,
