actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-03T23:43:23.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-03T23:43:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-03T23:43:29.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612738,0,0,2024-04-03T23:43:29Z,40000,False,,,0,,Jump Ball K. Porzingis vs. C. Holmgren: Tip to Team (BOS),"[204001, 1631096]",1610612738.0,BOS,startperiod,Team (BOS),Porzingis,204001.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-04-03T23:43:55.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,89.17542706964521,1.715686274509804,1610612738,0,0,2024-04-03T23:44:11Z,70000,False,-241.0,49.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,24.64,Missed,Brown,J. Brown,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-04-03T23:43:56.1Z,1,REGULAR,rebound,offensive,[],204001,,,1610612738,0,0,2024-04-03T23:44:11Z,80000,False,,,0,,K. Porzingis REBOUND (Off:1 Def:0),[204001],1610612738.0,BOS,,,,,,,Left Corner 3,24+ Left,,,Porzingis,K. Porzingis,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2024-04-03T23:44:01.7Z,1,REGULAR,foul,personal,[],1629652,,,1610612738,0,0,2024-04-03T23:44:08Z,90000,False,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 204001]",1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Dort,L. Dort,,,,,1627963.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,
11,PT11M21.00S,2024-04-03T23:44:28.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",204001,82.86793692509855,53.431372549019606,1610612738,2,0,2024-04-03T23:44:33Z,110000,False,17.0,109.0,1,right,K. Porzingis 10' turnaround Jump Shot (2 PTS),[204001],1610612738.0,BOS,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,10.99,Made,Porzingis,K. Porzingis,,,,,,,,,,2.0,,,,,,,,
12,PT11M05.00S,2024-04-03T23:44:44.0Z,1,REGULAR,3pt,Jump Shot,[],1631096,28.991458607095925,82.59803921568627,1610612760,2,0,2024-04-03T23:44:52Z,120000,False,-163.0,220.0,1,left,MISS C. Holmgren 27' 3PT,[1631096],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,27.38,Missed,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2024-04-03T23:44:46.0Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,2,0,2024-04-03T23:44:52Z,130000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:0),[1631096],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Holmgren,C. Holmgren,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT10M58.00S,2024-04-03T23:44:50.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631096,7.490144546649145,44.12530637254902,1610612760,2,2,2024-04-03T23:45:18Z,140000,False,29.0,18.0,1,left,C. Holmgren driving Layup (2 PTS),[1631096],1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,3.44,Made,Holmgren,C. Holmgren,,,,,,,,,,2.0,,,,,,,,
15,PT10M40.00S,2024-04-03T23:45:09.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,76.03482260183968,12.009803921568627,1610612738,2,2,2024-04-03T23:45:16Z,150000,False,-190.0,173.0,1,right,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,25.68,Missed,White,D. White,,,,,,,,,,,,,,,,,,
