actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-20T00:43:42.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-20T00:43:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-20T00:43:43.6Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-01-20T00:43:43Z,40000,False,,,0,,Jump Ball K. Porzingis vs. N. Jokic: Tip to D. White,"[1628401, 204001, 203999]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-20T00:43:54.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,94.03745072273325,51.71568627450981,1610612738,2,0,2024-01-20T00:43:59Z,70000,False,9.0,4.0,1,right,K. Porzingis cutting DUNK (2 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,cutting,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,0.93,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2024-01-20T00:44:12.6Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,2,0,2024-01-20T00:44:19Z,90000,False,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,1.0,,,,,,,,,,,,
10,PT11M26.00S,2024-01-20T00:44:18.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,70.38436268068331,24.019607843137255,1610612738,5,0,2024-01-20T00:45:15Z,100000,False,-130.0,226.0,1,right,K. Porzingis 26' 3PT  (5 PTS) (J. Holiday 1 AST),"[204001, 201950]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,26.06,Made,5.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
12,PT11M06.00S,2024-01-20T00:44:38.4Z,1,REGULAR,2pt,Hook,[],203999,11.12023653088042,33.088235294117645,1610612743,5,0,2024-01-20T00:44:45Z,120000,False,85.0,52.0,1,left,MISS N. Jokic 9' turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,9.93,Missed,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2024-01-20T00:44:41.4Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,5,0,2024-01-20T00:44:45Z,130000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,
14,PT11M03.00S,2024-01-20T00:44:42.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,5.590000152587891,50.0,1610612743,5,0,2024-01-20T00:44:42Z,140000,False,0.0,0.0,1,left,MISS A. Gordon tip Layup,[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2024-01-20T00:44:42.2Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,5,0,2024-01-20T00:44:42Z,150000,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Left,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,
16,PT10M58.00S,2024-01-20T00:44:46.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203484,20.630749014454665,77.71905637254902,1610612743,5,2,2024-01-20T00:45:58Z,160000,False,-139.0,141.0,1,left,K. Caldwell-Pope 19' step back Jump Shot (2 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,step back,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Left Center,19.8,Made,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
17,PT10M47.00S,2024-01-20T00:44:57.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,65.25952693823915,30.392156862745097,1610612738,5,2,2024-01-20T00:45:04Z,170000,False,-98.0,274.0,1,right,MISS J. Brown 29' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,29.11,Missed,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2024-01-20T00:44:57.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,2,2024-01-20T00:45:04Z,180000,False,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,17.0,2.0,1.0,1.0,,,,,,,,
21,PT10M29.00S,2024-01-20T00:45:34.5Z,1,REGULAR,2pt,Jump Shot,[],1627750,9.149145860709593,78.92156862745098,1610612743,5,4,2024-01-20T00:45:39Z,200000,False,-145.0,34.0,1,left,J. Murray 14' turnaround fadeaway Jump Shot (2 PTS),[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,Mid-Range,8-16 Left,14.84,Made,2.0,,,,,,,,,,,,,,,,,
22,PT10M16.00S,2024-01-20T00:45:46.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,81.553876478318,36.51960784313725,1610612738,5,4,2024-01-20T00:45:51Z,210000,False,-67.0,121.0,1,right,MISS J. Holiday 13' fadeaway Shot,[201950],1610612738.0,BOS,fadeaway,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,13.84,Missed,,,,,,,,,,,,,,,,,,
23,PT10M14.00S,2024-01-20T00:45:48.8Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,5,4,2024-01-20T00:45:51Z,220000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT09M55.00S,2024-01-20T00:46:07.8Z,1,REGULAR,2pt,Hook,[],203999,15.588042049934298,33.57843137254902,1610612743,5,6,2024-01-20T00:46:12Z,230000,False,82.0,94.0,1,left,N. Jokic 12' turnaround Hook (2 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,12.48,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M40.00S,2024-01-20T00:46:22.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,88.51839684625493,96.32352941176471,1610612738,5,6,2024-01-20T00:46:26Z,240000,False,232.0,55.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,23.81,Missed,,,,,,,,,,,,,,,,,,
26,PT09M38.00S,2024-01-20T00:46:24.1Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,5,6,2024-01-20T00:46:26Z,250000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,
27,PT09M20.00S,2024-01-20T00:46:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,6.83311432325887,38.12423406862745,1610612743,5,8,2024-01-20T00:46:48Z,260000,False,59.0,12.0,1,left,N. Jokic 6' driving Layup (4 PTS),[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,6.05,Made,4.0,,,,,,,,,,,,,,,,,
28,PT09M06.00S,2024-01-20T00:46:56.0Z,1,REGULAR,3pt,Jump Shot,[],204001,69.33311432325887,72.54901960784314,1610612738,8,8,2024-01-20T00:47:00Z,270000,False,113.0,236.0,1,right,K. Porzingis 26' 3PT  (8 PTS) (J. Holiday 2 AST),"[204001, 201950]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,26.13,Made,8.0,J. Holiday,201950.0,2.0,,,,,,,,,,,,,,
30,PT08M43.00S,2024-01-20T00:47:18.8Z,1,REGULAR,2pt,Jump Shot,[],1629008,21.76412614980289,67.8921568627451,1610612743,8,10,2024-01-20T00:47:40Z,290000,False,-89.0,152.0,1,left,M. Porter Jr. 17' fadeaway Jump Shot (2 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,17.65,Made,2.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
32,PT08M30.00S,2024-01-20T00:47:31.7Z,1,REGULAR,3pt,Jump Shot,[],204001,66.83639947437582,24.019607843137255,1610612738,11,10,2024-01-20T00:47:36Z,310000,False,-130.0,259.0,1,right,K. Porzingis 28' 3PT  (11 PTS) (J. Tatum 2 AST),"[204001, 1628369]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,28.99,Made,11.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,
