actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-17T20:12:07.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-17T20:12:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-17T20:12:09.6Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2023-12-17T20:12:09Z,40000,False,,,0,,Jump Ball G. Bitadze vs. K. Porzingis: Tip to J. Suggs,"[1630591, 1629048, 204001]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bitadze,1629048.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-12-17T20:12:32.0Z,1,REGULAR,2pt,Jump Shot,[],1630532,10.200394218134035,24.264705882352942,1610612753,0,0,2023-12-17T20:12:39Z,70000,False,129.0,43.0,1,left,MISS F. Wagner 13' floating Shot,[1630532],1610612753.0,ORL,floating,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Right,13.58,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2023-12-17T20:12:34.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,0,0,2023-12-17T20:12:39Z,80000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-12-17T20:12:42.7Z,1,REGULAR,3pt,Jump Shot,[],204001,66.83639947437582,59.068627450980394,1610612738,0,0,2023-12-17T20:12:49Z,90000,False,45.0,259.0,1,right,MISS K. Porzingis 26' 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,26.31,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2023-12-17T20:12:43.7Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2023-12-17T20:13:04Z,100000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M08.00S,2023-12-17T20:13:07.3Z,1,REGULAR,3pt,Jump Shot,[],1641710,31.09395532194481,23.52941176470588,1610612753,0,0,2023-12-17T20:13:12Z,120000,False,132.0,240.0,1,left,MISS A. Black 27' 3PT,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Right Center,27.39,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2023-12-17T20:13:10.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2023-12-17T20:13:12Z,130000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M57.00S,2023-12-17T20:13:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,93.64323258869908,56.61764705882353,1610612738,0,0,2023-12-17T20:13:22Z,140000,False,33.0,7.0,1,right,MISS D. White driving Layup - blocked,"[1628401, 1629048]",1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,3.39,Missed,,,,,Bitadze,1629048.0,,,,,,,,,,,,
15,PT10M57.00S,2023-12-17T20:13:17.6Z,1,REGULAR,block,,[],1629048,,,1610612738,0,0,2023-12-17T20:13:19Z,150000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M55.00S,2023-12-17T20:13:19.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2023-12-17T20:13:22Z,160000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M52.00S,2023-12-17T20:13:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631094,8.623521681997373,57.59803921568627,1610612753,0,2,2023-12-17T20:13:29Z,170000,False,-38.0,29.0,1,left,P. Banchero running Layup (2 PTS),[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,4.76,Made,,,,,,,2.0,,,,,,,,,,,
18,PT10M34.00S,2023-12-17T20:13:43.5Z,1,REGULAR,turnover,traveling,[],204001,,,1610612738,0,2,2023-12-17T20:13:49Z,180000,False,,,0,,K. Porzingis traveling TURNOVER (1 TO),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,,,,,,,,,,201639.0,1.0,,,,,,,,,
19,PT10M10.00S,2023-12-17T20:14:19.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,0,2,2023-12-17T20:14:25Z,190000,False,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,202027.0,,,,,,,,,,
20,PT09M58.00S,2023-12-17T20:14:38.3Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612738,0,2,2023-12-17T20:14:42Z,200000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 1631094]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Banchero,1631094.0,,,,,,,
21,PT09M58.00S,2023-12-17T20:14:38.3Z,1,REGULAR,steal,,[],1631094,,,1610612753,0,2,2023-12-17T20:14:39Z,210000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2023-12-17T20:14:42.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630591,7.835085413929041,49.50980392156863,1610612753,0,4,2023-12-17T20:15:46Z,220000,False,2.0,21.0,1,left,J. Suggs running alley-oop DUNK (2 PTS) (F. Wagner 1 AST),"[1630591, 1630532]",1610612753.0,ORL,running alley-oop,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,2.12,Made,,,,,,,2.0,,,,,F. Wagner,1630532.0,1.0,,,,
24,PT09M43.00S,2023-12-17T20:14:54.6Z,1,REGULAR,foul,personal,[],1629048,,,1610612738,0,4,2023-12-17T20:15:03Z,240000,False,,,0,,G. Bitadze personal FOUL (1 PF),"[1629048, 204001]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,201639.0,,,,,,,1.0,0.0,Porzingis,204001.0
26,PT09M38.00S,2023-12-17T20:15:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,93.24901445466492,63.23529411764706,1610612738,0,4,2023-12-17T20:15:24Z,260000,False,66.0,11.0,1,right,MISS K. Porzingis 6' driving Layup,[204001],1610612738.0,BOS,driving,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,6.71,Missed,,,,,,,,,,,,,,,,,,
