actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-23T00:43:42.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-23T00:43:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-23T00:43:44.0Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2023-11-23T00:43:44Z,40000,False,,,0,,Jump Ball K. Porzingis vs. B. Lopez: Tip to D. White,"[1628401, 204001, 201572]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2023-11-23T00:43:51.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,7.966491458607096,50.49019607843137,1610612738,2,0,2023-11-23T00:43:56Z,70000,False,-2.0,22.0,1,left,J. Brown driving DUNK (2 PTS) (J. Holiday 1 AST),"[1627759, 201950]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.25,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
10,PT11M25.00S,2023-11-23T00:44:27.7Z,1,REGULAR,2pt,Jump Shot,[],203114,92.32917214191852,26.96078431372549,1610612749,2,0,2023-11-23T00:44:33Z,100000,False,-115.0,20.0,1,right,MISS K. Middleton 11' pullup Shot,[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Left,11.69,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2023-11-23T00:44:30.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,0,2023-11-23T00:44:33Z,110000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M16.00S,2023-11-23T00:44:36.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,14.799605781865965,40.931372549019606,1610612738,2,0,2023-11-23T00:45:17Z,120000,False,45.0,87.0,1,left,MISS J. Brown 9' driving floating bank Shot,[1627759],1610612738.0,BOS,driving floating bank,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,9.77,Missed,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2023-11-23T00:44:37.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,0,2023-11-23T00:45:17Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.0,,,,,,,,,,,,,
15,PT11M02.00S,2023-11-23T00:45:06.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201950,14.011169513797633,29.411764705882355,1610612738,2,0,2023-11-23T00:45:12Z,150000,False,103.0,79.0,1,left,MISS J. Holiday 12' step back Shot,[201950],1610612738.0,BOS,step back,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Right,12.99,Missed,,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2023-11-23T00:45:08.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2023-11-23T00:45:12Z,160000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Right,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M51.00S,2023-11-23T00:45:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,91.93495400788436,42.8921568627451,1610612749,2,0,2023-11-23T00:46:11Z,170000,False,-36.0,23.0,1,right,MISS G. Antetokounmpo driving reverse Layup - blocked,"[203507, 201950]",1610612749.0,MIL,driving reverse,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,4.25,Missed,,,,,,,,,Holiday,201950.0,,,,,,,,
