actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-02T00:43:40.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-02T00:43:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-02T00:43:47.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612755,0,0,2023-12-02T00:43:47Z,40000,False,,,0,,Jump Ball P. Reed vs. A. Horford: Tip to Team (PHI),"[1630194, 201143]",1610612755.0,PHI,startperiod,Team (PHI),Reed,1630194.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2023-12-02T00:43:57.8Z,1,REGULAR,turnover,bad pass,[],201976,,,1610612755,0,0,2023-12-02T00:44:47Z,70000,False,,,0,,P. Beverley bad pass TURNOVER (1 TO),"[201976, 1627759]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,1.0,Beverley,P. Beverley,Brown,1627759.0,,,,,,,,,,,,,,,,,
8,PT11M54.00S,2023-12-02T00:43:57.8Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,0,2023-12-02T00:44:00Z,80000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,
9,PT11M51.00S,2023-12-02T00:44:01.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,93.24901445466492,48.77450980392157,1610612738,2,0,2023-12-02T00:44:23Z,90000,False,-6.0,11.0,1,right,J. Brown running DUNK (2 PTS),[1627759],1610612738.0,BOS,running,,,,,,Restricted Area,0-8 Center,,Brown,J. Brown,,,1.26,Made,2.0,,,,,,,,,,,,,,
11,PT11M28.00S,2023-12-02T00:44:22.0Z,1,REGULAR,2pt,Jump Shot,[],202699,9.543363994743759,67.64705882352942,1610612755,2,2,2023-12-02T00:45:28Z,100000,False,-88.0,37.0,1,left,T. Harris 9' turnaround fadeaway Jump Shot (2 PTS),[202699],1610612755.0,PHI,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,,Harris,T. Harris,,,9.57,Made,2.0,,,,,,,,,,,,,,
12,PT11M14.00S,2023-12-02T00:44:35.9Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,2,2,2023-12-02T00:46:04Z,110000,False,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 201976]",1610612738.0,BOS,,,,,,,Mid-Range,16-24 Right Center,1.0,Brown,J. Brown,Beverley,201976.0,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2023-12-02T00:44:35.9Z,1,REGULAR,steal,,[],201976,,,1610612755,2,2,2023-12-02T00:44:39Z,120000,False,,,0,,P. Beverley STEAL (1 STL),[201976],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Right Center,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2023-12-02T00:44:45.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629001,8.623521681997373,46.568627450980394,1610612755,2,4,2023-12-02T00:46:47Z,130000,False,17.0,29.0,1,left,D. Melton driving Layup (2 PTS),[1629001],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,,Melton,D. Melton,,,3.34,Made,2.0,,,,,,,,,,,,,,
15,PT10M57.00S,2023-12-02T00:44:53.8Z,1,REGULAR,3pt,Jump Shot,[],201143,70.25295663600527,21.323529411764707,1610612738,5,4,2023-12-02T00:45:07Z,140000,False,-143.0,227.0,1,right,A. Horford 26' 3PT  (3 PTS) (J. Holiday 1 AST),"[201143, 201950]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,Horford,A. Horford,,,26.86,Made,3.0,J. Holiday,201950.0,1.0,,,,,,,,,,,
