actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-01-06T00:10:35.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-06T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-06T00:10:36.9Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-01-06T00:10:36Z,40000,False,,,0,,Jump Ball K. Porzingis vs. L. Markkanen: Tip to D. White,"[1628401, 204001, 1628374]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Markkanen,1628374.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-01-06T00:10:48.3Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,0,0,2024-01-06T00:10:52Z,70000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1629012]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,1.0,Sexton,1629012.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2024-01-06T00:10:48.3Z,1,REGULAR,steal,,[],1629012,,,1610612762,0,0,2024-01-06T00:10:49Z,80000,False,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2024-01-06T00:10:51.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627739,93.9060446780552,59.55882352941176,1610612762,0,0,2024-01-06T00:11:37Z,90000,False,48.0,5.0,1,right,MISS K. Dunn running Layup - blocked,"[1627739, 1628369]",1610612762.0,UTA,running,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,,4.8,Missed,Tatum,1628369.0,,,,,,,,,,,,,
10,PT11M42.00S,2024-01-06T00:10:51.9Z,1,REGULAR,block,,[],1628369,,,1610612762,0,0,2024-01-06T00:10:54Z,100000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M40.00S,2024-01-06T00:10:53.9Z,1,REGULAR,rebound,offensive,[],1631323,,,1610612762,0,0,2024-01-06T00:11:02Z,110000,False,,,0,,S. Fontecchio REBOUND (Off:1 Def:0),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M40.00S,2024-01-06T00:10:57.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover', '2ndchance']",1631323,92.9862023653088,45.34313725490196,1610612762,0,0,2024-01-06T00:11:59Z,120000,False,-23.0,13.0,1,right,MISS S. Fontecchio putback Layup,[1631323],1610612762.0,UTA,putback,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,,,,2.69,Missed,,,,,,,,,,,,,,,
13,PT11M40.00S,2024-01-06T00:10:57.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,0,2024-01-06T00:11:59Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,12.0,,,,,,,,,,,,
15,PT11M35.00S,2024-01-06T00:11:15.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628374,92.59198423127464,44.36274509803921,1610612762,0,0,2024-01-06T00:12:34Z,150000,False,-28.0,17.0,1,right,MISS L. Markkanen cutting DUNK - blocked,"[1628374, 1627759]",1610612762.0,UTA,cutting,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,3.3,Missed,Brown,1627759.0,,,,,,,,,,,,,
16,PT11M35.00S,2024-01-06T00:11:15.7Z,1,REGULAR,block,,[],1627759,,,1610612762,0,0,2024-01-06T00:11:18Z,160000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT11M31.00S,2024-01-06T00:11:19.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,0,0,2024-01-06T00:11:23Z,170000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
18,PT11M29.00S,2024-01-06T00:11:22.8Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612738,0,0,2024-01-06T00:11:39Z,180000,False,,,0,,J. Collins shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628381, 1628369]",1610612762.0,UTA,shooting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,203591.0,1.0,0.0,Tatum,1628369.0,,,,
