actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-20T23:43:42.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-20T23:43:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-20T23:43:44.6Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2024-03-20T23:43:44Z,40000,False,,,0,,Jump Ball K. Porzingis vs. B. Lopez: Tip to A. Horford,"[201143, 204001, 201572]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Porzingis,204001.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-03-20T23:44:03.8Z,1,REGULAR,2pt,Jump Shot,[],1628369,89.83245729303549,75.98039215686273,1610612738,0,0,2024-03-20T23:44:12Z,70000,False,130.0,43.0,1,right,MISS J. Tatum 13' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,13.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-03-20T23:44:05.8Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,0,0,2024-03-20T23:44:12Z,80000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-03-20T23:44:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,9.017739816031538,41.911764705882355,1610612749,0,0,2024-03-20T23:44:23Z,90000,False,40.0,32.0,1,left,MISS D. Lillard driving Layup,[203081],1610612749.0,MIL,driving,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,5.17,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-03-20T23:44:18.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2024-03-20T23:44:23Z,100000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M18.00S,2024-03-20T23:44:23.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,92.32917214191852,48.529411764705884,1610612738,2,0,2024-03-20T23:44:29Z,110000,False,-7.0,20.0,1,right,D. White running finger roll Layup (2 PTS),[1628401],1610612738.0,BOS,running finger roll,,,White,D. White,,,,,Restricted Area,0-8 Center,2.1,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M57.00S,2024-03-20T23:44:43.7Z,1,REGULAR,2pt,Jump Shot,[],203109,22.158344283837057,35.53921568627451,1610612749,2,2,2024-03-20T23:44:48Z,120000,False,72.0,156.0,1,left,J. Crowder 17' step back Jump Shot (2 PTS) (K. Middleton 1 AST),"[203109, 203114]",1610612749.0,MIL,step back,,,Crowder,J. Crowder,,,,,Mid-Range,16-24 Right Center,17.18,Made,,,,,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,
14,PT10M48.00S,2024-03-20T23:44:52.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,82.47371879106439,94.85294117647058,1610612738,5,2,2024-03-20T23:44:57Z,140000,False,224.0,112.0,1,right,J. Brown 25' 3PT  (3 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.08,Made,,,,,3.0,D. White,1628401.0,1.0,,,,,,,,,,
16,PT10M26.00S,2024-03-20T23:45:14.9Z,1,REGULAR,2pt,Jump Shot,[],203081,24.392247043363994,77.20588235294117,1610612749,5,4,2024-03-20T23:45:23Z,160000,False,-136.0,177.0,1,left,D. Lillard 22' pullup Jump Shot (2 PTS) (J. Crowder 1 AST),"[203081, 203109]",1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Left Center,22.31,Made,,,,,2.0,J. Crowder,203109.0,1.0,,,,,,,,,,
