actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,turnoverTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
21,PT10M59.00S,2024-02-04T23:13:08.7Z,1,REGULAR,rebound,defensive,[],1641787,,,1610612763,1,0,2024-02-04T23:13:11Z,210000,False,,,0,,T. Evbuomwan REBOUND (Off:0 Def:1),[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,Left Corner 3,24+ Left,,,,,,,20.0,,,,1.0,1.0,0.0,,,,,,,
22,PT10M49.00S,2024-02-04T23:13:19.3Z,1,REGULAR,3pt,Jump Shot,[],1631223,77.7431011826544,88.97058823529412,1610612763,1,0,2024-02-04T23:13:25Z,220000,False,195.0,157.0,1,right,MISS D. Roddy 25' 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,25.01,,,,,,,,,,
23,PT10M47.00S,2024-02-04T23:13:21.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,1,0,2024-02-04T23:13:25Z,230000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,22.0,,,,1.0,1.0,0.0,,,,,,,
24,PT10M37.00S,2024-02-04T23:13:31.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,8.14717477003942,44.97549019607843,1610612738,3,0,2024-02-04T23:13:36Z,240000,False,25.0,24.0,1,left,J. Tatum driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,,3.48,,,,,,,,,,
25,PT10M23.00S,2024-02-04T23:13:44.2Z,1,REGULAR,3pt,Jump Shot,[],1641713,78.40013140604468,90.68627450980392,1610612763,3,0,2024-02-04T23:13:51Z,250000,False,203.0,151.0,1,right,MISS G. Jackson 25' 3PT,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,25.3,,,,,,,,,,
26,PT10M21.00S,2024-02-04T23:13:46.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,3,0,2024-02-04T23:13:51Z,260000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,25.0,,,,1.0,1.0,0.0,,,,,,,
27,PT10M14.00S,2024-02-04T23:13:53.7Z,1,REGULAR,3pt,Jump Shot,[],201950,25.57490144546649,89.4607843137255,1610612738,3,0,2024-02-04T23:14:00Z,270000,False,-197.0,188.0,1,left,MISS J. Holiday 27' 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,27.25,,,,,,,,,,
28,PT10M12.00S,2024-02-04T23:13:55.7Z,1,REGULAR,rebound,defensive,[],1641787,,,1610612763,3,0,2024-02-04T23:14:00Z,280000,False,,,0,,T. Evbuomwan REBOUND (Off:0 Def:2),[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,Above the Break 3,24+ Left Center,,,,,,,27.0,,,,2.0,2.0,0.0,,,,,,,
29,PT10M03.00S,2024-02-04T23:14:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631223,92.9862023653088,52.94117647058824,1610612763,3,2,2024-02-04T23:14:09Z,290000,False,15.0,13.0,1,right,D. Roddy driving Layup (2 PTS),[1631223],1610612763.0,MEM,driving,,,Roddy,D. Roddy,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,,1.99,,,,,,,,,,
31,PT09M47.00S,2024-02-04T23:14:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,8.886333771353483,50.98039215686274,1610612738,5,2,2024-02-04T23:14:25Z,310000,False,-5.0,31.0,1,left,J. Holiday cutting Layup (2 PTS) (J. Tatum 1 AST),"[201950, 1628369]",1610612738.0,BOS,cutting,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,,3.14,,,,J. Tatum,1628369.0,1.0,,,,
33,PT09M32.00S,2024-02-04T23:14:35.7Z,1,REGULAR,turnover,lost ball,[],1641713,,,1610612763,5,2,2024-02-04T23:22:42Z,330000,False,,,0,,G. Jackson lost ball TURNOVER (1 TO),"[1641713, 201950]",1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,,,,,Holiday,201950.0,,
34,PT09M32.00S,2024-02-04T23:14:35.7Z,1,REGULAR,steal,,[],201950,,,1610612738,5,2,2024-02-04T23:14:37Z,340000,False,,,0,,J. Holiday STEAL (1 STL),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M28.00S,2024-02-04T23:14:40.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628369,5.781865965834428,49.90042892156863,1610612738,7,2,2024-02-04T23:14:48Z,350000,False,0.0,2.0,1,left,J. Tatum running alley-oop DUNK (4 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,running alley-oop,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,,0.19,,,,A. Horford,201143.0,1.0,,,,
37,PT09M08.00S,2024-02-04T23:15:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1631367,92.19776609724047,42.64705882352941,1610612763,7,4,2024-02-04T23:15:44Z,370000,False,-37.0,21.0,1,right,J. Gilyard driving Layup (2 PTS) (G. Jackson 1 AST),"[1631367, 1641713]",1610612763.0,MEM,driving,,,Gilyard,J. Gilyard,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,,4.23,,,,G. Jackson,1641713.0,1.0,,,,
39,PT09M08.00S,2024-02-04T23:15:05.4Z,1,REGULAR,violation,defensive goaltending,[],201143,,,1610612763,7,4,2024-02-04T23:15:28Z,390000,False,,,0,,A. Horford defensive goaltending VIOLATION,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,1162.0,,,,,,,,,,,,,,,,,,,
41,PT08M56.00S,2024-02-04T23:15:31.9Z,1,REGULAR,foul,offensive,[],1628401,,,1610612738,7,4,2024-02-04T23:15:49Z,400000,False,,,0,,D. White offensive FOUL (1 PF),"[1628401, 1631223]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Left Center,2003.0,1.0,0.0,Roddy,1631223.0,,,,,,,,,,,,,,,
43,PT08M56.00S,2024-02-04T23:15:31.9Z,1,REGULAR,turnover,offensive foul,[],1628401,,,1610612738,7,4,2024-02-04T23:15:49Z,420000,False,,,0,,D. White offensive foul TURNOVER (1 TO),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Left Center,1162.0,,,,,,,,1.0,,,,,,,,,,,
44,PT08M44.00S,2024-02-04T23:15:46.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628379,66.44218134034165,39.950980392156865,1610612763,7,4,2024-02-04T23:15:54Z,430000,False,-50.0,263.0,1,right,MISS L. Kennard 26' 3PT,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,26.76,,,,,,,,,,
45,PT08M42.00S,2024-02-04T23:15:48.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,4,2024-02-04T23:15:54Z,440000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,44.0,,,,2.0,2.0,0.0,,,,,,,
46,PT08M34.00S,2024-02-04T23:15:55.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,9.411957950065702,49.754901960784316,1610612738,9,4,2024-02-04T23:16:00Z,450000,False,1.0,36.0,1,left,A. Horford Hook (2 PTS) (J. Tatum 2 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,,3.6,,,,J. Tatum,1628369.0,2.0,,,,
48,PT08M20.00S,2024-02-04T23:16:10.3Z,1,REGULAR,2pt,Jump Shot,[],1628379,90.3580814717477,73.77450980392157,1610612763,9,4,2024-02-04T23:20:28Z,470000,False,119.0,38.0,1,right,MISS L. Kennard 12' step back Shot,[1628379],1610612763.0,MEM,step back,,,Kennard,L. Kennard,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,,12.49,,,,,,,,,,
49,PT08M18.00S,2024-02-04T23:16:12.3Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,9,4,2024-02-04T23:16:18Z,480000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Right,,,,,,,48.0,,,,1.0,1.0,0.0,,,,,,,
50,PT08M12.00S,2024-02-04T23:16:18.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201143,9.149145860709593,50.73529411764706,1610612738,11,4,2024-02-04T23:20:41Z,490000,False,-4.0,34.0,1,left,A. Horford running Layup (4 PTS) (D. White 1 AST),"[201143, 1628401]",1610612738.0,BOS,running,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,,3.37,,,,D. White,1628401.0,1.0,,,,
52,PT07M55.00S,2024-02-04T23:16:34.6Z,1,REGULAR,3pt,Jump Shot,[],1641713,65.65374507227332,27.450980392156865,1610612763,11,7,2024-02-04T23:21:07Z,510000,False,-113.0,270.0,1,right,G. Jackson 29' 3PT pullup (3 PTS) (D. Roddy 1 AST),"[1641713, 1631223]",1610612763.0,MEM,pullup,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,,29.29,,,,D. Roddy,1631223.0,1.0,,,,
54,PT07M43.00S,2024-02-04T23:16:50.0Z,1,REGULAR,foul,personal,[],1628379,,,1610612738,11,7,2024-02-04T23:16:57Z,530000,False,,,0,,L. Kennard personal FOUL (1 PF),"[1628379, 204001]",1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Mid-Range,8-16 Left,1162.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,,,
56,PT07M37.00S,2024-02-04T23:17:12.0Z,1,REGULAR,3pt,Jump Shot,[],201143,28.203022339027594,17.15686274509804,1610612738,11,7,2024-02-04T23:17:18Z,550000,False,164.0,213.0,1,left,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,26.86,,,,,,,,,,
57,PT07M36.00S,2024-02-04T23:17:13.0Z,1,REGULAR,rebound,defensive,[],1641787,,,1610612763,11,7,2024-02-04T23:17:18Z,560000,False,,,0,,T. Evbuomwan REBOUND (Off:0 Def:3),[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,Above the Break 3,24+ Right Center,,,,,,,56.0,,,,3.0,3.0,0.0,,,,,,,
58,PT07M27.00S,2024-02-04T23:17:22.6Z,1,REGULAR,2pt,Jump Shot,[],1631367,75.90341655716163,46.07843137254902,1610612763,11,9,2024-02-04T23:17:26Z,570000,False,-20.0,174.0,1,right,J. Gilyard 17' step back Jump Shot (4 PTS),[1631367],1610612763.0,MEM,step back,,,Gilyard,J. Gilyard,,,,,Mid-Range,16-24 Center,,,,,,Made,,4.0,,17.51,,,,,,,,,,
59,PT07M10.00S,2024-02-04T23:17:39.0Z,1,REGULAR,3pt,Jump Shot,[],204001,34.11629434954008,35.049019607843135,1610612738,14,9,2024-02-04T23:17:44Z,580000,False,75.0,268.0,1,left,K. Porzingis 27' 3PT  (4 PTS) (J. Holiday 1 AST),"[204001, 201950]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,,,Made,,4.0,,27.84,,,,J. Holiday,201950.0,1.0,,,,
61,PT06M54.00S,2024-02-04T23:17:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641713,91.5407358738502,42.15686274509804,1610612763,14,9,2024-02-04T23:18:02Z,600000,False,-39.0,27.0,1,right,MISS G. Jackson driving Layup,[1641713],1610612763.0,MEM,driving,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,4.76,,,,,,,,,,
62,PT06M53.00S,2024-02-04T23:17:57.2Z,1,REGULAR,rebound,offensive,[],1641713,,,1610612763,14,9,2024-02-04T23:18:02Z,610000,False,,,0,,G. Jackson REBOUND (Off:1 Def:0),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,61.0,,,,1.0,0.0,1.0,,,,,,,
63,PT06M53.00S,2024-02-04T23:17:59.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641713,94.40999984741211,50.0,1610612763,14,9,2024-02-04T23:18:31Z,620000,False,0.0,0.0,1,right,MISS G. Jackson tip Layup,[1641713],1610612763.0,MEM,tip,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,0.0,,,,,,,,,,
64,PT06M52.00S,2024-02-04T23:18:00.2Z,1,REGULAR,rebound,offensive,[],1641787,,,1610612763,14,9,2024-02-04T23:31:15Z,630000,False,,,0,,T. Evbuomwan REBOUND (Off:1 Def:3),[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,Restricted Area,0-8 Center,,,,,,,63.0,,,,4.0,3.0,1.0,,,,,,,
65,PT06M48.00S,2024-02-04T23:18:01.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631367,87.07293035479631,96.32352941176471,1610612763,14,9,2024-02-04T23:18:06Z,640000,False,232.0,69.0,1,right,MISS J. Gilyard 24' 3PT,[1631367],1610612763.0,MEM,,,,Gilyard,J. Gilyard,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,24.17,,,,,,,,,,
66,PT06M47.00S,2024-02-04T23:18:02.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,14,9,2024-02-04T23:18:16Z,650000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,,,,,,,65.0,,,,1.0,1.0,0.0,,,,,,,
67,PT06M36.00S,2024-02-04T23:18:13.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,27.94021024967148,17.401960784313726,1610612738,17,9,2024-02-04T23:18:18Z,660000,False,163.0,210.0,1,left,D. White 26' 3PT  (3 PTS) (J. Holiday 2 AST),"[1628401, 201950]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,3.0,,26.59,,,,J. Holiday,201950.0,2.0,,,,
69,PT06M35.00S,2024-02-04T23:18:19.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,17,9,2024-02-04T23:18:19Z,680000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M35.00S,2024-02-04T23:20:59.6Z,1,REGULAR,substitution,out,[],201950,,,1610612763,17,9,2024-02-04T23:21:27Z,690000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M35.00S,2024-02-04T23:20:59.6Z,1,REGULAR,substitution,in,[],1630573,,,1610612763,17,9,2024-02-04T23:21:27Z,700000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M29.00S,2024-02-04T23:21:41.1Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612763,17,9,2024-02-04T23:21:53Z,710000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Roddy 2 FT),"[201143, 1631223]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,1162.0,1.0,0.0,Roddy,1631223.0,,,,,,,,,,,,,,,
74,PT06M29.00S,2024-02-04T23:22:06.6Z,1,REGULAR,freethrow,1 of 2,[],1631223,,,1610612763,17,10,2024-02-04T23:22:06Z,730000,False,,,0,,D. Roddy Free Throw 1 of 2 (3 PTS),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,Made,,3.0,,,,,,,,,,,,
75,PT06M29.00S,2024-02-04T23:22:20.3Z,1,REGULAR,freethrow,2 of 2,[],1631223,,,1610612763,17,11,2024-02-04T23:22:20Z,740000,False,,,0,,D. Roddy Free Throw 2 of 2 (4 PTS),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,Made,,4.0,,,,,,,,,,,,
76,PT06M13.00S,2024-02-04T23:22:42.9Z,1,REGULAR,foul,personal,['2freethrow'],1641787,,,1610612738,17,11,2024-02-04T23:23:02Z,750000,False,,,0,,T. Evbuomwan shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1641787, 204001]",1610612763.0,MEM,shooting,,,Evbuomwan,T. Evbuomwan,,,,,Mid-Range,16-24 Center,202053.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,,,
78,PT06M13.00S,2024-02-04T23:23:03.5Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612738,18,11,2024-02-04T23:23:03Z,770000,False,,,0,,K. Porzingis Free Throw 1 of 2 (5 PTS),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,,5.0,,,,,,,,,,,,
79,PT06M13.00S,2024-02-04T23:23:17.5Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612738,19,11,2024-02-04T23:23:17Z,780000,False,,,0,,K. Porzingis Free Throw 2 of 2 (6 PTS),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,,6.0,,,,,,,,,,,,
80,PT05M48.00S,2024-02-04T23:23:44.8Z,1,REGULAR,2pt,Jump Shot,[],1631223,88.38699080157687,17.15686274509804,1610612763,19,11,2024-02-04T23:23:50Z,790000,False,-164.0,57.0,1,right,MISS D. Roddy 17' Jump Shot,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Mid-Range,16-24 Left,,,,,,Missed,,,,17.37,,,,,,,,,,
81,PT05M45.00S,2024-02-04T23:23:47.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,19,11,2024-02-04T23:23:50Z,800000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left,,,,,,,80.0,,,,3.0,3.0,0.0,,,,,,,
82,PT05M40.00S,2024-02-04T23:23:52.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,8.754927726675426,3.6764705882352944,1610612738,22,11,2024-02-04T23:25:11Z,810000,False,232.0,30.0,1,left,D. White 3PT running (6 PTS) (A. Horford 2 AST),"[1628401, 201143]",1610612738.0,BOS,running,,,White,D. White,,,,,Right Corner 3,24+ Right,,,,,,Made,,6.0,,23.35,,,,A. Horford,201143.0,2.0,,,,
84,PT05M27.00S,2024-02-04T23:24:05.3Z,1,REGULAR,3pt,Jump Shot,[],1631223,69.99014454664915,73.2843137254902,1610612763,22,11,2024-02-04T23:24:09Z,830000,False,116.0,230.0,1,right,MISS D. Roddy 25' 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,25.74,,,,,,,,,,
85,PT05M25.00S,2024-02-04T23:24:07.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,22,11,2024-02-04T23:24:09Z,840000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,84.0,,,,4.0,4.0,0.0,,,,,,,
86,PT05M19.00S,2024-02-04T23:24:14.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,27.283180026281208,86.76470588235294,1610612738,22,11,2024-02-04T23:26:01Z,850000,False,-184.0,204.0,1,left,MISS J. Tatum 27' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,27.46,,,,,,,,,,
87,PT05M17.00S,2024-02-04T23:24:16.3Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,22,11,2024-02-04T23:24:22Z,860000,False,,,0,,D. Roddy REBOUND (Off:0 Def:1),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Left Center,,,,,,,86.0,,,,1.0,1.0,0.0,,,,,,,
