actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,turnoverTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-04T23:10:51.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-04T23:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-04T23:10:53.7Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-02-04T23:10:53Z,40000,False,,,0,,Jump Ball K. Porzingis vs. T. Jemison: Tip to D. White,"[1628401, 204001, 1641998]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Jemison,1641998.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2024-02-04T23:11:02.9Z,1,REGULAR,foul,personal,['2freethrow'],1641998,,,1610612738,0,0,2024-02-04T23:11:16Z,70000,False,,,0,,T. Jemison shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1641998, 204001]",1610612763.0,MEM,shooting,,,Jemison,T. Jemison,,,,,In The Paint (Non-RA),0-8 Center,202053.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,,,
9,PT11M50.00S,2024-02-04T23:11:32.9Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612738,0,0,2024-02-04T23:11:32Z,90000,False,,,0,,MISS K. Porzingis Free Throw 1 of 2,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M50.00S,2024-02-04T23:11:32.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,0,0,2024-02-04T23:11:32Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M50.00S,2024-02-04T23:11:48.9Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612738,1,0,2024-02-04T23:11:48Z,110000,False,,,0,,K. Porzingis Free Throw 2 of 2 (1 PTS),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M30.00S,2024-02-04T23:12:12.1Z,1,REGULAR,turnover,out-of-bounds,[],1628379,,,1610612763,1,0,2024-02-04T23:12:19Z,120000,False,,,0,,L. Kennard bad pass out-of-bounds TURNOVER (1 TO),[1628379],1610612763.0,MEM,bad pass,,,Kennard,L. Kennard,,,,,Mid-Range,8-16 Right,1162.0,,,,,,,,1.0,,,,,,,,,,,
13,PT11M20.00S,2024-02-04T23:12:25.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,33.722076215505915,31.61764705882353,1610612738,1,0,2024-02-04T23:12:30Z,130000,False,92.0,264.0,1,left,MISS K. Porzingis 28' 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,28.0,,,,,,,,,,
14,PT11M18.00S,2024-02-04T23:12:27.2Z,1,REGULAR,rebound,defensive,[],1641998,,,1610612763,1,0,2024-02-04T23:12:30Z,140000,False,,,0,,T. Jemison REBOUND (Off:0 Def:1),[1641998],1610612763.0,MEM,,,,Jemison,T. Jemison,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,,,,1.0,1.0,0.0,,,,,,,
15,PT11M13.00S,2024-02-04T23:12:39.5Z,1,REGULAR,foul,offensive,[],1641998,,,1610612763,1,0,2024-02-04T23:12:50Z,150000,False,,,0,,T. Jemison offensive FOUL (2 PF),"[1641998, 201950]",1610612763.0,MEM,,,,Jemison,T. Jemison,,,,,Restricted Area,0-8 Center,1162.0,2.0,0.0,Holiday,201950.0,,,,,,,,,,,,,,,
17,PT11M13.00S,2024-02-04T23:12:39.5Z,1,REGULAR,turnover,offensive foul,[],1641998,,,1610612763,1,0,2024-02-04T23:12:39Z,170000,False,,,0,,T. Jemison offensive foul TURNOVER (1 TO),[1641998],1610612763.0,MEM,,,,Jemison,T. Jemison,,,,,Restricted Area,0-8 Center,1162.0,,,,,,,,1.0,,,,,,,,,,,
18,PT11M13.00S,2024-02-04T23:12:47.8Z,1,REGULAR,substitution,out,[],1641998,,,1610612738,1,0,2024-02-04T23:12:50Z,180000,False,,,0,,SUB out: T. Jemison,[1641998],1610612763.0,MEM,,,,Jemison,T. Jemison,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT11M13.00S,2024-02-04T23:12:47.8Z,1,REGULAR,substitution,in,[],1641787,,,1610612738,1,0,2024-02-04T23:12:50Z,190000,False,,,0,,SUB in: T. Evbuomwan,[1641787],1610612763.0,MEM,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT11M01.00S,2024-02-04T23:13:06.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,10.068988173455978,96.32352941176471,1610612738,1,0,2024-02-04T23:13:11Z,200000,False,-232.0,42.0,1,left,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,23.54,,,,,,,,,,
