actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-15T00:40:50.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-15T00:40:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-15T00:40:52.2Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2024-02-15T00:40:52Z,40000,False,,,0,,Jump Ball K. Porzingis vs. N. Claxton: Tip to D. White,"[1628401, 204001, 1629651]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-02-15T00:41:04.6Z,1,REGULAR,3pt,Jump Shot,[],1628401,29.122864651773984,75.24509803921569,1610612738,0,0,2024-02-15T00:41:10Z,70000,False,-126.0,221.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,25.48,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-02-15T00:41:08.6Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2024-02-15T00:41:10Z,80000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2024-02-15T00:41:14.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,68.15045992115637,23.284313725490197,1610612751,0,0,2024-02-15T00:41:51Z,90000,False,-134.0,247.0,1,right,MISS M. Bridges 28' pullup 3PT,[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,28.07,Missed,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2024-02-15T00:41:17.5Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,0,0,2024-02-15T00:41:30Z,100000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M25.00S,2024-02-15T00:41:25.5Z,1,REGULAR,3pt,Jump Shot,[],204001,33.196452036793694,64.95098039215686,1610612738,3,0,2024-02-15T00:41:32Z,110000,False,-75.0,260.0,1,left,K. Porzingis 27' 3PT  (3 PTS) (S. Hauser 1 AST),"[204001, 1630573]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,27.01,Made,,,,,3.0,S. Hauser,1630573.0,1.0,,,,,,,,,,
13,PT11M07.00S,2024-02-15T00:41:42.4Z,1,REGULAR,2pt,Jump Shot,[],1630560,91.01511169513797,80.63725490196079,1610612751,3,0,2024-02-15T00:41:51Z,130000,False,153.0,32.0,1,right,MISS C. Thomas 15' pullup Shot,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Right,15.65,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2024-02-15T00:41:44.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2024-02-15T00:41:51Z,140000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M56.00S,2024-02-15T00:41:56.4Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612738,3,0,2024-02-15T00:42:06Z,150000,False,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Tatum 2 FT),"[1627827, 1628369]",1610612751.0,BKN,shooting,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628954.0,1.0,0.0,Tatum,1628369.0,,,,,
17,PT10M56.00S,2024-02-15T00:42:20.4Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,4,0,2024-02-15T00:42:20Z,170000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
18,PT10M56.00S,2024-02-15T00:42:36.8Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,5,0,2024-02-15T00:42:36Z,180000,False,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M41.00S,2024-02-15T00:42:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,87.72996057818659,50.245098039215684,1610612751,5,0,2024-02-15T00:43:00Z,190000,False,1.0,63.0,1,right,MISS N. Claxton 6' driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,6.28,Missed,,,,,,,,,,,,,,,,,,
20,PT10M39.00S,2024-02-15T00:42:56.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,5,0,2024-02-15T00:43:00Z,200000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M35.00S,2024-02-15T00:43:00.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628401,17.559132720105126,42.40196078431372,1610612738,7,0,2024-02-15T00:43:13Z,210000,False,38.0,113.0,1,left,D. White 11' floating Jump Shot (2 PTS),[1628401],1610612738.0,BOS,floating,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,11.88,Made,,,,,2.0,,,,,,,,,,,,,
22,PT10M14.00S,2024-02-15T00:43:21.2Z,1,REGULAR,3pt,Jump Shot,[],1628969,67.23061760840999,22.30392156862745,1610612751,7,0,2024-02-15T00:43:28Z,220000,False,-138.0,256.0,1,right,MISS M. Bridges 29' 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,29.06,Missed,,,,,,,,,,,,,,,,,,
23,PT10M11.00S,2024-02-15T00:43:24.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,0,2024-02-15T00:43:28Z,230000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT09M55.00S,2024-02-15T00:43:40.8Z,1,REGULAR,2pt,Jump Shot,[],204001,22.158344283837057,67.64705882352942,1610612738,7,0,2024-02-15T00:43:48Z,240000,False,-88.0,156.0,1,left,MISS K. Porzingis 17' pullup Shot,[204001],1610612738.0,BOS,pullup,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Left Center,17.9,Missed,,,,,,,,,,,,,,,,,,
25,PT09M53.00S,2024-02-15T00:43:42.8Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,0,2024-02-15T00:43:48Z,250000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left Center,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT09M44.00S,2024-02-15T00:43:52.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,81.02825229960578,48.77450980392157,1610612751,7,2,2024-02-15T00:43:59Z,260000,False,-6.0,126.0,1,right,D. Schroder 12' driving floating Jump Shot (2 PTS) (N. Claxton 1 AST),"[203471, 1629651]",1610612751.0,BKN,driving floating,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Center,12.59,Made,,,,,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,
28,PT09M24.00S,2024-02-15T00:44:11.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,29.77989487516426,23.03921568627451,1610612738,10,2,2024-02-15T00:44:18Z,280000,False,135.0,227.0,1,left,D. White 26' 3PT  (5 PTS) (J. Holiday 1 AST),"[1628401, 201950]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,26.44,Made,,,,,5.0,J. Holiday,201950.0,1.0,,,,,,,,,,
