actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-09T00:40:31.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-09T00:40:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-09T00:40:33.9Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2023-12-09T00:40:33Z,40000,False,,,0,,Jump Ball K. Porzingis vs. M. Robinson: Tip to D. White,"[1628401, 204001, 1629011]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porzingis,204001.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-09T00:40:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,93.38042049934296,54.166666666666664,1610612738,0,0,2023-12-09T00:41:19Z,70000,False,21.0,10.0,1,right,MISS J. Holiday reverse Layup,[201950],1610612738.0,BOS,reverse,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,2.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-12-09T00:40:48.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,0,0,2023-12-09T00:40:56Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2023-12-09T00:41:08.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",204001,93.38042049934296,49.754901960784316,1610612738,2,0,2023-12-09T00:41:12Z,100000,False,-1.0,10.0,1,right,K. Porzingis DUNK (2 PTS),[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,0.98,Made,,2.0,,,,,,,,,,,,,,,,
11,PT11M16.00S,2023-12-09T00:41:29.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,9.149145860709593,63.970588235294116,1610612752,2,0,2023-12-09T00:41:41Z,110000,False,-70.0,34.0,1,left,MISS J. Randle 7' fadeaway bank Shot,[203944],1610612752.0,NYK,fadeaway bank,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,7.75,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2023-12-09T00:41:31.9Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,2,0,2023-12-09T00:45:34Z,120000,False,,,0,,J. Randle REBOUND (Off:1 Def:0),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,,1.0,0.0,1.0,,,,,,,,,,,,,
13,PT11M13.00S,2023-12-09T00:41:34.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203944,7.703679369250986,50.0,1610612752,2,2,2023-12-09T00:45:45Z,130000,False,0.0,20.0,1,left,J. Randle putback Layup (2 PTS),[203944],1610612752.0,NYK,putback,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,1.99,Made,,2.0,,,,,,,,,,,,,,,,
14,PT11M02.00S,2023-12-09T00:41:43.8Z,1,REGULAR,3pt,Jump Shot,[],204001,65.65374507227332,32.59803921568628,1610612738,5,2,2023-12-09T00:41:48Z,140000,False,-87.0,270.0,1,right,K. Porzingis 28' 3PT  (5 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,28.41,Made,,5.0,,,,J. Tatum,1628369.0,1.0,,,,,,,,,,
16,PT10M39.00S,2023-12-09T00:42:06.6Z,1,REGULAR,3pt,Jump Shot,[],1628978,30.699737187910642,19.852941176470587,1610612752,5,5,2023-12-09T00:42:11Z,160000,False,151.0,236.0,1,left,D. DiVincenzo 28' 3PT  (3 PTS) (R. Barrett 1 AST),"[1628978, 1629628]",1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,28.01,Made,,3.0,,,,R. Barrett,1629628.0,1.0,,,,,,,,,,
