actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-26T23:10:37.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-26T23:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-26T23:10:39.0Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2023-11-26T23:10:39Z,40000,False,,,0,,Jump Ball A. Horford vs. C. Capela: Tip to J. Brown,"[1627759, 201143, 203991]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Horford,201143.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-11-26T23:10:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,92.19776609724047,53.92156862745098,1610612738,2,0,2023-11-26T23:10:59Z,70000,False,20.0,21.0,1,right,A. Horford cutting Layup (2 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,2.86,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2023-11-26T23:11:19.2Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,2,0,2023-11-26T23:11:26Z,90000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1628369]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Tatum,1628369.0,,,,,,,,,,,
10,PT11M17.00S,2023-11-26T23:11:19.2Z,1,REGULAR,steal,,[],1628369,,,1610612738,2,0,2023-11-26T23:11:20Z,100000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2023-11-26T23:11:28.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,68.15045992115637,57.59803921568627,1610612738,5,0,2023-11-26T23:11:35Z,110000,False,38.0,247.0,1,right,J. Tatum 24' 3PT  (3 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,24.98,Made,3.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
13,PT10M53.00S,2023-11-26T23:11:45.5Z,1,REGULAR,turnover,out-of-bounds,[],203991,,,1610612737,5,0,2023-11-26T23:11:52Z,130000,False,,,0,,C. Capela bad pass out-of-bounds TURNOVER (1 TO),[203991],1610612737.0,ATL,bad pass,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,,,,,,,1.0,,,2530.0,,,,,,,,,,
14,PT10M45.00S,2023-11-26T23:12:04.2Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,5,0,2023-11-26T23:12:09Z,140000,False,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1629631]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Hunter,1629631.0,,,,,,,,,,,
15,PT10M45.00S,2023-11-26T23:12:04.2Z,1,REGULAR,steal,,[],1629631,,,1610612737,5,0,2023-11-26T23:12:06Z,150000,False,,,0,,D. Hunter STEAL (1 STL),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2023-11-26T23:12:08.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627749,0.21353482260183967,54.65686274509803,1610612737,5,0,2023-11-26T23:12:54Z,160000,False,-23.0,-50.0,1,left,MISS D. Murray running reverse Layup,[1627749],1610612737.0,ATL,running reverse,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,5.56,Missed,,,,,,,,,,,,,,,,,,
