actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-12T00:10:28.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-12T00:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-12T00:10:31.0Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2023-11-12T00:10:31Z,40000,False,,,0,,Jump Ball J. Poeltl vs. K. Porzingis: Tip to S. Barnes,"[1630567, 1627751, 204001]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-11-12T00:10:44.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,93.11760840998686,51.9607843137255,1610612761,0,2,2023-11-12T00:10:53Z,70000,False,10.0,12.0,1,right,J. Poeltl turnaround Hook (2 PTS) (P. Siakam 1 AST),"[1627751, 1627783]",1610612761.0,TOR,turnaround,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.56,Made,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
10,PT11M21.00S,2023-11-12T00:11:25.2Z,1,REGULAR,3pt,Jump Shot,[],204001,33.065045992115635,39.950980392156865,1610612738,0,2,2023-11-12T00:11:39Z,100000,False,50.0,258.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,26.31,Missed,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2023-11-12T00:11:27.2Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,2,2023-11-12T00:11:39Z,110000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M11.00S,2023-11-12T00:11:40.8Z,1,REGULAR,foul,technical,['1freethrow'],204001,,,1610612761,0,2,2023-11-12T00:11:54Z,120000,False,,,0,,K. Porzingis defensive-3-second technical FOUL (1 Tech),[204001],1610612738.0,BOS,defensive-3-second,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203591.0,0.0,1.0,,,,,,,
13,PT11M11.00S,2023-11-12T00:12:00.8Z,1,REGULAR,freethrow,1 of 1,[],203471,,,1610612761,0,3,2023-11-12T00:12:00Z,130000,False,,,0,,D. Schroder technical Free Throw 1 of 1 (1 PTS),[203471],1610612761.0,TOR,technical,,,Schroder,D. Schroder,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2023-11-12T00:12:33.7Z,1,REGULAR,turnover,out-of-bounds,[],203471,,,1610612761,0,3,2023-11-12T00:12:50Z,140000,False,,,0,,D. Schroder lost ball out-of-bounds TURNOVER (1 TO),[203471],1610612761.0,TOR,lost ball,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1198.0,,,1.0,,,,,,
15,PT10M46.00S,2023-11-12T00:12:52.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201950,35.69316688567674,49.26470588235294,1610612738,0,3,2023-11-12T00:14:05Z,150000,False,4.0,283.0,1,left,MISS J. Holiday 28' step back 3PT,[201950],1610612738.0,BOS,step back,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,28.3,Missed,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2023-11-12T00:12:55.3Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,3,2023-11-12T00:13:01Z,160000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,
