actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-29T00:40:18.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-29T00:40:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-29T00:40:21.3Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2023-11-29T00:40:21Z,40000,False,,,0,,Jump Ball N. Vucevic vs. A. Horford: Tip to C. White,"[1629632, 202696, 201143]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Vucevic,202696.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2023-11-29T00:40:30.2Z,1,REGULAR,foul,personal,[],1628401,,,1610612741,0,0,2023-11-29T00:40:42Z,70000,False,,,0,,D. White personal FOUL (1 PF),"[1628401, 201942]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Left Center,203593.0,1.0,0.0,DeRozan,201942.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2023-11-29T00:40:57.8Z,1,REGULAR,2pt,Jump Shot,[],201942,78.53153745072274,29.65686274509804,1610612741,0,0,2023-11-29T00:41:06Z,90000,False,-102.0,149.0,1,right,MISS D. DeRozan 18' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,,,,,,18.06,Missed,,,,,,,,,,,,,
10,PT11M43.00S,2023-11-29T00:40:59.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2023-11-29T00:41:06Z,100000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M36.00S,2023-11-29T00:41:06.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201143,29.38567674113009,21.568627450980394,1610612738,0,0,2023-11-29T00:41:36Z,110000,False,142.0,224.0,1,left,MISS A. Horford 26' running 3PT,[201143],1610612738.0,BOS,running,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,26.51,Missed,,,,,,,,,,,,,
12,PT11M35.00S,2023-11-29T00:41:07.0Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,0,2023-11-29T00:41:13Z,120000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M14.00S,2023-11-29T00:41:27.5Z,1,REGULAR,3pt,Jump Shot,[],203897,69.46452036793693,74.01960784313727,1610612741,0,0,2023-11-29T00:41:34Z,130000,False,120.0,235.0,1,right,MISS Z. LaVine 26' step back 3PT,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,,,,,,26.35,Missed,,,,,,,,,,,,,
14,PT11M13.00S,2023-11-29T00:41:28.5Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,0,2023-11-29T00:41:34Z,140000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M02.00S,2023-11-29T00:41:40.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.53942181340342,77.45098039215686,1610612738,0,0,2023-11-29T00:41:47Z,150000,False,-137.0,253.0,1,left,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,28.82,Missed,,,,,,,,,,,,,
16,PT11M00.00S,2023-11-29T00:41:42.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2023-11-29T00:41:47Z,160000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M53.00S,2023-11-29T00:41:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629632,67.36202365308804,24.019607843137255,1610612741,0,0,2023-11-29T00:41:56Z,170000,False,-130.0,254.0,1,right,MISS C. White 28' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,28.56,Missed,,,,,,,,,,,,,
18,PT10M51.00S,2023-11-29T00:41:50.9Z,1,REGULAR,rebound,offensive,[],1630172,,,1610612741,0,0,2023-11-29T00:41:56Z,180000,False,,,0,,P. Williams REBOUND (Off:1 Def:0),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,
19,PT10M38.00S,2023-11-29T00:42:04.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630172,65.91655716162943,46.07843137254902,1610612741,0,0,2023-11-29T00:42:10Z,190000,False,-20.0,268.0,1,right,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,,,,,,26.86,Missed,,,,,,,,,,,,,
20,PT10M37.00S,2023-11-29T00:42:05.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2023-11-29T00:42:10Z,200000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT10M30.00S,2023-11-29T00:42:13.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,35.03613666228647,51.9607843137255,1610612738,3,0,2023-11-29T00:42:40Z,210000,False,-10.0,277.0,1,left,J. Brown 27' 3PT pullup (3 PTS) (J. Holiday 1 AST),"[1627759, 201950]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,27.7,Made,,,,,3.0,J. Holiday,201950.0,1.0,,,,,
23,PT10M05.00S,2023-11-29T00:42:37.3Z,1,REGULAR,3pt,Jump Shot,[],1630172,90.3580814717477,96.07843137254902,1610612741,3,3,2023-11-29T00:42:44Z,230000,False,230.0,38.0,1,right,P. Williams 3PT  (3 PTS) (D. DeRozan 1 AST),"[1630172, 201942]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,,,,,,23.35,Made,,,,,3.0,D. DeRozan,201942.0,1.0,,,,,
25,PT09M49.00S,2023-11-29T00:42:52.7Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,3,3,2023-11-29T00:42:57Z,250000,False,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1630172]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Williams,1630172.0,,
