actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-13T17:11:10.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-13T17:11:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-13T17:11:12.9Z,1,REGULAR,jumpball,recovered,[],1630553,,,1610612751,0,0,2025-04-13T17:11:12Z,40000,False,,,0,,Jump Ball N. Claxton vs. P. Achiuwa: Tip to K. Johnson,"[1630553, 1629651, 1630173]",1610612751.0,BKN,startperiod,K. Johnson,1630553.0,Johnson,K. Johnson,Claxton,1629651.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2025-04-13T17:11:18.5Z,1,REGULAR,foul,personal,[],1628969,,,1610612751,0,0,2025-04-13T17:12:01Z,70000,False,,,0,,M. Bridges take personal FOUL (1 PF),"[1628969, 1631213]",1610612752.0,NYK,take,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,202049.0,1.0,0.0,Martin,1631213.0,,,,,,,,,,,,,,,
9,PT11M54.00S,2025-04-13T17:11:26.3Z,1,REGULAR,substitution,out,[],1628969,,,1610612751,0,0,2025-04-13T17:11:38Z,90000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M54.00S,2025-04-13T17:11:26.3Z,1,REGULAR,substitution,in,[],1629013,,,1610612751,0,0,2025-04-13T17:11:38Z,100000,False,,,0,,SUB in: L. Shamet,[1629013],1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2025-04-13T17:11:57.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,0,0,2025-04-13T17:12:12Z,110000,False,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,202049.0,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2025-04-13T17:12:23.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626166,6.258212877792378,60.049019607843135,1610612752,0,2,2025-04-13T17:12:36Z,120000,False,-50.0,6.0,1,left,C. Payne driving finger roll Layup (2 PTS),[1626166],1610612752.0,NYK,driving finger roll,,,Payne,C. Payne,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.06,Made,2.0,,,,,,,,,,,,
13,PT11M03.00S,2025-04-13T17:12:43.5Z,1,REGULAR,turnover,lost ball,[],1630570,,,1610612751,0,2,2025-04-13T17:15:59Z,130000,False,,,0,,T. Watford lost ball TURNOVER (1 TO),"[1630570, 1630540]",1610612751.0,BKN,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,1.0,McBride,1630540.0,,,,,,,,,
14,PT11M03.00S,2025-04-13T17:12:43.5Z,1,REGULAR,steal,,[],1630540,,,1610612752,0,2,2025-04-13T17:12:45Z,140000,False,,,0,,M. McBride STEAL (1 STL),[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2025-04-13T17:12:50.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630173,7.440867279894875,48.28431372549019,1610612752,0,4,2025-04-13T17:12:55Z,150000,False,9.0,17.0,1,left,P. Achiuwa driving DUNK (2 PTS) (M. McBride 1 AST),"[1630173, 1630540]",1610612752.0,NYK,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,1.94,Made,2.0,,,,M. McBride,1630540.0,1.0,,,,,,
