actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-15T22:11:09.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-15T22:11:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-15T22:11:13.0Z,1,REGULAR,jumpball,recovered,[],1630573,,,1610612738,0,0,2025-03-15T22:11:13Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. D. Sharpe: Tip to S. Hauser,"[1630573, 204001, 1630549]",1610612738.0,BOS,startperiod,S. Hauser,1630573.0,Hauser,S. Hauser,Porziņģis,204001.0,Sharpe,1630549.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-03-15T22:11:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,16.376478318002626,46.81372549019608,1610612738,0,0,2025-03-15T22:11:44Z,70000,False,16.0,101.0,1,left,MISS J. Brown 10' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,10.26,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-03-15T22:11:30.2Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612751,0,0,2025-03-15T22:11:30Z,80000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-03-15T22:11:45.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",1626156,86.67871222076215,41.42156862745098,1610612751,2,0,2025-03-15T22:11:55Z,90000,False,-43.0,73.0,1,right,D. Russell 8' driving floating Jump Shot (2 PTS),[1626156],1610612751.0,BKN,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,8.44,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M25.00S,2025-03-15T22:11:50.5Z,1,REGULAR,violation,defensive goaltending,[],204001,,,1610612751,2,0,2025-03-15T22:11:55Z,100000,False,,,0,,K. Porziņģis defensive goaltending VIOLATION,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,202027.0,,,,,,,,,,,,
11,PT11M09.00S,2025-03-15T22:12:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,9.806176084099869,51.470588235294116,1610612738,2,2,2025-03-15T22:13:16Z,110000,False,-7.0,40.0,1,left,K. Porziņģis driving floating Jump Shot (2 PTS) (J. Holiday 1 AST),"[204001, 201950]",1610612738.0,BOS,driving floating,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,4.04,Made,,,,,2.0,,J. Holiday,201950.0,1.0,,,,,,,,,
13,PT10M52.00S,2025-03-15T22:12:28.4Z,1,REGULAR,3pt,Jump Shot,[],1630553,93.11760840998686,4.166666666666666,1610612751,2,2,2025-03-15T22:12:32Z,130000,False,-229.0,12.0,1,right,MISS K. Johnson 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,22.95,Missed,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2025-03-15T22:12:31.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,2,2025-03-15T22:12:32Z,140000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M41.00S,2025-03-15T22:12:40.1Z,1,REGULAR,3pt,Jump Shot,[],204001,34.37910643889619,48.529411764705884,1610612738,2,2,2025-03-15T22:12:45Z,150000,False,7.0,271.0,1,left,MISS K. Porziņģis 27' 3PT,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Center,27.08,Missed,,,,,,,,,,,,,,,,,,
