actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-05T00:43:48.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-05T00:43:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-05T00:43:50.3Z,1,REGULAR,jumpball,recovered,[],1630533,,,1610612751,0,0,2025-02-05T00:43:50Z,40000,False,,,0,,Jump Ball N. Claxton vs. A. Sengun: Tip to Z. Williams,"[1630533, 1629651, 1630578]",1610612751.0,BKN,startperiod,Z. Williams,1630533.0,Williams,Z. Williams,Claxton,1629651.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-02-05T00:44:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,6.258212877792378,60.78431372549019,1610612751,0,0,2025-02-05T00:45:13Z,70000,False,-54.0,6.0,1,left,MISS N. Claxton cutting Layup,[1629651],1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,5.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-02-05T00:44:09.7Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,0,0,2025-02-05T00:44:14Z,80000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2025-02-05T00:44:23.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,88.78120893561103,51.470588235294116,1610612745,0,0,2025-02-05T00:44:30Z,90000,False,7.0,53.0,1,right,MISS A. Sengun driving Hook,[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.35,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2025-02-05T00:44:24.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2025-02-05T00:44:30Z,100000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M23.00S,2025-02-05T00:44:27.4Z,1,REGULAR,turnover,out-of-bounds,[],1629651,,,1610612751,0,0,2025-02-05T00:44:37Z,110000,False,,,0,,N. Claxton step out-of-bounds TURNOVER (1 TO),[1629651],1610612751.0,BKN,step,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202037.0,1.0,,,,,,,,,,,,
12,PT11M21.00S,2025-02-05T00:44:42.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628415,88.91261498028909,47.794117647058826,1610612745,0,2,2025-02-05T00:44:46Z,120000,False,-11.0,52.0,1,right,D. Brooks floating Jump Shot (2 PTS) (A. Thompson 1 AST),"[1628415, 1641708]",1610612745.0,HOU,floating,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,5.29,Made,,,,,,,2.0,A. Thompson,1641708.0,1.0,,,,,,,,
14,PT11M04.00S,2025-02-05T00:45:00.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,11.908672798948752,55.392156862745104,1610612751,0,2,2025-02-05T00:45:06Z,140000,False,-27.0,59.0,1,left,MISS D. Russell 6' driving floating bank Shot,[1626156],1610612751.0,BKN,driving floating bank,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,6.52,Missed,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2025-02-05T00:45:05.0Z,1,REGULAR,rebound,offensive,[],1626156,,,1610612751,0,2,2025-02-05T00:45:06Z,150000,False,,,0,,D. Russell REBOUND (Off:1 Def:0),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M52.00S,2025-02-05T00:45:11.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630592,9.149145860709593,95.58823529411765,1610612751,3,2,2025-02-05T00:47:33Z,160000,False,-228.0,34.0,1,left,J. Wilson 3PT pullup (3 PTS) (N. Claxton 1 AST),"[1630592, 1629651]",1610612751.0,BKN,pullup,,,Wilson,J. Wilson,,,,,Left Corner 3,24+ Left,23.03,Made,,,,,,,3.0,N. Claxton,1629651.0,1.0,,,,,,,,
21,PT10M24.00S,2025-02-05T00:45:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,93.9060446780552,48.529411764705884,1610612745,3,4,2025-02-05T00:54:05Z,210000,False,-7.0,5.0,1,right,A. Sengun Layup (2 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,,,2.0,,,,,,,,,,,
22,PT10M08.00S,2025-02-05T00:45:53.9Z,1,REGULAR,2pt,Jump Shot,[],1626156,25.312089356110377,38.72549019607843,1610612751,5,4,2025-02-05T00:51:16Z,220000,False,56.0,185.0,1,left,D. Russell 19' pullup Jump Shot (2 PTS) (N. Claxton 2 AST),"[1626156, 1629651]",1610612751.0,BKN,pullup,,,Russell,D. Russell,,,,,Mid-Range,16-24 Center,19.38,Made,,,,,,,2.0,N. Claxton,1629651.0,2.0,,,,,,,,
23,PT09M38.00S,2025-02-05T00:46:25.1Z,1,REGULAR,3pt,Jump Shot,[],1628415,81.15965834428384,91.91176470588235,1610612745,5,7,2025-02-05T00:55:06Z,230000,False,210.0,125.0,1,right,D. Brooks 24' 3PT  (5 PTS) (A. Holiday 1 AST),"[1628415, 1628988]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,24.38,Made,,,,,,,5.0,A. Holiday,1628988.0,1.0,,,,,,,,
