actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-09T00:41:14.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-09T00:41:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-09T00:41:16.8Z,1,REGULAR,jumpball,recovered,[],1641730,,,1610612751,0,0,2025-01-09T00:41:16Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Duren: Tip to N. Clowney,"[1641730, 1629651, 1631105]",1610612751.0,BKN,startperiod,N. Clowney,1641730.0,Clowney,N. Clowney,Claxton,1629651.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-01-09T00:41:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641730,92.46057818659659,37.5,1610612751,0,0,2025-01-09T00:42:21Z,70000,False,-62.0,18.0,1,right,MISS N. Clowney 6' driving floating Shot,[1641730],1610612751.0,BKN,driving floating,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,6.52,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-01-09T00:41:35.1Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,0,2025-01-09T00:41:39Z,80000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-01-09T00:41:41.0Z,1,REGULAR,3pt,Jump Shot,[],1627736,31.09395532194481,65.93137254901961,1610612765,0,3,2025-01-09T00:43:00Z,90000,False,-80.0,240.0,1,left,M. Beasley 25' 3PT  (3 PTS) (T. Harris 1 AST),"[1627736, 202699]",1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,25.27,Made,,,,,3.0,T. Harris,202699.0,1.0,,,,,,,,,,
11,PT11M14.00S,2025-01-09T00:41:59.1Z,1,REGULAR,3pt,Jump Shot,[],1631213,68.80749014454665,66.42156862745098,1610612751,3,3,2025-01-09T00:42:05Z,110000,False,82.0,241.0,1,right,T. Martin 25' 3PT  (3 PTS) (N. Clowney 1 AST),"[1631213, 1641730]",1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,25.43,Made,,,,,3.0,N. Clowney,1641730.0,1.0,,,,,,,,,,
13,PT10M49.00S,2025-01-09T00:42:24.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'defensivegoaltending']",1631105,12.302890932982917,40.931372549019606,1610612765,3,5,2025-01-09T00:42:55Z,130000,False,45.0,63.0,1,left,J. Duren 7' turnaround Hook (2 PTS) (M. Beasley 1 AST),"[1631105, 1627736]",1610612765.0,DET,turnaround,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,7.77,Made,,,,,2.0,M. Beasley,1627736.0,1.0,,,,,,,,,,
15,PT10M49.00S,2025-01-09T00:42:35.7Z,1,REGULAR,violation,defensive goaltending,[],1629651,,,1610612765,3,5,2025-01-09T00:42:44Z,150000,False,,,0,,N. Claxton defensive goaltending VIOLATION,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,202049.0,,,,,,,,,
16,PT10M27.00S,2025-01-09T00:42:58.2Z,1,REGULAR,3pt,Jump Shot,[],1631213,69.59592641261499,66.17647058823529,1610612751,3,5,2025-01-09T00:43:04Z,160000,False,81.0,233.0,1,right,MISS T. Martin 24' pullup 3PT,[1631213],1610612751.0,BKN,pullup,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,24.69,Missed,,,,,,,,,,,,,,,,,,
17,PT10M26.00S,2025-01-09T00:42:59.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,3,5,2025-01-09T00:43:04Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Right Center,,,16.0,,,,,,,,,,,,,,,,,
19,PT10M13.00S,2025-01-09T00:43:19.1Z,1,REGULAR,turnover,lost ball,[],203501,,,1610612765,3,5,2025-01-09T00:43:23Z,190000,False,,,0,,T. Hardaway Jr. lost ball TURNOVER (1 TO),"[203501, 1630553]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,1.0,Johnson,1630553.0,,,,,,
20,PT10M13.00S,2025-01-09T00:43:19.1Z,1,REGULAR,steal,,[],1630553,,,1610612751,3,5,2025-01-09T00:43:21Z,200000,False,,,0,,K. Johnson STEAL (1 STL),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2025-01-09T00:43:24.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641730,93.24901445466492,46.32352941176471,1610612751,3,5,2025-01-09T00:43:29Z,210000,False,-18.0,11.0,1,right,MISS N. Clowney running Layup,[1641730],1610612751.0,BKN,running,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,,
22,PT10M05.00S,2025-01-09T00:43:27.0Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,3,5,2025-01-09T00:43:29Z,220000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M04.00S,2025-01-09T00:43:28.2Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,3,5,2025-01-09T00:43:35Z,230000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1631213]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,Martin,1631213.0,,,,,,
24,PT10M04.00S,2025-01-09T00:43:28.2Z,1,REGULAR,steal,,[],1631213,,,1610612751,3,5,2025-01-09T00:43:31Z,240000,False,,,0,,T. Martin STEAL (1 STL),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
25,PT09M57.00S,2025-01-09T00:43:34.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630533,93.24901445466492,49.26470588235294,1610612751,3,5,2025-01-09T00:43:44Z,250000,False,-4.0,11.0,1,right,MISS Z. Williams cutting Layup,[1630533],1610612751.0,BKN,cutting,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,1.16,Missed,,,,,,,,,,,,,,,,,,
26,PT09M55.00S,2025-01-09T00:43:36.8Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,3,5,2025-01-09T00:43:36Z,260000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M52.00S,2025-01-09T00:43:39.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",202699,13.091327201051248,48.28431372549019,1610612765,3,7,2025-01-09T00:43:50Z,270000,False,9.0,71.0,1,left,T. Harris 7' running pullup Jump Shot (2 PTS) (J. Duren 1 AST),"[202699, 1631105]",1610612765.0,DET,running pullup,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,7.11,Made,,,,,2.0,J. Duren,1631105.0,1.0,,,,,,,,,,
28,PT09M26.00S,2025-01-09T00:44:05.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,88.91261498028909,40.19607843137255,1610612751,5,7,2025-01-09T00:44:08Z,280000,False,-49.0,52.0,1,right,N. Claxton 7' driving Hook (2 PTS),[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,7.12,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M11.00S,2025-01-09T00:44:21.6Z,1,REGULAR,3pt,Jump Shot,[],203501,3.1044678055190538,97.79411764705883,1610612765,5,10,2025-01-09T00:44:29Z,290000,False,-239.0,-23.0,1,left,T. Hardaway Jr. 24' 3PT  (3 PTS) (T. Harris 2 AST),"[203501, 202699]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Left Corner 3,24+ Left,24.01,Made,,,,,3.0,T. Harris,202699.0,2.0,,,,,,,,,,
31,PT09M11.00S,2025-01-09T00:44:25.7Z,1,REGULAR,foul,personal,['1freethrow'],1630553,,,1610612765,5,10,2025-01-09T00:44:41Z,310000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Hardaway Jr. 1 FT),"[1630553, 203501]",1610612751.0,BKN,shooting,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,2005.0,,,,1.0,0.0,Hardaway Jr.,203501.0,,
33,PT09M11.00S,2025-01-09T00:44:56.4Z,1,REGULAR,freethrow,1 of 1,[],203501,,,1610612765,5,11,2025-01-09T00:44:56Z,330000,False,,,0,,T. Hardaway Jr. Free Throw 1 of 1 (4 PTS),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
34,PT08M55.00S,2025-01-09T00:45:14.7Z,1,REGULAR,3pt,Jump Shot,[],1630533,67.23061760840999,51.9607843137255,1610612751,5,11,2025-01-09T00:45:19Z,340000,False,10.0,256.0,1,right,MISS Z. Williams 25' 3PT,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Center,25.57,Missed,,,,,,,,,,,,,,,,,,
35,PT08M52.00S,2025-01-09T00:45:17.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,5,11,2025-01-09T00:45:19Z,350000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT08M42.00S,2025-01-09T00:45:28.4Z,1,REGULAR,2pt,Jump Shot,[],203501,18.74178712220762,71.81372549019608,1610612765,5,11,2025-01-09T00:45:33Z,360000,False,-109.0,124.0,1,left,MISS T. Hardaway Jr. 16' step back Shot,[203501],1610612765.0,DET,step back,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Left Center,16.49,Missed,,,,,,,,,,,,,,,,,,
37,PT08M37.00S,2025-01-09T00:45:33.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,5,11,2025-01-09T00:45:33Z,370000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left Center,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M28.00S,2025-01-09T00:45:41.0Z,1,REGULAR,turnover,bad pass,[],1630533,,,1610612751,5,11,2025-01-09T00:45:45Z,380000,False,,,0,,Z. Williams bad pass TURNOVER (1 TO),"[1630533, 1631105]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Duren,1631105.0,,,,,,
39,PT08M28.00S,2025-01-09T00:45:41.0Z,1,REGULAR,steal,,[],1631105,,,1610612765,5,11,2025-01-09T00:45:43Z,390000,False,,,0,,J. Duren STEAL (1 STL),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M23.00S,2025-01-09T00:45:46.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203501,8.09789750328515,4.6568627450980395,1610612765,5,11,2025-01-09T00:46:32Z,400000,False,227.0,24.0,1,left,MISS T. Hardaway Jr. running 3PT,[203501],1610612765.0,DET,running,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Right Corner 3,24+ Right,22.79,Missed,,,,,,,,,,,,,,,,,,
41,PT08M20.00S,2025-01-09T00:45:49.5Z,1,REGULAR,rebound,offensive,[],1630595,,,1610612765,5,11,2025-01-09T00:46:26Z,410000,False,,,0,,C. Cunningham REBOUND (Off:1 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Right Corner 3,24+ Right,,,40.0,3.0,2.0,1.0,,,,,,,,,,,,,,
42,PT08M13.00S,2025-01-09T00:45:56.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1627736,32.40801576872536,49.26470588235294,1610612765,5,11,2025-01-09T00:46:03Z,420000,False,4.0,252.0,1,left,MISS M. Beasley 25' pullup 3PT,[1627736],1610612765.0,DET,pullup,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
43,PT08M09.00S,2025-01-09T00:46:00.5Z,1,REGULAR,rebound,defensive,[],1631213,,,1610612751,5,11,2025-01-09T00:46:03Z,430000,False,,,0,,T. Martin REBOUND (Off:0 Def:1),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Center,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,
