actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-07T00:41:24.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-07T00:41:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-07T00:41:34.7Z,1,REGULAR,violation,jumpball,[],1629614,,,0,0,0,2025-01-07T00:47:21Z,40000,False,,,0,,A. Nembhard jumpball VIOLATION,[1629614],1610612754.0,IND,203591.0,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,
5,PT11M37.00S,2025-01-07T00:42:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,15.850854139290407,52.94117647058824,1610612751,0,0,2025-01-07T00:42:38Z,50000,False,-15.0,96.0,1,left,MISS N. Claxton 9' fadeaway Shot,[1629651],1610612751.0,BKN,,Claxton,N. Claxton,fadeaway,In The Paint (Non-RA),8-16 Center,9.76,Missed,,,,,,,,,,,,,,,,,
6,PT11M33.00S,2025-01-07T00:42:37.3Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,0,0,2025-01-07T00:42:38Z,60000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,In The Paint (Non-RA),8-16 Center,,,5.0,1.0,1.0,0.0,,,,,,,,,,,,,
7,PT11M30.00S,2025-01-07T00:42:42.0Z,1,REGULAR,foul,personal,['2freethrow'],1641730,,,1610612754,0,0,2025-01-07T00:42:58Z,70000,False,,,0,,N. Clowney shooting personal FOUL (1 PF) (Siakam 2 FT),"[1641730, 1627783]",1610612751.0,BKN,2002.0,Clowney,N. Clowney,shooting,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,0.0,Siakam,1627783.0,,,,,,,,,
9,PT11M30.00S,2025-01-07T00:43:14.3Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612754,0,1,2025-01-07T00:43:14Z,90000,False,,,0,,P. Siakam Free Throw 1 of 2 (1 PTS),[1627783],1610612754.0,IND,,Siakam,P. Siakam,,,,,Made,,,,,,,,,1.0,,,,,,,,
10,PT11M30.00S,2025-01-07T00:43:35.2Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612754,0,2,2025-01-07T00:43:35Z,100000,False,,,0,,P. Siakam Free Throw 2 of 2 (2 PTS),[1627783],1610612754.0,IND,,Siakam,P. Siakam,,,,,Made,,,,,,,,,2.0,,,,,,,,
11,PT11M14.00S,2025-01-07T00:43:55.5Z,1,REGULAR,turnover,traveling,[],1630553,,,1610612751,0,2,2025-01-07T00:44:00Z,110000,False,,,0,,K. Johnson traveling TURNOVER (1 TO),[1630553],1610612751.0,BKN,1627541.0,Johnson,K. Johnson,,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,,,,,,,
12,PT10M57.00S,2025-01-07T00:44:18.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627783,83.39356110381078,22.058823529411764,1610612754,0,4,2025-01-07T00:46:16Z,120000,False,-140.0,104.0,1,right,P. Siakam 17' Jump Shot (4 PTS),[1627783],1610612754.0,IND,,Siakam,P. Siakam,,Mid-Range,16-24 Left Center,17.39,Made,,,,,,,,,4.0,,,,,,,,
14,PT10M47.00S,2025-01-07T00:44:31.9Z,1,REGULAR,foul,personal,[],1631097,,,1610612751,0,4,2025-01-07T00:44:46Z,140000,False,,,0,,B. Mathurin personal FOUL (1 PF),"[1631097, 1630533]",1610612754.0,IND,2002.0,Mathurin,B. Mathurin,,Mid-Range,8-16 Left,,,,,,,1.0,0.0,Williams,1630533.0,,,,,,,,,
