actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-05T00:41:27.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-05T00:41:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-05T00:41:30.4Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612751,0,0,2024-12-05T00:41:30Z,40000,False,,,0,,Jump Ball N. Claxton vs. M. Turner: Tip to D. Schröder,"[203471, 1629651, 1626167]",1610612751.0,BKN,startperiod,D. Schröder,203471.0,Schröder,D. Schröder,Claxton,1629651.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-12-05T00:41:58.4Z,1,REGULAR,turnover,out-of-bounds,[],203471,,,1610612751,0,0,2024-12-05T00:42:04Z,80000,False,,,0,,D. Schröder step out-of-bounds TURNOVER (1 TO),[203471],1610612751.0,BKN,step,,,Schröder,D. Schröder,,,,,Restricted Area,0-8 Center,1630886.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2024-12-05T00:42:25.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627783,80.76544021024968,49.50980392156863,1610612754,0,2,2024-12-05T00:42:29Z,90000,False,-2.0,128.0,1,right,P. Siakam 12' pullup Jump Shot (2 PTS) (M. Turner 1 AST),"[1627783, 1626167]",1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,12.83,Made,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,,,
10,PT10M54.00S,2024-12-05T00:42:49.1Z,1,REGULAR,3pt,Jump Shot,[],1630553,31.225361366622867,28.676470588235293,1610612751,0,2,2024-12-05T00:42:53Z,100000,False,107.0,241.0,1,left,MISS K. Johnson 26' 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,26.35,Missed,,,,,,,,,,,,,,,,
12,PT10M51.00S,2024-12-05T00:42:52.1Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,0,2,2024-12-05T00:42:53Z,110000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
13,PT10M30.00S,2024-12-05T00:43:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631245,93.9060446780552,45.34313725490196,1610612754,0,2,2024-12-05T00:43:18Z,120000,False,-23.0,5.0,1,right,MISS Q. Jackson driving reverse Layup,[1631245],1610612754.0,IND,driving reverse,,,Jackson,Q. Jackson,,,,,Restricted Area,0-8 Center,,,2.38,Missed,,,,,,,,,,,,,,,,
14,PT10M27.00S,2024-12-05T00:43:16.3Z,1,REGULAR,rebound,defensive,[],1630553,,,1610612751,0,2,2024-12-05T00:43:18Z,130000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M23.00S,2024-12-05T00:43:19.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,3.7614980289093296,96.56862745098039,1610612751,0,2,2024-12-05T00:43:26Z,140000,False,-233.0,-17.0,1,left,MISS C. Johnson running 3PT,[1629661],1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,,,23.34,Missed,,,,,,,,,,,,,,,,
16,PT10M19.00S,2024-12-05T00:43:23.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,2,2024-12-05T00:43:26Z,150000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M16.00S,2024-12-05T00:43:28.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627783,88.64980289093299,48.529411764705884,1610612754,0,2,2024-12-05T00:43:36Z,160000,False,-7.0,54.0,1,right,MISS P. Siakam running Shot,[1627783],1610612754.0,IND,running,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,5.47,Missed,,,,,,,,,,,,,,,,
18,PT10M13.00S,2024-12-05T00:43:30.6Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,0,2,2024-12-05T00:43:30Z,170000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M02.00S,2024-12-05T00:43:40.6Z,1,REGULAR,3pt,Jump Shot,[],203471,26.363337713534822,80.63725490196079,1610612751,0,2,2024-12-05T00:43:45Z,180000,False,-153.0,195.0,1,left,MISS D. Schröder 24' 3PT,[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,,,24.82,Missed,,,,,,,,,,,,,,,,
