actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-17T00:41:03.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-17T00:41:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-17T00:41:07.0Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2024-12-17T00:41:07Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Claxton: Tip to D. Garland,"[1629636, 1628386, 1629651]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-12-17T00:41:13.5Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,0,0,2024-12-17T00:41:18Z,70000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1627732]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,16-24 Center,1.0,Simmons,1627732.0,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2024-12-17T00:41:13.5Z,1,REGULAR,steal,,[],1627732,,,1610612751,0,0,2024-12-17T00:41:15Z,80000,False,,,0,,B. Simmons STEAL (1 STL),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M46.00S,2024-12-17T00:41:16.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627732,5.995400788436268,48.28431372549019,1610612751,2,0,2024-12-17T00:41:23Z,90000,False,9.0,4.0,1,left,B. Simmons running DUNK (2 PTS),[1627732],1610612751.0,BKN,running,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,0.94,Made,2.0,,,,,,,,,,,,,,
10,PT11M19.00S,2024-12-17T00:41:43.9Z,1,REGULAR,3pt,Jump Shot,[],1629636,94.43166885676742,3.1862745098039214,1610612739,2,0,2024-12-17T00:41:47Z,100000,False,-234.0,0.0,1,right,MISS D. Garland 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Left Corner 3,24+ Left,,,,23.41,Missed,,,,,,,,,,,,,,,
11,PT11M16.00S,2024-12-17T00:41:46.9Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,2,0,2024-12-17T00:41:47Z,110000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Left Corner 3,24+ Left,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M12.00S,2024-12-17T00:41:50.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,5.732588699080158,94.85294117647058,1610612751,5,0,2024-12-17T00:41:55Z,120000,False,-224.0,1.0,1,left,C. Johnson 3PT running (3 PTS) (B. Simmons 1 AST),"[1629661, 1627732]",1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,,,,22.43,Made,3.0,,,,,B. Simmons,1627732.0,1.0,,,,,,,
14,PT10M58.00S,2024-12-17T00:42:05.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,74.58935611038108,84.06862745098039,1610612739,5,0,2024-12-17T00:42:12Z,140000,False,170.0,186.0,1,right,MISS D. Mitchell 25' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,25.25,Missed,,,,,,,,,,,,,,,
15,PT10M51.00S,2024-12-17T00:42:12.2Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,5,0,2024-12-17T00:42:12Z,150000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
