actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-08T00:41:26.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-08T00:41:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-08T00:41:28.8Z,1,REGULAR,jumpball,recovered,[],1629130,,,1610612748,0,0,2025-02-08T00:41:28Z,40000,False,,,0,,Jump Ball K. Ware vs. N. Claxton: Tip to D. Robinson,"[1629130, 1642276, 1629651]",1610612748.0,MIA,startperiod,D. Robinson,1629130.0,Robinson,D. Robinson,Ware,1642276.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-02-08T00:41:40.6Z,1,REGULAR,foul,personal,[],1626156,,,1610612748,0,0,2025-02-08T00:41:55Z,70000,False,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 1629312]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,2534.0,1.0,0.0,Highsmith,1629312.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2025-02-08T00:42:00.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642276,12.352168199737193,49.854473039215684,1610612748,0,0,2025-02-08T00:42:36Z,90000,False,1.0,64.0,1,left,MISS K. Ware 6' cutting Layup - blocked,"[1642276, 1629651]",1610612748.0,MIA,cutting,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.36,Missed,Claxton,1629651.0,,,,,,,,,,,
10,PT11M42.00S,2025-02-08T00:42:00.4Z,1,REGULAR,block,,[],1629651,,,1610612748,0,0,2025-02-08T00:42:02Z,100000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M40.00S,2025-02-08T00:42:02.4Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,0,0,2025-02-08T00:42:36Z,110000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,
12,PT11M36.00S,2025-02-08T00:42:05.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629639,23.258869908015768,91.88878676470588,1610612748,0,0,2025-02-08T00:42:56Z,120000,False,-209.0,166.0,1,left,MISS T. Herro 26' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,,,,26.73,Missed,,,,,,,,,,,,,
13,PT11M34.00S,2025-02-08T00:42:07.8Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,0,0,2025-02-08T00:42:56Z,130000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,
14,PT11M22.00S,2025-02-08T00:42:19.8Z,1,REGULAR,3pt,Jump Shot,[],1626156,75.34494086727989,88.97058823529412,1610612751,0,0,2025-02-08T00:43:17Z,140000,False,195.0,179.0,1,right,MISS D. Russell 26' pullup 3PT,[1626156],1610612751.0,BKN,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,,26.48,Missed,,,,,,,,,,,,,
15,PT11M20.00S,2025-02-08T00:42:21.8Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,0,0,2025-02-08T00:43:17Z,150000,False,,,0,,K. Ware REBOUND (Off:1 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,14.0,2.0,1.0,1.0,,,,,,,
