actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
17,PT10M59.00S,2025-01-22T00:37:56.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626157,6.915243101182654,82.84313725490196,1610612752,0,2,2025-01-22T00:38:01Z,170000,False,-164.0,13.0,1,left,MISS K. Towns 16' Jump Shot,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left,,,16.47,Missed,,,,,,,,,,,,,,,,
18,PT10M54.00S,2025-01-22T00:38:01.5Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612751,0,2,2025-01-22T00:38:01Z,180000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Left,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M51.00S,2025-01-22T00:38:03.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629661,94.43166885676742,48.28431372549019,1610612751,2,2,2025-01-22T00:38:26Z,190000,False,-9.0,0.0,1,right,C. Johnson running Layup (2 PTS) (D. Russell 1 AST),"[1629661, 1626156]",1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,0.86,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,
21,PT10M29.00S,2025-01-22T00:38:26.0Z,1,REGULAR,3pt,Jump Shot,[],1628384,29.911300919842315,71.32352941176471,1610612752,2,5,2025-01-22T00:38:30Z,210000,False,-107.0,229.0,1,left,O. Anunoby 25' 3PT  (3 PTS) (J. Hart 1 AST),"[1628384, 1628404]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,25.23,Made,3.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,
23,PT10M13.00S,2025-01-22T00:38:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,94.43166885676742,46.568627450980394,1610612751,2,5,2025-01-22T00:40:09Z,230000,False,-17.0,0.0,1,right,MISS N. Claxton Layup,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,1.72,Missed,,,,,,,,,,,,,,,,
24,PT10M12.00S,2025-01-22T00:38:43.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,2,5,2025-01-22T00:40:09Z,240000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,
25,PT09M58.00S,2025-01-22T00:38:59.4Z,1,REGULAR,foul,personal,[],1629661,,,1610612752,2,5,2025-01-22T00:39:09Z,250000,False,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1628384]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,101284.0,,,,,,,,,,,,,,1.0,0.0,Anunoby,1628384.0,,
27,PT09M51.00S,2025-01-22T00:39:26.2Z,1,REGULAR,3pt,Jump Shot,[],1628973,32.276609724047304,68.87254901960785,1610612752,2,8,2025-01-22T00:39:31Z,270000,False,-94.0,251.0,1,left,J. Brunson 26' 3PT  (5 PTS) (K. Towns 2 AST),"[1628973, 1626157]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,,,26.81,Made,5.0,K. Towns,1626157.0,2.0,,,,,,,,,,,,
29,PT09M35.00S,2025-01-22T00:39:41.7Z,1,REGULAR,3pt,Jump Shot,[],1641730,69.07030223390277,69.85294117647058,1610612751,2,8,2025-01-22T00:39:47Z,290000,False,99.0,238.0,1,right,MISS N. Clowney 25' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,,,25.81,Missed,,,,,,,,,,,,,,,,
30,PT09M34.00S,2025-01-22T00:39:42.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,2,8,2025-01-22T00:39:47Z,300000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,29.0,,,,,,,,,
