actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-04-03T23:41:38.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-03T23:41:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-04-03T23:41:44.4Z,1,REGULAR,jumpball,recovered,[],0,,,1610612750,0,0,2025-04-03T23:41:44Z,40000,False,,,0,,Jump Ball R. Gobert vs. N. Claxton: Tip to Team (MIN),"[203497, 1629651]",1610612750.0,MIN,startperiod,Team (MIN),Gobert,203497.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-04-03T23:42:08.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,71.17279894875165,21.568627450980394,1610612750,0,0,2025-04-03T23:42:17Z,80000,False,-142.0,218.0,1,right,MISS A. Edwards 26' 3PT,[1630162],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Left Center,26.07,Missed,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2025-04-03T23:42:13.0Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612751,0,0,2025-04-03T23:42:17Z,90000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612751.0,BKN,,,,,,,Above the Break 3,24+ Left Center,,,Watford,T. Watford,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M26.00S,2025-04-03T23:42:22.9Z,1,REGULAR,3pt,Jump Shot,[],1641721,29.122864651773984,75.98039215686273,1610612751,3,0,2025-04-03T23:42:26Z,100000,False,-130.0,221.0,1,left,M. Lewis 25' 3PT  (3 PTS) (T. Watford 1 AST),"[1641721, 1630570]",1610612751.0,BKN,,,,,,,Above the Break 3,24+ Left Center,25.66,Made,Lewis,M. Lewis,,,,,3.0,T. Watford,1630570.0,1.0,,,,,,,,,,,
12,PT11M05.00S,2025-04-03T23:42:44.1Z,1,REGULAR,3pt,Jump Shot,[],203944,67.7562417871222,61.274509803921575,1610612750,3,3,2025-04-03T23:42:48Z,120000,False,56.0,251.0,1,right,J. Randle 25' 3PT  (3 PTS) (M. Conley 1 AST),"[203944, 201144]",1610612750.0,MIN,,,,,,,Above the Break 3,24+ Center,25.69,Made,Randle,J. Randle,,,,,3.0,M. Conley,201144.0,1.0,,,,,,,,,,,
14,PT10M49.00S,2025-04-03T23:43:00.7Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612751,3,3,2025-04-03T23:43:23Z,140000,False,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 1630162]",1610612751.0,BKN,,,,,,,Mid-Range,16-24 Right,,,Russell,D. Russell,,,,,,,,,1.0,Edwards,1630162.0,,,,,,,,
15,PT10M49.00S,2025-04-03T23:43:00.7Z,1,REGULAR,steal,,[],1630162,,,1610612750,3,3,2025-04-03T23:43:02Z,150000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,,,,Mid-Range,16-24 Right,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2025-04-03T23:43:07.1Z,1,REGULAR,foul,personal,[],1626156,,,1610612750,3,3,2025-04-03T23:43:35Z,160000,False,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 1630162]",1610612751.0,BKN,,,,,,,Mid-Range,16-24 Right,,,Russell,D. Russell,,,,,,,,,,,,1626300.0,1.0,0.0,Edwards,1630162.0,,,
18,PT10M31.00S,2025-04-03T23:43:37.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201144,71.43561103810775,75.73529411764706,1610612750,3,3,2025-04-03T23:43:43Z,180000,False,129.0,216.0,1,right,MISS M. Conley 25' 3PT,[201144],1610612750.0,MIN,,,,,,,Above the Break 3,24+ Right Center,25.14,Missed,Conley,M. Conley,,,,,,,,,,,,,,,,,,,
