actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-21T00:41:12.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-21T00:41:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-21T00:41:16.9Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2025-02-21T00:41:16Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Claxton: Tip to D. Mitchell,"[1628378, 1628386, 1629651]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-02-21T00:41:30.2Z,1,REGULAR,foul,personal,[],1629661,,,1610612739,0,0,2025-02-21T00:41:43Z,70000,False,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1630596]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,1630886.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2025-02-21T00:41:52.2Z,1,REGULAR,3pt,Jump Shot,[],1629636,67.7562417871222,55.392156862745104,1610612739,0,0,2025-02-21T00:42:31Z,90000,False,27.0,251.0,1,right,MISS D. Garland 25' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,,,,,,25.21,Missed,,,,,,,,,,,,,
10,PT11M40.00S,2025-02-21T00:41:54.2Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,0,0,2025-02-21T00:42:31Z,100000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M22.00S,2025-02-21T00:42:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,11.383048620236531,57.59803921568627,1610612751,0,0,2025-02-21T00:43:12Z,110000,False,-38.0,55.0,1,left,MISS N. Claxton 6' driving Layup - blocked,"[1629651, 1630596]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.64,Missed,,,,,Mobley,1630596.0,,,,,,,
12,PT11M22.00S,2025-02-21T00:42:13.8Z,1,REGULAR,block,,[],1630596,,,1610612751,0,0,2025-02-21T00:42:17Z,120000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M18.00S,2025-02-21T00:42:17.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,0,0,2025-02-21T00:42:39Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,11.0,,,,,,,,,,,,
13,PT11M18.00S,2025-02-21T00:42:38.1Z,1,REGULAR,jumpball,recovered,[],1628386,,,1610612739,0,0,2025-02-21T00:42:38Z,140000,False,,,0,,Jump Ball E. Mobley vs. N. Claxton: Tip to J. Allen,"[1628386, 1630596, 1629651]",1610612739.0,CLE,heldball,J. Allen,1628386.0,Allen,J. Allen,Mobley,1630596.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
17,PT11M13.00S,2025-02-21T00:42:43.4Z,1,REGULAR,3pt,Jump Shot,[],1628378,94.03745072273325,3.9215686274509802,1610612739,0,3,2025-02-21T00:42:48Z,170000,False,-230.0,4.0,1,right,D. Mitchell 3PT  (3 PTS) (D. Garland 1 AST),"[1628378, 1629636]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Left Corner 3,24+ Left,,,,,,23.04,Made,,,,,,,3.0,D. Garland,1629636.0,1.0,,,
