actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-08T20:41:37.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-08T20:41:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-08T20:41:40.7Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612751,0,0,2024-12-08T20:41:40Z,40000,False,,,0,,Jump Ball N. Claxton vs. B. Lopez: Tip to D. Schröder,"[203471, 1629651, 201572]",1610612751.0,BKN,startperiod,D. Schröder,203471.0,Schröder,D. Schröder,Claxton,1629651.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-12-08T20:42:00.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630553,11.12023653088042,55.63725490196079,1610612751,0,0,2024-12-08T20:45:31Z,70000,False,-28.0,52.0,1,left,MISS K. Johnson driving floating Shot,[1630553],1610612751.0,BKN,driving floating,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,5.92,Missed,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2024-12-08T20:42:03.2Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2024-12-08T20:42:06Z,90000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M33.00S,2024-12-08T20:42:05.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,0,0,2024-12-08T20:42:11Z,100000,False,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,2005.0,,,,,,,,,,,,,
11,PT11M19.00S,2024-12-08T20:42:36.9Z,1,REGULAR,foul,personal,['2freethrow'],1630553,,,1610612749,0,0,2024-12-08T20:42:48Z,110000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Lopez 2 FT),"[1630553, 201572]",1610612751.0,BKN,shooting,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2530.0,1.0,0.0,Lopez,201572.0,,,,,,,,,
13,PT11M19.00S,2024-12-08T20:43:09.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201572,,,1610612749,0,0,2024-12-08T20:43:09Z,130000,False,,,0,,MISS B. Lopez Free Throw 1 of 2,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M19.00S,2024-12-08T20:43:09.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,0,0,2024-12-08T20:43:09Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
15,PT11M19.00S,2024-12-08T20:43:27.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201572,,,1610612749,0,1,2024-12-08T20:43:27Z,150000,False,,,0,,B. Lopez Free Throw 2 of 2 (1 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
16,PT11M04.00S,2024-12-08T20:43:44.8Z,1,REGULAR,3pt,Jump Shot,[],1627827,2.447437582128778,96.07843137254902,1610612751,0,1,2024-12-08T20:43:49Z,160000,False,-230.0,-29.0,1,left,MISS D. Finney-Smith 3PT,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Left Corner 3,24+ Left,23.23,Missed,,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2024-12-08T20:43:48.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,1,2024-12-08T20:43:49Z,170000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Left Corner 3,24+ Left,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
