actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-01T00:41:17.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-01T00:41:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-01T00:41:21.2Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612751,0,0,2025-03-01T00:41:21Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Clingan: Tip to C. Johnson,"[1629661, 1629651, 1642270]",1610612751.0,BKN,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,Claxton,1629651.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-03-01T00:41:41.3Z,1,REGULAR,turnover,traveling,[],1630560,,,1610612751,0,0,2025-03-01T00:41:46Z,70000,False,,,0,,C. Thomas traveling TURNOVER (1 TO),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,202035.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2025-03-01T00:42:08.8Z,1,REGULAR,turnover,out-of-bounds,[],1642270,,,1610612757,0,0,2025-03-01T00:42:26Z,80000,False,,,0,,D. Clingan bad pass out-of-bounds TURNOVER (1 TO),[1642270],1610612757.0,POR,bad pass,,,Clingan,D. Clingan,,,,,Mid-Range,8-16 Right,200834.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M09.00S,2025-03-01T00:42:31.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630560,13.354139290407357,42.8921568627451,1610612751,2,0,2025-03-01T00:42:37Z,90000,False,36.0,73.0,1,left,C. Thomas 8' driving floating Jump Shot (2 PTS) (N. Claxton 1 AST),"[1630560, 1629651]",1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,,,8.12,Made,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,
11,PT10M57.00S,2025-03-01T00:42:44.4Z,1,REGULAR,turnover,lost ball,[],1629014,,,1610612757,2,0,2025-03-01T00:42:48Z,110000,False,,,0,,A. Simons lost ball TURNOVER (1 TO),"[1629014, 1630533]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,Williams,1630533.0,,,,,,,,,,
12,PT10M57.00S,2025-03-01T00:42:44.4Z,1,REGULAR,steal,,[],1630533,,,1610612751,2,0,2025-03-01T00:45:01Z,120000,False,,,0,,Z. Williams STEAL (1 STL),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2025-03-01T00:42:48.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630165,6.783837056504599,49.26470588235294,1610612751,4,0,2025-03-01T00:42:54Z,130000,False,4.0,11.0,1,left,K. Hayes running Layup (2 PTS),[1630165],1610612751.0,BKN,running,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,,,1.19,Made,2.0,,,,,,,,,,,,,,,
14,PT10M44.00S,2025-03-01T00:42:56.9Z,1,REGULAR,3pt,Jump Shot,[],1641739,96.5341655716163,94.6078431372549,1610612757,4,3,2025-03-01T00:43:02Z,140000,False,223.0,-20.0,1,right,T. Camara 3PT  (3 PTS) (S. Sharpe 1 AST),"[1641739, 1631101]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Right Corner 3,24+ Right,,,22.39,Made,3.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,,,
16,PT10M30.00S,2025-03-01T00:43:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,6.258212877792378,47.05882352941176,1610612751,6,3,2025-03-01T00:44:42Z,160000,False,15.0,6.0,1,left,N. Claxton cutting Layup (2 PTS) (Z. Williams 1 AST),"[1629651, 1630533]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,1.6,Made,2.0,Z. Williams,1630533.0,1.0,,,,,,,,,,,,
18,PT10M13.00S,2025-03-01T00:43:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,87.72996057818659,60.049019607843135,1610612757,6,5,2025-03-01T00:43:32Z,180000,False,50.0,63.0,1,right,A. Simons 8' driving floating Jump Shot (2 PTS),[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Right,,,8.04,Made,2.0,,,,,,,,,,,,,,,
19,PT09M53.00S,2025-03-01T00:43:47.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,6.389618922470433,54.166666666666664,1610612751,6,5,2025-03-01T00:45:26Z,190000,False,-21.0,8.0,1,left,MISS N. Claxton cutting Layup,[1629651],1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,2.21,Missed,,,,,,,,,,,,,,,,
20,PT09M50.00S,2025-03-01T00:43:50.4Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,6,5,2025-03-01T00:43:53Z,200000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,
21,PT09M49.00S,2025-03-01T00:43:52.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631101,94.95729303547962,49.754901960784316,1610612757,6,7,2025-03-01T00:43:59Z,210000,False,-1.0,-5.0,1,right,S. Sharpe running alley-oop DUNK (2 PTS) (T. Camara 1 AST),"[1631101, 1641739]",1610612757.0,POR,running alley-oop,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,0.52,Made,2.0,T. Camara,1641739.0,1.0,,,,,,,,,,,,
23,PT09M30.00S,2025-03-01T00:44:10.4Z,1,REGULAR,3pt,Jump Shot,[],1630533,13.091327201051248,4.411764705882353,1610612751,9,7,2025-03-01T00:44:15Z,230000,False,228.0,71.0,1,left,Z. Williams 3PT  (3 PTS) (N. Claxton 2 AST),"[1630533, 1629651]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Right Corner 3,24+ Right,,,23.86,Made,3.0,N. Claxton,1629651.0,2.0,,,,,,,,,,,,
