actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-23T00:40:54.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-23T00:40:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-23T00:41:00.0Z,1,REGULAR,jumpball,recovered,[],1631213,,,1610612751,0,0,2025-01-23T00:41:00Z,40000,False,,,0,,Jump Ball N. Claxton vs. N. Richards: Tip to T. Martin,"[1631213, 1629651, 1630208]",1610612751.0,BKN,startperiod,T. Martin,1631213.0,Martin,T. Martin,Claxton,1629651.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-01-23T00:41:19.6Z,1,REGULAR,3pt,Jump Shot,[],1641730,32.670827858081466,45.588235294117645,1610612751,0,0,2025-01-23T00:41:42Z,70000,False,22.0,255.0,1,left,MISS N. Clowney 25' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Center,25.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-01-23T00:41:20.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,0,2025-01-23T00:41:42Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2025-01-23T00:41:24.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,0,0,2025-01-23T00:41:54Z,90000,False,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Center,,,,1627962.0,,,,,,,,,,,,,,,,
10,PT11M16.00S,2025-01-23T00:41:51.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630208,90.40735873850197,34.29074754901961,1610612756,0,0,2025-01-23T00:42:21Z,100000,False,-79.0,38.0,1,right,MISS N. Richards 8' turnaround Hook,[1630208],1610612756.0,PHX,turnaround,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Left,8.71,Missed,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2025-01-23T00:41:53.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2025-01-23T00:42:21Z,110000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Left,,,10.0,,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M54.00S,2025-01-23T00:42:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,9.986859395532193,48.85110294117647,1610612751,0,0,2025-01-23T00:42:57Z,120000,False,6.0,41.0,1,left,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,4.18,Missed,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2025-01-23T00:42:16.4Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,0,2025-01-23T00:42:57Z,130000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,12.0,,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M47.00S,2025-01-23T00:42:21.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,94.69448094612353,95.09803921568627,1610612756,0,0,2025-01-23T00:43:22Z,140000,False,225.0,-3.0,1,right,MISS K. Durant running 3PT,[201142],1610612756.0,PHX,running,,,Durant,K. Durant,,,,,Right Corner 3,24+ Right,22.55,Missed,,,,,,,,,,,,,,,,,,
