actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-20T00:41:22.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-20T00:41:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-20T00:41:24.5Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2024-11-20T00:41:24Z,40000,False,,,0,,Jump Ball G. Williams vs. B. Simmons: Tip to L. Ball,"[1630163, 1629684, 1627732]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Williams,1629684.0,Simmons,1627732.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2024-11-20T00:41:34.8Z,1,REGULAR,foul,personal,[],203471,,,1610612766,0,0,2024-11-20T00:42:02Z,70000,False,,,0,,D. Schröder personal FOUL (1 PF),"[203471, 1630163]",1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Right Center,1626301.0,1.0,0.0,Ball,1630163.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2024-11-20T00:42:10.8Z,1,REGULAR,3pt,Jump Shot,[],1630182,27.808804204993432,79.90196078431373,1610612766,0,3,2024-11-20T00:42:15Z,90000,False,-150.0,209.0,1,left,J. Green 25' 3PT  (3 PTS) (G. Williams 1 AST),"[1630182, 1629684]",1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,25.69,Made,3.0,G. Williams,1629684.0,1.0,,,,,,,,,
11,PT11M17.00S,2024-11-20T00:42:30.7Z,1,REGULAR,turnover,bad pass,[],1629661,,,1610612751,0,3,2024-11-20T00:42:40Z,110000,False,,,0,,C. Johnson bad pass TURNOVER (1 TO),"[1629661, 1641706]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,Miller,1641706.0,,,,,,
12,PT11M17.00S,2024-11-20T00:42:30.7Z,1,REGULAR,steal,,[],1641706,,,1610612766,0,3,2024-11-20T00:42:56Z,120000,False,,,0,,B. Miller STEAL (1 STL),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2024-11-20T00:42:36.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628970,4.812746386333772,47.30392156862745,1610612766,0,5,2024-11-20T00:42:46Z,130000,False,13.0,-7.0,1,left,M. Bridges running DUNK (2 PTS) (B. Miller 1 AST),"[1628970, 1641706]",1610612766.0,CHA,running,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,1.53,Made,2.0,B. Miller,1641706.0,1.0,,,,,,,,,
15,PT10M59.00S,2024-11-20T00:42:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627732,93.51182654402102,52.20588235294118,1610612751,2,5,2024-11-20T00:42:53Z,150000,False,11.0,8.0,1,right,B. Simmons cutting Layup (2 PTS) (D. Schröder 1 AST),"[1627732, 203471]",1610612751.0,BKN,cutting,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,1.39,Made,2.0,D. Schröder,203471.0,1.0,,,,,,,,,
17,PT10M45.00S,2024-11-20T00:43:08.1Z,1,REGULAR,foul,personal,[],1627732,,,1610612766,2,5,2024-11-20T00:43:18Z,170000,False,,,0,,B. Simmons personal FOUL (1 PF),"[1627732, 1630163]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,8-16 Right,202058.0,1.0,0.0,Ball,1630163.0,,,,,,,,,,,,,,,
19,PT10M34.00S,2024-11-20T00:43:39.1Z,1,REGULAR,3pt,Jump Shot,[],1628970,7.30946123521682,3.1862745098039214,1610612766,2,8,2024-11-20T00:43:43Z,190000,False,234.0,16.0,1,left,M. Bridges 3PT  (5 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,,,,23.47,Made,5.0,L. Ball,1630163.0,1.0,,,,,,,,,
