actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2025-01-25T23:11:25.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-25T23:11:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-25T23:11:28.5Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612751,0,0,2025-01-25T23:11:28Z,40000,False,,,0,,Jump Ball N. Claxton vs. K. Ware: Tip to D. Russell,"[1626156, 1629651, 1642276]",1610612751.0,BKN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Claxton,1629651.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-01-25T23:11:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,92.06636005256242,48.529411764705884,1610612751,2,0,2025-01-25T23:11:52Z,70000,False,-7.0,22.0,1,right,N. Claxton Layup (2 PTS) (J. Wilson 1 AST),"[1629651, 1630592]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.33,Made,2.0,J. Wilson,1630592.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-01-25T23:12:02.1Z,1,REGULAR,foul,personal,[],1626156,,,1610612748,2,0,2025-01-25T23:12:08Z,90000,False,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 1628389]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,,2004.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
11,PT11M12.00S,2025-01-25T23:12:27.7Z,1,REGULAR,turnover,bad pass,[],1629130,,,1610612748,2,0,2025-01-25T23:12:30Z,110000,False,,,0,,D. Robinson bad pass TURNOVER (1 TO),"[1629130, 1630592]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,Wilson,1630592.0,,,,,,
12,PT11M12.00S,2025-01-25T23:12:27.7Z,1,REGULAR,steal,,[],1630592,,,1610612751,2,0,2025-01-25T23:12:29Z,120000,False,,,0,,J. Wilson STEAL (1 STL),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2025-01-25T23:12:32.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641730,93.24901445466492,42.8921568627451,1610612751,2,0,2025-01-25T23:12:36Z,130000,False,-36.0,11.0,1,right,MISS N. Clowney running Layup - blocked,"[1641730, 1629312]",1610612751.0,BKN,running,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,3.72,Missed,,,,,,,,,,,,,Highsmith,1629312.0,,,,
14,PT11M08.00S,2025-01-25T23:12:32.2Z,1,REGULAR,block,,[],1629312,,,1610612751,2,0,2025-01-25T23:12:34Z,140000,False,,,0,,H. Highsmith BLOCK (1 BLK),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2025-01-25T23:12:35.2Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,2,0,2025-01-25T23:12:36Z,150000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0
17,PT10M50.00S,2025-01-25T23:13:01.8Z,1,REGULAR,turnover,bad pass,[],1629639,,,1610612748,2,0,2025-01-25T23:13:05Z,170000,False,,,0,,T. Herro bad pass TURNOVER (1 TO),"[1629639, 1629651]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,Claxton,1629651.0,,,,,,
