actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-05T01:01:09.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-05T01:01:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-05T01:01:12.8Z,1,REGULAR,jumpball,recovered,[],1630583,,,1610612763,0,0,2024-11-05T01:01:12Z,40000,False,,,0,,Jump Ball Z. Edey vs. N. Claxton: Tip to S. Aldama,"[1630583, 1641744, 1629651]",1610612763.0,MEM,startperiod,S. Aldama,1630583.0,Aldama,S. Aldama,Edey,1641744.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-11-05T01:01:20.8Z,1,REGULAR,turnover,bad pass,[],1630583,,,1610612763,0,0,2024-11-05T01:01:26Z,70000,False,,,0,,S. Aldama bad pass TURNOVER (1 TO),"[1630583, 1630560]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,1.0,Thomas,1630560.0,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2024-11-05T01:01:20.8Z,1,REGULAR,steal,,[],1630560,,,1610612751,0,0,2024-11-05T01:01:23Z,80000,False,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-11-05T01:01:31.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629651,15.982260183968464,47.549019607843135,1610612751,0,0,2024-11-05T01:01:38Z,90000,False,12.0,98.0,1,left,MISS N. Claxton 9' floating Shot,[1629651],1610612751.0,BKN,floating,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,9.85,Missed,,,,,,,,,,,,,,,
10,PT11M35.00S,2024-11-05T01:01:34.1Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,0,0,2024-11-05T01:01:38Z,100000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M25.00S,2024-11-05T01:01:44.3Z,1,REGULAR,2pt,Jump Shot,[],1642377,95.3515111695138,87.74509803921569,1610612763,0,0,2024-11-05T01:01:52Z,110000,False,189.0,-9.0,1,right,MISS J. Wells 18' Jump Shot,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,16-24 Right,,,,18.89,Missed,,,,,,,,,,,,,,,
12,PT11M24.00S,2024-11-05T01:01:45.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,0,2024-11-05T01:01:52Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,16-24 Right,,,,,,11.0,,,,,,,,,,,,,,
13,PT11M24.00S,2024-11-05T01:01:50.7Z,1,REGULAR,foul,personal,[],1628991,,,1610612751,0,0,2024-11-05T01:01:57Z,130000,False,,,0,,J. Jackson Jr. loose ball personal FOUL (1 PF),"[1628991, 1629651]",1610612763.0,MEM,loose ball,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628953.0,1.0,0.0,Claxton,1629651.0,,,,,,
15,PT11M06.00S,2024-11-05T01:02:17.6Z,1,REGULAR,3pt,Jump Shot,[],203471,25.837713534822605,19.11764705882353,1610612751,0,0,2024-11-05T01:02:23Z,150000,False,154.0,190.0,1,left,MISS D. Schröder 24' step back 3PT,[203471],1610612751.0,BKN,step back,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Right Center,,,,24.51,Missed,,,,,,,,,,,,,,,
