actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-08T23:40:40.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-08T23:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-08T23:40:42.8Z,1,REGULAR,jumpball,recovered,[],1630533,,,1610612751,0,0,2025-04-08T23:40:42Z,40000,False,,,0,,Jump Ball N. Claxton vs. Y. Missi: Tip to Z. Williams,"[1630533, 1629651, 1642274]",1610612751.0,BKN,startperiod,Z. Williams,1630533.0,Williams,Z. Williams,Claxton,1629651.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-04-08T23:40:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630570,6.521024967148489,47.30392156862745,1610612751,2,0,2025-04-08T23:40:58Z,70000,False,13.0,9.0,1,left,T. Watford driving finger roll Layup (2 PTS),[1630570],1610612751.0,BKN,driving finger roll,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,1.61,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2025-04-08T23:41:16.3Z,1,REGULAR,3pt,Jump Shot,[],1641810,67.23061760840999,35.294117647058826,1610612740,2,0,2025-04-08T23:41:22Z,80000,False,-74.0,256.0,1,right,MISS A. Reeves 26' 3PT,[1641810],1610612740.0,NOP,,,,Reeves,A. Reeves,,,,,Above the Break 3,24+ Center,26.59,Missed,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2025-04-08T23:41:21.3Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,2,0,2025-04-08T23:41:22Z,90000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M17.00S,2025-04-08T23:41:22.6Z,1,REGULAR,turnover,lost ball,[],1642274,,,1610612740,2,0,2025-04-08T23:41:30Z,100000,False,,,0,,Y. Missi lost ball TURNOVER (1 TO),"[1642274, 1629651]",1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,Claxton,1629651.0,,,,,,,,,,
11,PT11M17.00S,2025-04-08T23:41:22.6Z,1,REGULAR,steal,,[],1629651,,,1610612751,2,0,2025-04-08T23:41:24Z,110000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2025-04-08T23:41:26.7Z,1,REGULAR,turnover,bad pass,[],1630533,,,1610612751,2,0,2025-04-08T23:41:33Z,120000,False,,,0,,Z. Williams bad pass TURNOVER (1 TO),"[1630533, 1630631]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,Alvarado,1630631.0,,,,,,,,,,
13,PT11M12.00S,2025-04-08T23:41:26.7Z,1,REGULAR,steal,,[],1630631,,,1610612740,2,0,2025-04-08T23:41:28Z,130000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2025-04-08T23:41:34.9Z,1,REGULAR,foul,personal,[],1630592,,,1610612740,2,0,2025-04-08T23:41:44Z,140000,False,,,0,,J. Wilson personal FOUL (1 PF),"[1630592, 1642274]",1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2004.0,1.0,0.0,Missi,1642274.0,,,,,
16,PT10M53.00S,2025-04-08T23:42:06.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628971,87.46714848883047,43.38235294117647,1610612740,2,0,2025-04-08T23:42:10Z,160000,False,-33.0,65.0,1,right,MISS B. Brown 7' driving floating Shot,[1628971],1610612740.0,NOP,driving floating,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,7.32,Missed,,,,,,,,,,,,,,,,,,
17,PT10M50.00S,2025-04-08T23:42:09.7Z,1,REGULAR,rebound,defensive,[],1630592,,,1610612751,2,0,2025-04-08T23:42:10Z,170000,False,,,0,,J. Wilson REBOUND (Off:0 Def:1),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,In The Paint (Non-RA),0-8 Center,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M34.00S,2025-04-08T23:42:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,9.543363994743759,57.107843137254896,1610612751,4,0,2025-04-08T23:42:28Z,180000,False,-36.0,37.0,1,left,N. Claxton floating Jump Shot (2 PTS) (T. Watford 1 AST),"[1629651, 1630570]",1610612751.0,BKN,floating,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,5.14,Made,2.0,,,,,,,,,,,,,T. Watford,1630570.0,1.0,,
20,PT10M14.00S,2025-04-08T23:42:44.5Z,1,REGULAR,3pt,Jump Shot,[],1630631,72.22404730617609,23.03921568627451,1610612740,4,3,2025-04-08T23:42:48Z,200000,False,-135.0,209.0,1,right,J. Alvarado 24' 3PT step back (3 PTS),[1630631],1610612740.0,NOP,step back,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,24.84,Made,3.0,,,,,,,,,,,,,,,,,
21,PT09M53.00S,2025-04-08T23:43:08.7Z,1,REGULAR,turnover,traveling,[],1630570,,,1610612751,4,3,2025-04-08T23:43:12Z,210000,False,,,0,,T. Watford traveling TURNOVER (1 TO),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,1627963.0,,,,,,,,,
22,PT09M38.00S,2025-04-08T23:43:30.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642274,94.95729303547962,45.588235294117645,1610612740,4,3,2025-04-08T23:43:33Z,220000,False,-22.0,-5.0,1,right,MISS Y. Missi Layup,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,2.27,Missed,,,,,,,,,,,,,,,,,,
23,PT09M35.00S,2025-04-08T23:43:33.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,3,2025-04-08T23:43:33Z,230000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M32.00S,2025-04-08T23:43:36.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630592,28.07161629434954,76.22549019607843,1610612751,4,3,2025-04-08T23:43:44Z,240000,False,-131.0,211.0,1,left,MISS J. Wilson 24' running 3PT,[1630592],1610612751.0,BKN,running,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Left Center,24.88,Missed,,,,,,,,,,,,,,,,,,
25,PT09M26.00S,2025-04-08T23:43:40.9Z,1,REGULAR,rebound,offensive,[],1641736,,,1610612751,4,3,2025-04-08T23:43:40Z,250000,False,,,0,,R. Beekman REBOUND (Off:1 Def:0),[1641736],1610612751.0,BKN,,,,Beekman,R. Beekman,,,,,Above the Break 3,24+ Left Center,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,
